,N,Nnf,round,first,hole,board,Nsim,prWin,prWinStd,pot,bet,maxBet,NMaxBet,minBet,util_fold,util_call,util_raise_coeff,util_call2,util_raise_coeff2,action,amount,cputime
0,7,6,Deal,0,♠8 ♥10,,65,0.17142857142857143,0.3743754610965729,0,0,40,3,40,0,1.142857142857146,0.02857142857142847,-26.285714285714285,-0.6571428571428571,raise,0,0.5241031646728516
1,7,5,Deal,0,♠8 ♥10,,130,0.13553113553113555,0.3312447144060746,0,80,176,1,96,-80,-56.732600732600716,-0.3223443223443223,-128.2930402930403,-0.7289377289377289,call,0,0.5223698616027832
2,7,5,Deal,0,♠8 ♥10,,180,0.11455026455026454,0.3099283974485551,0,176,229,3,53,-176,-97.83994708994709,-0.4272486772486773,-176.53597883597882,-0.770899470899471,call,0,0.5204579830169678
3,7,5,Flop,0,♠8 ♥10,♣10 ♥J ♠Q,15,0.04666666666666666,0.09392668535736914,956,0,67,1,67,-229,-235.75333333333333,-0.7666666666666667,-245.13333333333333,-0.9066666666666667,fold,0,0.5221691131591797
