,N,Nnf,round,first,hole,board,Nsim,prWin,prWinStd,pot,bet,maxBet,NMaxBet,minBet,util_fold,util_call,util_raise_coeff,util_call2,util_raise_coeff2,action,amount,cputime
0,7,7,Deal,0,♥Q ♠Q,,55,0.38441558441558443,0.4841630900745338,0,10,40,1,30,-10,67.63636363636365,1.690909090909091,-9.246753246753244,-0.23116883116883113,raise,0,0.526202917098999
1,7,6,Deal,0,♥Q ♠Q,,125,0.4091428571428571,0.4906784973433237,0,80,176,1,96,-80,256.0548571428571,1.4548571428571426,-31.981714285714304,-0.18171428571428583,raise,0,0.5287470817565918
2,7,6,Flop,1,♥Q ♠Q,♠3 ♣8 ♦Q,5,0.8,0.4000000000000001,1076,0,0,7,20,-352,508.80000000000007,3.8000000000000007,508.80000000000007,0.6000000000000001,raise,0,0.5213329792022705
3,7,6,Flop,0,♥Q ♠Q,♠3 ♣8 ♦Q,65,0.9076923076923077,0.2894598111111812,1076,20,36,2,16,-372,784.7384615384615,4.446153846153846,654.0307692307692,0.8153846153846154,raise,0,0.5219230651855469
4,7,6,Flop,0,♥Q ♠Q,♠3 ♣8 ♦Q,125,0.904,0.2945912422323515,1076,72,86,2,14,-424,1001.1680000000001,4.424,690.192,0.808,raise,0,0.5558011531829834
5,7,6,Turn,1,♥Q ♠Q,♠3 ♣8 ♦Q ♦2,5,0.6,0.48989794855663565,1592,0,0,7,20,-524,431.19999999999993,2.5999999999999996,431.19999999999993,0.19999999999999996,raise,0,0.5228312015533447
6,7,5,Turn,0,♥Q ♠Q,♠3 ♣8 ♦Q ♦2,65,0.8615384615384616,0.345383758779133,1592,20,53,1,33,-544,1022.8769230769233,3.3076923076923084,885.8923076923079,0.7230769230769232,raise,0,0.5264487266540527
7,7,5,Turn,0,♥Q ♠Q,♠3 ♣8 ♦Q ♦2,95,0.8842105263157894,0.3199722979699088,1592,106,123,1,17,-630,1304.4526315789471,3.421052631578947,978.178947368421,0.7684210526315789,raise,0,0.5215308666229248
8,7,5,River,1,♥Q ♠Q,♠3 ♣8 ♦Q ♦2 ♦A,5,0.4,0.48989794855663565,2084,0,0,7,20,-770,63.60000000000002,1.0,63.60000000000002,-0.19999999999999996,raise,0,0.5263500213623047
9,7,5,River,0,♥Q ♠Q,♠3 ♣8 ♦Q ♦2 ♦A,35,0.7428571428571429,0.4370588154508102,2084,20,67,1,47,-790,959.9714285714288,2.7142857142857144,810.6571428571431,0.48571428571428577,raise,0,0.5196571350097656
