,N,Nnf,round,first,hole,board,Nsim,prWin,prWinStd,pot,bet,maxBet,NMaxBet,minBet,util_fold,util_call,util_raise_coeff,util_call2,util_raise_coeff2,action,amount,cputime
0,7,6,Deal,0,♠3 ♣A,,90,0.15158730158730158,0.3448401282243145,0,20,55,4,35,-20,-4.976190476190482,-0.0904761904761906,-38.32539682539682,-0.6968253968253968,call,0,0.5237319469451904
1,7,6,Flop,1,♠3 ♣A,♠7 ♣10 ♥8,5,0.0,0.0,285,0,0,7,20,-55,-55.0,-1.0,-55.0,-1.0,call,0,0.5266239643096924
2,7,6,Flop,0,♠3 ♣A,♠7 ♣10 ♥8,70,0.06428571428571428,0.2378689400763816,285,20,75,1,55,-75,-82.75,-0.6142857142857143,-102.03571428571429,-0.8714285714285714,fold,0,0.524583101272583
