,N,Nnf,round,first,hole,board,Nsim,prWin,prWinStd,pot,bet,maxBet,NMaxBet,minBet,util_fold,util_call,util_raise_coeff,util_call2,util_raise_coeff2,action,amount,cputime
0,8,8,Deal,0,♠3 ♣A,,95,0.14210526315789473,0.337663472259904,0,20,79,2,59,-20,10.810526315789474,0.13684210526315788,-56.54736842105263,-0.7157894736842105,raise,0,0.5227198600769043
1,8,7,Flop,1,♠3 ♣A,♦Q ♥Q ♣Q,5,0.2,0.4,1185,0,0,8,20,-158,79.0,0.40000000000000013,79.0,-0.6,raise,0,0.5218696594238281
2,8,7,Flop,0,♠3 ♣A,♦Q ♥Q ♣Q,80,0.10208333333333333,0.2358771307976535,1185,20,67,2,47,-178,-56.15416666666667,-0.28541666666666665,-90.35208333333333,-0.7958333333333334,call,0,0.5225579738616943
3,8,7,Turn,1,♠3 ♣A,♦Q ♥Q ♣Q ♠J,5,0.0,0.0,1654,0,0,8,20,-225,-225.0,-1.0,-225.0,-1.0,call,0,0.5325391292572021
4,8,7,Turn,0,♠3 ♣A,♦Q ♥Q ♣Q ♠J,80,0.07552083333333333,0.21831243439258488,1654,20,50,4,30,-245,-123.65625,-0.47135416666666674,-142.53645833333334,-0.8489583333333334,call,0,0.5253369808197021
5,8,7,Turn,0,♠3 ♣A,♦Q ♥Q ♣Q ♠J,160,0.06354166666666666,0.19286030044078825,1654,50,128,4,78,-275,-190.96875,-0.5552083333333333,-231.63541666666669,-0.8729166666666667,call,0,0.5215432643890381
6,8,7,Turn,0,♠3 ♣A,♦Q ♥Q ♣Q ♠J,240,0.0704861111111111,0.21407341201799135,1654,128,256,6,128,-353,-238.10486111111118,-0.5065972222222224,-328.32708333333335,-0.8590277777777778,call,0,0.5293197631835938
7,8,7,River,1,♠3 ♣A,♦Q ♥Q ♣Q ♠J ♠6,5,0.0,0.0,3446,0,0,8,20,-481,-481.0,-1.0,-481.0,-1.0,call,0,0.5234990119934082
8,8,7,River,0,♠3 ♣A,♦Q ♥Q ♣Q ♠J ♠6,85,0.011764705882352941,0.07578881603955957,3446,20,46,2,26,-501,-482.67058823529413,-0.9176470588235294,-485.3764705882353,-0.9764705882352941,call,0,0.5211269855499268
9,8,7,River,0,♠3 ♣A,♦Q ♥Q ♣Q ♠J ♠6,160,0.01875,0.12358574958303244,3446,46,519,1,473,-527,-867.26875,-0.86875,-915.925,-0.9625,fold,0,0.5239439010620117
