,N,Nnf,round,first,hole,board,Nsim,prWin,prWinStd,pot,bet,maxBet,NMaxBet,minBet,util_fold,util_call,util_raise_coeff,util_call2,util_raise_coeff2,action,amount,cputime
0,7,7,Deal,0,♦A ♦K,,10,0.35,0.45,0,0,80,1,80,0,116.0,1.4499999999999997,-24.0,-0.30000000000000004,raise,0,0.52286696434021
1,7,7,Deal,0,♦A ♦K,,85,0.35294117647058826,0.47168988698186964,0,160,342,1,182,-160,502.9411764705883,1.4705882352941178,-100.58823529411762,-0.2941176470588235,raise,0,0.5268406867980957
2,7,6,Flop,0,♦A ♦K,♠3 ♣5 ♥J,15,0.4,0.48989794855663565,2394,0,90,1,90,-684,399.5999999999999,1.4000000000000004,255.5999999999999,-0.19999999999999996,raise,0,0.5256979465484619
3,7,6,Turn,0,♦A ♦K,♠3 ♣5 ♥J ♣4,15,0.0,0.0,2934,0,147,1,147,-864,-1011.0,-1.0,-1011.0,-1.0,fold,0,0.5290119647979736
