,N,Nnf,round,first,hole,board,Nsim,prWin,prWinStd,pot,bet,maxBet,NMaxBet,minBet,util_fold,util_call,util_raise_coeff,util_call2,util_raise_coeff2,action,amount,cputime
0,7,6,Deal,0,♦K ♣Q,,105,0.19183673469387755,0.3922616743423335,0,20,70,3,50,-20,10.57142857142857,0.15102040816326534,-43.14285714285714,-0.616326530612245,raise,0,0.5240437984466553
1,7,6,Deal,0,♦K ♣Q,,180,0.21547619047619046,0.4077950081934341,0,140,144,1,4,-140,42.17142857142855,0.2928571428571427,-81.94285714285715,-0.569047619047619,raise,0,0.5233349800109863
2,7,6,Flop,1,♦K ♣Q,♠6 ♣A ♥7,5,0.0,0.0,1738,0,0,7,20,-288,-288.0,-1.0,-288.0,-1.0,call,0,0.5280430316925049
3,7,5,Flop,0,♦K ♣Q,♠6 ♣A ♥7,80,0.1,0.3,1738,20,69,1,49,-308,-148.7,-0.5,-169.39999999999998,-0.8,call,0,0.521212100982666
4,7,5,Flop,0,♦K ♣Q,♠6 ♣A ♥7,140,0.08928571428571429,0.2820072006607097,1738,69,99,3,30,-357,-187.62499999999997,-0.5535714285714286,-214.1428571428571,-0.8214285714285714,call,0,0.5217459201812744
5,7,5,Turn,1,♦K ♣Q,♠6 ♣A ♥7 ♠A,5,0.2,0.4000000000000001,2233,0,0,7,20,-387,59.60000000000002,0.0,59.60000000000002,-0.6,call,0,0.523482084274292
6,7,5,Turn,0,♦K ♣Q,♠6 ♣A ♥7 ♠A,65,0.13846153846153847,0.3453837587791331,2233,20,70,2,50,-407,-99.35384615384612,-0.3076923076923077,-128.43076923076922,-0.7230769230769231,call,0,0.5220417976379395
7,7,5,Turn,0,♦K ♣Q,♠6 ♣A ♥7 ♠A,130,0.12692307692307692,0.32998565505848687,2233,70,104,4,34,-457,-141.58076923076925,-0.3653846153846154,-181.18076923076927,-0.7461538461538462,call,0,0.5272789001464844
8,7,5,River,1,♦K ♣Q,♠6 ♣A ♥7 ♠A ♥5,5,0.0,0.0,2753,0,0,7,20,-491,-491.0,-1.0,-491.0,-1.0,call,0,0.5238430500030518
9,7,5,River,0,♦K ♣Q,♠6 ♣A ♥7 ♠A ♥5,65,0.023076923076923078,0.136741452574086,2753,20,63,1,43,-511,-483.2,-0.8846153846153846,-487.5615384615385,-0.9538461538461538,call,0,0.5237388610839844
