round_id,turn,N,Nnf,roundName,first,hole,board,Nsim,prWin,prWinStd,chips,reld,pot,bet,minBet,sumPot_all,sumBet_all,maxBet_all,N_maxBet_all,N_canraise,sumMinBet_all,util_fold,util_call,util_raise_coeff,util_call2,util_raise_coeff2,action,amount,cputime
1,0,8,8,deal,0,♥6 ♣A,,20000,0.1458319444444442,0.3159202245367372,1000,0,0,0,20,0,30,20,1,8,130,0,3.333111111111073,0.16665555555555356,-15.625041666666675,-0.7083361111111116,raise,0,0.10690712928771973
1,1,8,8,deal,0,♥6 ♣A,,20000,0.1458319444444442,0.3159202245367372,960,0,0,40,98,0,661,138,2,8,443,-40,22.99846666666639,0.16665555555555356,-41.60508472222239,-0.7083361111111116,raise,0,0.09881782531738281
1,2,8,7,deal,0,♥6 ♣A,,20000,0.1458319444444442,0.3159202245367372,724,0,0,276,724,0,3518,1000,2,0,3620,-276,40.94841944444261,-1.0,-486.9632194444454,-0.7083361111111116,call,0,0.09894227981567383
2,0,8,8,deal,0,♣8 ♥7,,20000,0.13622083333333385,0.31092813198176145,980,1,0,20,126,0,677,146,2,8,491,-20,13.105933333333923,0.08976666666667077,-53.77849583333298,-0.7275583333333323,raise,0,0.10600996017456055
2,1,8,8,flop,0,♣8 ♥7,♣9 ♦K ♣2,87,0.017241379310344827,0.11861935310661084,708,1,292,0,100,2336,100,100,1,8,700,-292,-337.9310344827586,-0.8620689655172413,-350.0,-0.9655172413793104,fold,0,1.242285966873169
3,0,8,7,deal,0,♠4 ♣5,,20000,0.11514722222222258,0.2931775123642591,698,1,0,10,51,0,164,61,2,3,51,-10,-36.24334722222214,-0.6545583333333322,-42.1158555555555,-0.7697055555555549,fold,0,0.11995792388916016
4,0,8,7,deal,0,♠8 ♠9,,20000,0.16114027777777798,0.33849236078804634,698,1,0,0,53,0,234,53,3,7,137,0,6.7830430555556305,0.12798194444444588,-15.293174999999955,-0.6777194444444441,raise,0,0.10764122009277344
4,1,8,7,deal,0,♠8 ♠9,,20000,0.16114027777777798,0.33849236078804634,592,1,0,106,17,0,760,123,4,6,34,-106,4.945380555555715,-0.03315833333333207,-0.5333888888887373,-0.6777194444444441,call,0,0.099517822265625
4,2,8,7,deal,0,♠8 ♠9,,20000,0.16114027777777798,0.33849236078804634,575,1,0,123,34,0,964,157,5,6,34,-123,3.8179972222224308,-0.03315833333333207,-1.6607722222220218,-0.6777194444444441,call,0,0.11495113372802734
4,3,8,6,flop,0,♠8 ♠9,♥6 ♣2 ♣3,256,0.05143229166666667,0.21964625268453675,541,1,157,0,61,998,225,61,3,5,80,-157,-150.98372395833331,-0.7428385416666666,-155.09830729166666,-0.8971354166666666,call,0,1.2525591850280762
4,4,8,6,flop,0,♠8 ♠9,♥6 ♣2 ♣3,561,0.04872251931075461,0.2115754315842468,480,1,157,61,58,998,482,119,3,5,113,-218,-198.3850267379679,-0.756387403446227,-203.89067142008318,-0.9025549613784908,call,0,1.2514190673828125
4,5,8,6,turn,0,♠8 ♠9,♥6 ♣2 ♣3 ♥K,255,0.011764705882352941,0.10782531046954918,422,1,276,0,72,1593,160,72,1,5,200,-276,-325.0235294117647,-0.9411764705882353,-327.3764705882353,-0.9764705882352941,fold,0,1.2484042644500732
5,0,8,8,deal,0,♥K ♦5,,20000,0.12951944444444435,0.300333371458046,422,1,0,0,126,0,366,126,2,8,642,0,4.555599999999913,0.03615555555555483,-78.59588333333338,-0.7409611111111113,raise,0,0.10685491561889648
5,1,8,8,deal,0,♥K ♦5,,20000,0.12951944444444435,0.300333371458046,170,1,0,252,252,0,2520,504,2,7,1430,-252,89.60180555555519,-0.09336388888888947,-95.61100000000022,-0.7409611111111113,call,0,0.10340571403503418
6,0,8,7,deal,0,♥8 ♣Q,,20000,0.13979166666666706,0.3119850708648724,1000,2,0,0,20,0,50,20,2,5,50,0,-6.020833333333293,-0.30104166666666465,-13.010416666666647,-0.7204166666666658,fold,0,0.10741782188415527
7,0,8,8,deal,0,♣4 ♥2,,20000,0.09809444444444432,0.27280130653766643,1000,2,0,0,10,0,26,10,2,5,30,0,-4.506711111111118,-0.5095277777777785,-7.449544444444448,-0.8038111111111114,fold,0,0.10491800308227539
8,0,8,8,deal,0,♦A ♦Q,,20000,0.24542638888889065,0.3909341492511177,1000,2,0,0,40,0,60,40,1,5,170,0,16.448069444444847,0.22713194444445328,-25.27441666666656,-0.5091472222222186,raise,0,0.11267709732055664
8,1,8,7,deal,0,♦A ♦Q,,20000,0.24542638888889065,0.3909341492511177,920,2,0,80,67,0,621,147,3,5,134,-80,38.29692361111245,0.22713194444445328,5.4097875000011015,-0.5091472222222186,raise,0,0.10233211517333984
8,2,8,7,deal,0,♦A ♦Q,,20000,0.24542638888889065,0.3909341492511177,706,2,0,294,11,0,1512,305,2,5,33,-294,74.18377083333604,0.22713194444445328,66.08470000000267,-0.5091472222222186,raise,0,0.10210585594177246
8,3,8,7,flop,0,♦A ♦Q,♥K ♥Q ♦5,47,0.14893617021276595,0.3560255432059896,390,2,610,0,100,3070,100,100,1,5,400,-610,-178.29787234042556,-0.25531914893617025,-237.87234042553195,-0.7021276595744681,call,0,1.2343180179595947
8,4,8,6,flop,0,♦A ♦Q,♥K ♥Q ♦5,201,0.24378109452736318,0.4264555197079167,290,2,610,100,45,3070,635,145,3,4,45,-710,159.179104477612,-0.02487562189054726,148.2089552238806,-0.5124378109452736,call,0,1.2441747188568115
