round_id,turn,N,Nnf,roundName,first,hole,board,Nsim,prWin,prWinStd,chips,reld,pot,bet,minBet,sumPot_all,sumBet_all,maxBet_all,N_maxBet_all,N_canraise,sumMinBet_all,util_fold,util_call,util_raise_coeff,util_call2,util_raise_coeff2,action,amount,cputime
1,0,8,7,deal,0,♥8 ♥4,,20000,0.1632708333333324,0.34010653345558395,980,0,0,20,58,0,466,78,5,7,80,-20,11.145874999999492,0.14289583333332678,-1.915791666667104,-0.6734583333333353,raise,0,0.1068427562713623
1,1,8,6,flop,0,♥8 ♥4,♥9 ♣5 ♣J,89,0.04307116104868913,0.18949978487900399,844,0,156,0,100,1014,100,100,1,6,500,-156,-186.48314606741573,-0.7415730337078652,-208.01872659176033,-0.9138576779026216,fold,0,1.2451748847961426
2,0,8,7,deal,0,♥A ♦9,,20000,0.16393055555555525,0.32974813118060564,834,0,0,10,67,0,415,77,5,7,124,-10,11.35856944444427,0.14751388888888672,-8.968819444444577,-0.6721388888888895,raise,0,0.10714292526245116
2,1,8,7,flop,1,♥A ♦9,♦8 ♠K ♦Q,47,0.06382978723404255,0.2444494743207672,690,0,154,0,20,1078,0,0,8,7,0,-154,-105.19148936170214,-0.5531914893617021,-105.19148936170214,-0.8723404255319149,call,0,1.236180067062378
2,2,8,7,flop,0,♥A ♦9,♦8 ♠K ♦Q,331,0.04783484390735146,0.2064205521701796,670,0,154,20,33,1078,308,53,5,7,63,-174,-137.68731117824774,-0.6651560926485398,-140.70090634441092,-0.904330312185297,call,0,1.2560970783233645
2,3,8,7,flop,0,♥A ♦9,♦8 ♠K ♦Q,627,0.05661881977671451,0.22261805008153587,637,0,154,53,24,1078,515,77,6,7,24,-207,-139.44736842105266,-0.6036682615629985,-140.80622009569382,-0.886762360446571,call,0,1.2480099201202393
2,4,8,7,turn,1,♥A ♦9,♦8 ♠K ♦Q ♦10,44,0.09848484848484848,0.2690194076449198,613,0,231,0,20,1617,0,0,8,7,0,-231,-91.75,-0.31060606060606066,-91.75,-0.803030303030303,call,0,1.2371909618377686
2,5,8,7,turn,0,♥A ♦9,♦8 ♠K ♦Q ♦10,330,0.14494949494949494,0.3367747813324148,593,0,231,20,46,1617,416,66,6,7,46,-251,4.349999999999966,0.014646464646464574,-2.317676767676801,-0.7101010101010101,raise,0,1.2453491687774658
2,6,8,7,river,1,♥A ♦9,♦8 ♠K ♦Q ♦10 ♥8,98,0.0,0.0,481,0,363,0,20,2541,0,0,8,7,0,-363,-383.0,-1.0,-383.0,-1.0,fold,0,1.2387349605560305
3,0,8,8,deal,0,♠6 ♦6,,20000,0.15078194444444598,0.32934742624268754,481,0,0,0,35,0,205,35,5,8,75,0,7.218944444444872,0.20625555555556785,-4.089701388888575,-0.6984361111111079,raise,0,0.1307058334350586
3,1,8,7,deal,0,♠6 ♦6,,20000,0.15078194444444598,0.32934742624268754,411,0,0,70,930,0,2444,1000,2,2,4072,-70,501.49515000000997,-0.6984361111111079,-112.488927777774,-0.6984361111111079,call,0,0.0894632339477539
4,0,8,8,deal,0,♠4 ♠6,,20000,0.16200972222222168,0.3411267007914396,3402,0,0,0,72,0,210,72,2,6,222,0,-2.0118000000002354,-0.027941666666669862,-37.977958333333454,-0.6759805555555567,fold,0,0.1105508804321289
5,0,8,7,deal,0,♠Q ♥10,,20000,0.1692138888888886,0.3364381167086419,3402,0,0,0,20,0,50,20,2,5,50,0,-3.0786111111111403,-0.153930555555557,-11.53930555555557,-0.6615722222222228,fold,0,0.11309409141540527
6,0,8,8,deal,0,♠A ♥2,,20000,0.1367694444444441,0.3094348229405352,3402,0,0,0,20,0,30,20,1,5,70,0,-6.323055555555589,-0.3161527777777795,-15.896916666666675,-0.7264611111111118,fold,0,0.10500478744506836
7,0,8,8,deal,0,♥4 ♣Q,,20000,0.11427916666666707,0.2870878465170193,3362,0,0,40,29,0,316,69,4,5,29,-40,-29.573687499999856,-0.42860416666666457,-32.8877833333332,-0.7714416666666658,call,0,0.10516119003295897
7,1,8,8,flop,0,♥4 ♣Q,♥J ♠5 ♣4,72,0.08333333333333333,0.2763853991962833,3333,0,69,0,100,345,100,100,1,5,400,-69,-98.58333333333334,-0.5833333333333334,-131.91666666666669,-0.8333333333333334,fold,0,1.2423598766326904
8,0,8,8,deal,0,♥2 ♣8,,20000,0.10661527777777788,0.2794278962382505,3313,0,0,20,179,0,559,199,2,4,436,-20,-92.917798611111,-0.5735388888888884,-139.40205972222216,-0.7867694444444442,fold,0,0.10641694068908693
9,0,8,8,deal,0,♠2 ♦6,,20000,0.1030125,0.27765642381082944,3313,0,0,0,80,0,220,80,2,5,180,0,-38.795,-0.4849375,-57.33725,-0.793975,fold,0,0.12167596817016603
10,0,8,8,deal,0,♠4 ♣8,,20000,0.11338194444444473,0.28657942903999306,3313,0,0,0,40,0,100,40,2,5,100,0,-17.323611111111052,-0.4330902777777763,-28.661805555555524,-0.7732361111111106,fold,0,0.10597515106201172
