round_id,turn,N,Nnf,roundName,first,hole,board,Nsim,prWin,prWinStd,chips,reld,pot,bet,minBet,sumPot_all,sumBet_all,maxBet_all,N_maxBet_all,N_canraise,sumMinBet_all,util_fold,util_call,util_raise_coeff,util_call2,util_raise_coeff2,action,amount,cputime
1,0,8,8,deal,0,♦4 ♣7,,20000,0.1186069444444445,0.2960090881713279,1000,0,0,0,20,0,30,20,1,8,130,0,-1.022888888888879,-0.05114444444444399,-16.441791666666663,-0.7627861111111109,fold,0,0.10663390159606934
2,0,8,7,deal,0,♥J ♥4,,20000,0.1457805555555557,0.3270340866840159,980,0,0,20,20,0,206,40,3,7,74,-20,0.8185555555555908,0.020463888888889947,-9.96920555555553,-0.7084388888888886,raise,0,0.1267838478088379
2,1,8,7,deal,0,♥J ♥4,,20000,0.1457805555555557,0.3270340866840159,920,0,0,80,17,0,628,97,4,7,51,-80,1.9849972222223187,0.020463888888889947,-5.449811111111032,-0.7084388888888886,raise,0,0.10126399993896484
2,2,8,7,deal,0,♥J ♥4,,20000,0.1457805555555557,0.3270340866840159,806,0,0,194,370,0,2098,564,2,3,1850,-194,11.541633333333834,-0.5626583333333329,-258.15239444444416,-0.7084388888888886,call,0,0.09826207160949707
2,3,8,7,flop,0,♥J ♥4,♣4 ♣K ♣9,88,0.011363636363636364,0.10599294378510019,436,0,564,0,100,3948,100,100,1,3,200,-564,-615.7272727272727,-0.9659090909090909,-618.0,-0.9772727272727273,fold,0,1.2395718097686768
3,0,8,8,deal,0,♠10 ♣7,,20000,0.11824861111111143,0.2919787364890765,426,0,0,10,126,0,526,136,2,8,562,-10,-7.345511111110767,-0.05401111111110857,-73.80123055555538,-0.7635027777777772,call,0,0.09892010688781738
3,1,8,8,flop,1,♠10 ♣7,♦K ♥8 ♣3,42,0.09523809523809523,0.29354352395090366,300,0,136,0,20,1088,0,0,8,8,0,-136,-52.38095238095238,-0.23809523809523814,-52.38095238095238,-0.8095238095238095,call,0,1.2378637790679932
3,2,8,7,flop,0,♠10 ♣7,♦K ♥8 ♣3,474,0.042897327707454296,0.19883025777960728,280,0,136,20,118,1088,463,138,1,7,503,-156,-185.88888888888886,-0.6997187060478199,-207.4662447257384,-0.9142053445850914,fold,0,1.274292230606079
4,0,8,7,deal,0,♦2 ♣9,,20000,0.07979305555555581,0.2444695051728233,280,0,0,0,54,0,228,54,3,7,150,0,-23.838224999999902,-0.44144861111110933,-35.80718333333327,-0.8404138888888883,fold,0,0.09352803230285645
5,0,8,7,deal,0,♠J ♠5,,20000,0.1454152777777779,0.32525714403755907,280,0,0,0,33,0,116,33,2,7,115,0,0.5909291666666974,0.017906944444445294,-16.13182777777776,-0.7091694444444442,raise,0,0.10856413841247559
5,1,8,7,deal,0,♠J ♠5,,20000,0.1454152777777779,0.32525714403755907,214,0,0,66,16,0,526,82,4,7,48,-66,1.4683694444445194,0.017906944444445294,-5.511563888888816,-0.7091694444444442,raise,0,0.10201001167297363
5,2,8,6,flop,0,♠J ♠5,♥3 ♣3 ♥10,237,0.05959915611814346,0.23124855497170801,116,0,164,0,72,1148,245,72,3,6,187,-164,-141.83333333333331,-0.6424050632911392,-152.97837552742615,-0.880801687763713,call,0,1.2491559982299805
5,3,8,6,turn,0,♠J ♠5,♥3 ♣3 ♥10 ♦10,150,0.09706349206349206,0.27368695209129706,44,0,236,0,60,1580,126,60,1,5,218,-236,-93.24984126984128,-0.5146825396825396,-114.40968253968254,-0.8058730158730159,call,0,1.239185094833374
6,0,8,8,deal,0,♣K ♥8,,20000,0.14138611111111107,0.31155537218076773,1000,1,0,0,86,0,245,86,2,8,443,0,11.273644444444415,0.1310888888888886,-51.360402777777786,-0.7172277777777778,raise,0,0.1084749698638916
6,1,8,8,deal,0,♣K ♥8,,20000,0.14138611111111107,0.31155537218076773,828,1,0,172,172,0,1720,344,2,5,768,-172,7.768644444444362,-0.2930694444444446,-100.81588888888896,-0.7172277777777778,call,0,0.09898900985717773
6,2,8,7,flop,0,♣K ♥8,♥Q ♣5 ♠8,110,0.14545454545454545,0.35255853508482393,656,1,344,0,20,2488,20,20,1,4,60,-344,9.527272727272702,-0.4181818181818182,0.7999999999999545,-0.7090909090909091,call,0,1.245567798614502
6,3,8,7,flop,0,♣K ♥8,♥Q ♣5 ♠8,274,0.18369829683698294,0.38381946934700456,636,1,344,20,5028,2488,5744,5048,1,1,5664,-364,1552.6715328467149,-0.8163017031630171,512.2043795620436,-0.6326034063260342,call,0,1.2375390529632568
7,0,8,8,deal,0,♠A ♦4,,20000,0.14724583333333285,0.31863183863899064,1000,2,0,0,40,0,60,40,1,5,140,0,-10.55083333333343,-0.26377083333333573,-31.16525000000003,-0.7055083333333343,fold,0,0.10796499252319336
8,0,8,7,deal,0,♦K ♠K,,20000,0.3455569444444535,0.41244156806400534,960,2,0,40,76,0,331,116,2,4,133,-40,44.33842222222643,0.382227777777814,-1.6206513888858893,-0.308886111111093,raise,0,0.11336088180541992
8,1,8,7,flop,0,♦K ♠K,♣3 ♦5 ♣9,51,0.37254901960784315,0.48348345121325303,768,2,232,0,100,928,100,100,1,4,300,-232,162.7450980392157,0.4901960784313726,50.98039215686276,-0.2549019607843137,raise,0,1.2350289821624756
8,2,8,6,turn,1,♦K ♠K,♣3 ♦5 ♣9 ♣10,33,0.24242424242424243,0.42854956435548336,568,2,432,0,40,1628,0,0,8,3,0,-432,-77.33333333333331,-0.2727272727272727,-77.33333333333331,-0.5151515151515151,call,0,1.238368034362793
8,3,8,6,turn,0,♦K ♠K,♣3 ♦5 ♣9 ♣10,145,0.17586206896551723,0.3784315839536262,528,2,432,40,19,1628,158,59,2,3,19,-472,-173.5689655172414,-0.47241379310344833,-176.91034482758624,-0.6482758620689655,call,0,1.242908000946045
8,4,8,6,river,1,♦K ♠K,♣3 ♦5 ♣9 ♣10 ♥8,32,0.34375,0.47495887979908324,509,2,491,0,40,1805,0,0,8,3,0,-491,89.46875,0.03125,89.46875,-0.3125,raise,0,1.2373008728027344
8,5,8,6,river,0,♦K ♠K,♣3 ♦5 ♣9 ♣10 ♥8,190,0.22631578947368422,0.4184458781115991,469,2,491,40,74,1805,268,114,2,3,74,-531,-119.09999999999997,-0.32105263157894737,-135.84736842105264,-0.5473684210526315,call,0,1.2426187992095947
9,0,8,7,deal,0,♥7 ♠4,,20000,0.1186069444444445,0.2960090881713279,2522,2,0,20,20,0,140,40,3,4,20,-20,-21.02288888888888,-0.525572222222222,-23.39502777777777,-0.7627861111111109,fold,0,0.10783600807189941
10,0,8,8,deal,0,♠7 ♦7,,20000,0.16318333333333543,0.33727764307810976,2522,2,0,0,80,0,220,80,2,5,180,0,-14.726666666665835,-0.18408333333332283,-44.0996666666662,-0.6736333333333291,fold,0,0.10524415969848633
11,0,8,8,deal,0,♦6 ♥3,,20000,0.10691805555555582,0.2821957342238446,2522,2,0,0,40,0,100,40,2,5,100,0,-18.616388888888835,-0.4654097222222209,-29.308194444444418,-0.7861638888888883,fold,0,0.11716294288635254
12,0,8,8,deal,0,♠4 ♥J,,20000,0.10264166666666692,0.27286454927593234,503,2,0,20,92,0,340,112,2,5,220,-20,-54.52066666666652,-0.4867916666666654,-77.10183333333325,-0.7947166666666662,fold,0,0.10833477973937988
13,0,8,7,deal,0,♦7 ♥4,,20000,0.1186069444444445,0.2960090881713279,503,2,0,0,40,0,100,40,2,4,60,0,-21.02288888888888,-0.525572222222222,-28.139305555555552,-0.7627861111111109,fold,0,0.10723400115966797
14,0,8,8,deal,0,♣A ♦8,,20000,0.16019027777777736,0.3275557671510623,503,2,0,0,64,0,168,64,2,4,152,0,-12.739111111111242,-0.35923888888889055,-37.0880333333334,-0.6796194444444452,fold,0,0.11251688003540039
15,0,8,7,deal,0,♥2 ♠A,,20000,0.1367694444444441,0.3094348229405352,3376,1,0,80,89,0,582,169,2,5,263,-80,-53.42981944444473,-0.3161527777777795,-89.40018333333353,-0.7264611111111118,call,0,0.0992288589477539
15,1,8,7,deal,0,♥2 ♠A,,20000,0.1367694444444441,0.3094348229405352,3287,1,0,169,166,0,1351,335,2,5,324,-169,-105.91118055555611,-0.3161527777777795,-150.224480555556,-0.7264611111111118,call,0,0.09877395629882812
15,2,8,7,flop,0,♥2 ♠A,♣6 ♣K ♥8,87,0.005747126436781609,0.05329665802009024,3121,1,335,0,100,1675,100,100,1,5,400,-335,-422.5,-0.9712643678160919,-424.7988505747126,-0.9885057471264368,fold,0,1.235806941986084
16,0,8,8,deal,0,♠2 ♠3,,20000,0.1449805555555544,0.3267379048908618,3081,1,0,40,120,0,600,160,2,6,360,-40,-20.81866666666778,-0.13011666666667365,-73.01166666666737,-0.7100388888888912,call,0,0.10502910614013672
16,1,8,8,deal,0,♠2 ♠3,,20000,0.1449805555555544,0.3267379048908618,2961,1,0,160,190,0,1799,350,4,5,190,-160,-61.63367500000231,-0.2750972222222281,-89.17998055555768,-0.7100388888888912,call,0,0.10111093521118164
16,2,8,8,flop,1,♠2 ♠3,♣Q ♦6 ♣J,51,0.0,0.0,2771,1,350,0,80,1989,0,0,8,5,0,-350,-430.0,-1.0,-430.0,-1.0,fold,0,1.2402989864349365
17,0,8,7,deal,0,♥9 ♦6,,20000,0.10410694444444511,0.27704548481363894,2771,1,0,0,129,0,378,129,2,5,267,0,-61.851020833332896,-0.4794652777777745,-89.64757499999975,-0.7917861111111097,fold,0,0.10889911651611328
