N,NMaxBet,NRcall,NRfold,NRraise,N_effective,Nallin,Ncall,Nfold,Nnf,Nraise,Nsim,action,aggresiveness,amount,bet,bet_limit,bet_minimum,bet_sum,board,board_aces,board_conn,board_conn_rank,board_faces,board_kind,board_kind_rank,board_rank1,board_rank2,board_suit,board_suit_rank,cards_aces,cards_category,cards_conn,cards_conn2,cards_faces,cards_pair,cards_rank1,cards_rank2,cards_rank_sum,cards_suit,chips,cost_to_call,cputime,first,forced_bet,game_id,hand_score0,hand_score1,hole,logic,minBet,op_resp,play,position,position_feature,pot,pot_sum,prWin,prWinStd,prWin_adj,prWin_delta,prev_action,prev_prWin,resp,roundName,round_id,self_Ncall,self_Nraise,smallBlind,tableNumber,thd_call,tightness
5,2,0,2,0,5,0,0,2,3,0,60000,bet,0.75,521,20,761.5921865075732,160,100,,,,,,,,,,,,0,5,0,0,1,0,13,11,24,1,2347,20,0.547860860824585,False,20,20180727173222723,0,13,KH JH,michael3,20,all_folded,ml_raise,SB,B,0,0,0.32449603174587693,0.37712359573369825,0.41157867274376825,0,none,,"[0, 0, 1, 521]",Deal,11,0,0,20,71,0.0,-0.186
5,1,0,0,0,5,0,0,0,5,0,60000,fold,0.75,0,0,559.6832777775721,320,360,,,,,,,,,,,,0,8,0,0,0,0,13,8,21,0,2447,160,0.4870431423187256,False,0,20180727173222723,0,13,KH 8C,michael3,160,none,ml_fold,D,L,0,0,0.22872222222213817,0.32404934812268527,0.30684407495588983,0,none,,"[1, 0, 0, 0]",Deal,12,0,0,40,71,0.3076923076923077,-0.186
5,1,0,0,0,5,0,0,0,5,0,60000,fold,0.75,0,0,345.54099947090526,320,280,,,,,,,,,,,,0,9,0,0,0,0,4,3,7,0,2447,160,0.41962695121765137,False,0,20180727173222723,0,4,3D 4S,michael3,160,none,trash,2,E,0,0,0.14121005291005528,0.2862246625185476,0.2059823393967115,0,none,,"[1, 0, 0, 0]",Deal,13,0,0,40,71,0.36363636363636365,-0.186
5,1,0,0,0,5,0,0,0,5,0,60000,fold,0.75,0,0,449.00831613747926,320,120,,,,,,,,,,,,0,9,0,1,0,0,8,6,14,0,2447,80,0.4584081172943115,False,0,20180727173222723,0,8,8D 6C,michael3,80,none,trash,1,E,0,0,0.18349338624335074,0.3093055675691437,0.25548849719581307,0,none,,"[1, 0, 0, 0]",Deal,14,0,0,40,71,0.4,-0.186
5,3,0,1,0,5,0,0,1,4,0,60000,bet,0.75,734,80,755.3209714281628,320,560,,,,,,,,,,,,1,3,0,0,1,0,14,12,26,0,2367,80,0.6423449516296387,False,80,20180727173222723,0,14,AH QS,michael3,80,all_folded,ml_raise,BB,B,0,0,0.31910476190458925,0.3637341308940595,0.4058048892194846,0,none,,"[0, 0, 1, 734]",Deal,15,0,0,40,71,0.0,-0.186
5,1,0,0,0,2,0,0,0,2,0,333,check,0.75,0,0,1633,2028,80,6D JC 3H,0,0,0,1,1,11,11,3,1,11,1,3,0,0,1,0,14,12,26,0,1633,80,0.28365206718444824,False,0,20180727173222723,0,14,AH QS,michael3,80,none,ml_call,BB,B,814,1948,0.5840840840840841,0.48597645009504725,0.7063181158751416,0.2649793221794948,none,0.31910476190458925,"[0, 1, 0, 0]",Flop,15,0,0,40,71,0.03795066413662239,-0.248
5,0,0,0,0,2,0,0,0,2,0,329,check,0.75,0,0,1553,2108,0,6D JC 3H 9H,0,0,0,1,1,11,11,3,2,9,1,3,0,0,1,0,14,12,26,0,1553,0,0.2815990447998047,True,0,20180727173222723,0,14,AH QS,michael3,80,none,ml_call,BB,B,894,2108,0.5319148936170213,0.4989803999812159,0.6806110528114235,-0.05216919046706281,none,0.5840840840840841,"[0, 1, 0, 0]",Turn,15,0,0,40,71,0.0,-0.298
5,4,0,0,0,5,0,0,0,5,0,60000,bet,0.75,897,40,998.5702587297598,320,360,,,,,,,,,,,,1,6,0,0,0,0,14,4,18,1,3621,40,0.5055596828460693,False,40,20180727173222723,0,14,4H AH,michael3,40,none,ml_raise,SB,B,0,0,0.2757719576718475,0.36273808221255227,0.3588958102956602,0,none,,"[0, 0, 1, 897]",Deal,16,0,0,40,71,0.0,-0.186
5,0,0,0,0,2,0,0,0,2,0,99,raise,0.75,0,0,2724,2114,0,AS KH 9H,1,2,14,2,1,14,14,9,2,13,1,6,0,0,0,0,14,4,18,1,2724,0,0.22001886367797852,True,0,20180727173222723,1,14,4H AH,michael3,80,none,allin,SB,B,937,2114,0.9393939393939394,0.2386062992124791,0.9985683015986342,0.663621981722092,none,0.2757719576718475,"[0, 0, 0.2, 'raise']",Flop,16,0,0,40,71,0.0,-0.248
5,1,0,0,0,2,0,0,0,2,0,447,allin,0.75,0,80,2644,2354,240,AS KH 9H,1,2,14,2,1,14,14,9,2,13,1,6,0,0,0,0,14,4,18,1,2644,80,0.23514795303344727,False,0,20180727173222723,1,14,4H AH,michael3,80,none,allin,SB,B,937,2114,0.9295302013422819,0.23898649415791753,0.9930026055232987,0.6537582436704344,bet,0.2757719576718475,"[0, 0, 0.2, 'raise']",Flop,16,0,0,40,71,0.03286770747740345,-0.248
