N,NMaxBet,NRcall,NRfold,NRraise,N_effective,Nallin,Ncall,Nfold,Nnf,Nraise,Nsim,action,aggresiveness,amount,bet,bet_limit,bet_minimum,bet_sum,board,board_aces,board_conn,board_conn_rank,board_faces,board_kind,board_kind_rank,board_rank1,board_rank2,board_suit,board_suit_rank,cards_aces,cards_category,cards_conn,cards_conn2,cards_faces,cards_pair,cards_rank1,cards_rank2,cards_rank_sum,cards_suit,chips,cost_to_call,cputime,first,forced_bet,game_id,hand_score0,hand_score1,hole,logic,minBet,op_resp,play,position,position_feature,pot,pot_sum,prWin,prWinStd,prWin_adj,prWin_delta,prev_action,prev_prWin,resp,roundName,round_id,self_Ncall,self_Nraise,smallBlind,tableNumber,thd_call,tightness
6,2,0,1,0,6,0,0,1,5,0,60000,fold,0.75,0,0,554.3154761904619,80,50,,,,,,,,,,,,0,9,0,0,0,0,12,8,20,0,3000,20,0.3969888687133789,False,0,20180727185815926,0,12,8C QS,michael3,20,all_folded,trash,3,L,0,0,0.18477182539682066,0.3153852453815392,0.2996530816503585,0,none,,"[1, 0, 0, 0]",Deal,1,0,0,10,266,0.2857142857142857,-0.29600000000000004
6,1,0,1,0,6,0,0,1,5,0,60000,fold,0.75,0,0,650.7829365078911,80,30,,,,,,,,,,,,0,9,0,0,0,0,11,8,19,1,3000,20,0.39444518089294434,False,0,20180727185815926,0,11,8D JD,michael3,20,all_folded,trash,2,E,0,0,0.21692764550263036,0.34833871699024793,0.33892491436683875,0,none,,"[1, 0, 0, 0]",Deal,2,0,0,10,266,0.4,-0.29600000000000004
6,1,0,0,0,6,0,0,0,6,0,60000,fold,0.75,0,0,554.3154761904619,80,30,,,,,,,,,,,,0,9,0,0,0,0,12,8,20,0,3000,20,0.3936748504638672,False,0,20180727185815926,0,12,QC 8S,michael3,20,none,trash,1,E,0,0,0.18477182539682066,0.3153852453815392,0.2996530816503585,0,none,,"[1, 0, 0, 0]",Deal,3,0,0,10,266,0.4,-0.29600000000000004
6,2,0,1,0,6,0,0,1,5,0,60000,fold,0.75,0,20,341.1457486772746,80,976,,,,,,,,,,,,0,9,0,0,0,0,9,3,12,0,2980,433,0.41355013847351074,False,20,20180727185815926,0,9,9D 3S,michael3,433,all_folded,trash,BB,B,0,0,0.11447843915344784,0.26174505650870683,0.2087223133222422,0,none,,"[1, 0, 0, 0]",Deal,4,0,0,10,266,0.2931156848828957,-0.29600000000000004
6,4,0,1,0,6,0,0,1,5,0,60000,check,0.75,0,10,360.86207142859877,80,90,,,,,,,,,,,,0,9,0,0,0,0,10,2,12,0,2970,10,0.38859105110168457,False,10,20180727185815926,0,10,TC 2H,michael3,10,all_folded,trash,SB,B,0,0,0.12150238095239016,0.2713703315344052,0.21820859906122453,0,none,,"[0, 1, 0, 0]",Deal,5,0,0,10,266,0.0,-0.29600000000000004
6,0,0,0,0,5,0,0,0,5,0,43,allin,0.75,0,0,2960,100,0,2D 8H TS,0,0,0,1,1,10,10,2,1,2,0,9,0,0,0,0,10,2,12,0,2960,0,0.1490781307220459,True,0,20180727185815926,2,10,TC 2H,michael3,20,none,allin,SB,B,20,100,0.9186046511627907,0.23943325909272095,0.9864180942335721,0.7971022702104005,none,0.12150238095239016,"[0, 0, 0.2, 'raise']",Flop,5,0,0,10,266,0.0,-0.248
6,4,0,0,0,6,0,0,0,6,0,60000,bet,0.75,587,0,613.6372619047295,80,90,,,,,,,,,,,,1,7,0,0,0,0,14,7,21,0,3060,20,0.4519946575164795,False,0,20180727185815926,0,14,7C AD,michael3,20,none,ml_raise,D,L,0,0,0.2005350529100423,0.3226642216770815,0.3190536693152706,0,none,,"[0, 0, 1, 587]",Deal,6,0,0,10,266,0.18181818181818182,-0.29600000000000004
6,2,0,1,0,6,0,0,1,5,0,60000,bet,0.75,827,0,861.6109249999546,160,100,,,,,,,,,,,,0,7,0,1,1,0,12,10,22,0,3717,40,0.4438457489013672,False,0,20180727185815926,0,12,TH QC,michael3,40,all_folded,ml_raise,3,L,0,0,0.23180277777776556,0.34862435250359963,0.3567099554070891,0,none,,"[0, 0, 1, 827]",Deal,7,0,0,20,266,0.2857142857142857,-0.29600000000000004
6,1,0,1,0,6,0,0,1,5,0,60000,fold,0.75,0,0,509.2998865079829,160,60,,,,,,,,,,,,0,9,0,0,0,0,9,5,14,0,3817,40,0.3800508975982666,False,0,20180727185815926,0,9,5C 9H,michael3,40,all_folded,trash,2,E,0,0,0.13342936507937722,0.28109405158180006,0.23408066886472678,0,none,,"[1, 0, 0, 0]",Deal,8,0,0,20,266,0.4,-0.29600000000000004
6,1,0,0,0,6,0,0,0,6,0,60000,fold,0.75,0,0,542.5976576719852,160,60,,,,,,,,,,,,0,9,1,0,0,0,5,4,9,0,3817,40,0.4797067642211914,False,0,20180727185815926,0,5,5D 4H,michael3,40,none,trash,1,E,0,0,0.14215291005291728,0.3012552620891341,0.24551815296522556,0,none,,"[1, 0, 0, 0]",Deal,9,0,0,20,266,0.4,-0.29600000000000004
