N,NMaxBet,NRcall,NRfold,NRraise,N_effective,Nallin,Ncall,Nfold,Nnf,Nraise,Nsim,action,aggresiveness,amount,bet,bet_limit,bet_minimum,bet_sum,board,board_aces,board_conn,board_conn_rank,board_faces,board_kind,board_kind_rank,board_rank1,board_rank2,board_suit,board_suit_rank,cards_aces,cards_category,cards_conn,cards_conn2,cards_faces,cards_pair,cards_rank1,cards_rank2,cards_rank_sum,cards_suit,chips,cost_to_call,cputime,first,forced_bet,game_id,hand_score0,hand_score1,hole,logic,minBet,op_resp,play,position,position_feature,pot,pot_sum,prWin,prWinStd,prWin_adj,prWin_delta,prev_action,prev_prWin,resp,roundName,round_id,self_Ncall,self_Nraise,smallBlind,tableNumber,thd_call,tightness
6,2,0,1,0,6,0,0,1,5,0,60000,fold,0.75,0,0,439.8607142857382,80,50,,,,,,,,,,,,0,9,0,0,0,0,11,5,16,0,3000,20,0.38965392112731934,False,0,20180727184539523,0,11,JC 5S,michael3,20,all_folded,trash,3,L,0,0,0.14662023809524607,0.28990393473830584,0.2513234105756052,0,none,,"[1, 0, 0, 0]",Deal,1,0,0,10,238,0.2857142857142857,-0.29600000000000004
6,1,0,1,0,6,0,0,1,5,0,60000,fold,0.75,0,0,613.5996031745686,80,30,,,,,,,,,,,,0,9,0,0,0,0,12,9,21,0,3000,20,0.3845210075378418,False,0,20180727184539523,0,12,QC 9H,michael3,20,all_folded,trash,2,E,0,0,0.20453320105818956,0.33040871939198246,0.3239277908236951,0,none,,"[1, 0, 0, 0]",Deal,2,0,0,10,238,0.4,-0.29600000000000004
6,1,0,0,0,6,0,0,0,6,0,60000,fold,0.75,0,0,575.2178571428282,80,30,,,,,,,,,,,,0,9,0,0,0,0,12,4,16,1,3000,20,0.39534687995910645,False,0,20180727184539523,0,12,QD 4D,michael3,20,none,trash,1,E,0,0,0.19173928571427606,0.3343544012667336,0.3082653286873819,0,none,,"[1, 0, 0, 0]",Deal,3,0,0,10,238,0.4,-0.29600000000000004
5,4,0,1,0,5,0,0,1,4,0,60000,check,0.75,0,20,684.9746798939582,80,90,,,,,,,,,,,,0,9,0,0,0,0,13,2,15,1,2980,0,0.423051118850708,False,20,20180727184539523,0,13,2S KS,michael3,0,all_folded,trash,BB,B,0,0,0.22985727513220072,0.3447901122214925,0.30811508325459713,0,none,,"[0, 1, 0, 0]",Deal,4,0,0,10,238,-0.2222222222222222,-0.186
5,0,0,0,0,4,0,0,0,4,0,87,check,0.75,0,0,0,90,0,JH 6S AS,1,0,0,2,1,14,14,6,2,14,0,9,0,0,0,0,13,2,15,1,2980,0,0.24970698356628418,True,0,20180727184539523,0,14,2S KS,michael3,20,none,ml_fold,BB,B,20,90,0.39655172413793105,0.48028925093738345,0.5178687144089502,0.16669444900573033,none,0.22985727513220072,"[0, 1, 0, 0]",Flop,4,0,0,10,238,0.0,-0.248
5,1,0,2,0,4,0,0,2,2,0,423,fold,0.75,0,0,0,574,484,JH 6S AS,1,0,0,2,1,14,14,6,2,14,0,9,0,0,0,0,13,2,15,1,2980,484,0.24213194847106934,False,0,20180727184539523,0,14,2S KS,michael3,484,all_folded,ml_fold,BB,B,20,90,0.49527186761229314,0.49303392550484637,0.6192663233898508,0.2654145924800924,check,0.22985727513220072,"[1, 0, 0, 0]",Flop,4,0,0,10,238,0.45746691871455575,-0.248
5,3,0,1,0,5,0,0,1,4,0,60000,bet,0.75,615,10,793.5934285711273,80,70,,,,,,,,,,,,1,6,0,0,0,0,14,3,17,1,2970,10,0.5033681392669678,False,10,20180727184539523,0,14,3H AH,michael3,10,all_folded,ml_raise,SB,B,0,0,0.2672031746030732,0.36064807449122255,0.34950804599713203,0,none,,"[0, 0, 1, 615]",Deal,5,0,0,10,238,0.0,-0.186
5,2,0,1,0,5,0,0,1,4,0,60000,fold,0.75,0,0,379.22230687832837,80,50,,,,,,,,,,,,0,9,0,0,0,0,6,2,8,0,3040,20,0.42964887619018555,False,0,20180727184539523,0,6,6D 2S,michael3,20,all_folded,trash,D,L,0,0,0.12474417989418697,0.26519108464037644,0.1862039022464429,0,none,,"[1, 0, 0, 0]",Deal,6,0,0,10,238,0.2857142857142857,-0.186
5,1,0,1,0,5,0,0,1,4,0,60000,bet,0.75,704,0,800.0278730155225,160,60,,,,,,,,,,,,1,7,0,0,0,0,14,9,23,0,3040,40,0.5051939487457275,False,0,20180727184539523,0,14,9D AH,michael3,40,all_folded,ml_raise,2,E,0,0,0.2631670634919482,0.33831587975704525,0.34507259384099925,0,none,,"[0, 0, 1, 704]",Deal,7,0,0,20,238,0.4,-0.186
5,1,0,0,0,5,0,0,0,5,0,60000,fold,0.75,0,0,554.2841005289885,160,60,,,,,,,,,,,,0,9,0,0,0,0,11,5,16,0,3100,40,0.4373292922973633,False,0,20180727184539523,0,11,JS 5C,michael3,40,none,trash,1,E,0,0,0.1788013227512866,0.2994972686975695,0.2500738942717971,0,none,,"[1, 0, 0, 0]",Deal,8,0,0,20,238,0.4,-0.186
