N,NMaxBet,NRcall,NRfold,NRraise,N_effective,Nallin,Ncall,Nfold,Nnf,Nraise,Nsim,action,aggresiveness,amount,bet,bet_limit,bet_minimum,bet_sum,board,board_aces,board_conn,board_conn_rank,board_faces,board_kind,board_kind_rank,board_rank1,board_rank2,board_suit,board_suit_rank,cards_aces,cards_category,cards_conn,cards_conn2,cards_faces,cards_pair,cards_rank1,cards_rank2,cards_rank_sum,cards_suit,chips,cost_to_call,cputime,first,forced_bet,game_id,hand_score0,hand_score1,hole,logic,minBet,op_resp,play,position,position_feature,pot,pot_sum,prWin,prWinStd,prWin_adj,prWin_delta,prev_action,prev_prWin,resp,roundName,round_id,self_Ncall,self_Nraise,smallBlind,tableNumber,thd_call,tightness
8,3,0,1,0,8,0,0,1,7,0,60000,fold,0.75,0,0,541.2847222221842,80,521,,,,,,,,,,,,0,4,0,0,0,1,8,8,16,0,3000,157,0.48963308334350586,False,0,20180727171644245,1,8,8D 8C,michael3,157,all_folded,ml_fold,D,L,0,0,0.18042824074072805,0.34911426536469853,0.37885281239943547,0,none,,"[1, 0, 0, 0]",Deal,1,0,0,10,42,0.23156342182890854,-0.516
8,4,0,1,0,8,0,0,1,7,0,60000,fold,0.75,0,0,461.4097222222234,80,90,,,,,,,,,,,,0,9,0,0,0,0,12,9,21,0,3000,20,0.4068150520324707,False,0,20180727171644245,0,12,9C QH,michael3,20,all_folded,trash,5,L,0,0,0.15380324074074114,0.32464385400151047,0.3399554195339096,0,none,,"[1, 0, 0, 0]",Deal,2,0,0,10,42,0.18181818181818182,-0.516
8,3,0,1,0,8,0,0,1,7,0,60000,fold,0.75,0,0,284.95694444444484,80,70,,,,,,,,,,,,0,9,0,0,0,0,11,2,13,0,3000,20,0.42223620414733887,False,0,20180727171644245,0,11,2S JC,michael3,20,all_folded,trash,4,M,0,0,0.09498564814814828,0.26485573215319425,0.24627432690223675,0,none,,"[1, 0, 0, 0]",Deal,3,0,0,10,42,0.2222222222222222,-0.516
8,3,0,0,0,8,0,0,0,8,0,60000,fold,0.75,0,0,452.3638888888927,80,70,,,,,,,,,,,,0,9,0,0,0,0,12,4,16,1,3000,20,0.5235168933868408,False,0,20180727171644245,0,12,4H QH,michael3,20,none,trash,3,M,0,0,0.15078796296296423,0.32898608870095525,0.3354344755001425,0,none,,"[1, 0, 0, 0]",Deal,4,0,0,10,42,0.2222222222222222,-0.516
8,2,0,0,0,8,0,0,0,8,0,60000,fold,0.75,0,0,247.76388888888835,80,50,,,,,,,,,,,,0,9,0,0,0,0,7,3,10,0,3000,20,0.455639123916626,False,0,20180727171644245,0,7,3C 7S,michael3,20,none,trash,2,E,0,0,0.08258796296296278,0.2515695794919438,0.22462130164270866,0,none,,"[1, 0, 0, 0]",Deal,5,0,0,10,42,0.2857142857142857,-0.516
8,1,0,0,0,8,0,0,0,8,0,60000,fold,0.75,0,0,384.17361111110654,80,30,,,,,,,,,,,,0,8,1,0,0,0,8,7,15,0,3000,20,0.4729897975921631,False,0,20180727171644245,0,8,8S 7H,michael3,20,none,ml_fold,1,E,0,0,0.12805787037036884,0.3061527491726676,0.3004814551965571,0,none,,"[1, 0, 0, 0]",Deal,6,0,0,10,42,0.4,-0.516
8,3,0,1,0,8,0,0,1,7,0,60000,fold,0.75,0,20,315.67167592592534,80,434,,,,,,,,,,,,0,9,0,0,0,0,12,3,15,0,2980,98,0.4408869743347168,False,20,20180727171644245,0,12,QD 3H,michael3,98,all_folded,trash,BB,B,0,0,0.1059300925925924,0.2765284124494361,0.26472812478651286,0,none,,"[1, 0, 0, 0]",Deal,7,0,0,10,42,0.14661654135338345,-0.516
8,2,0,4,0,8,0,0,4,4,0,60000,fold,0.75,0,10,303.35249999999814,80,150,,,,,,,,,,,,0,9,0,0,0,0,12,2,14,0,2970,50,0.42822885513305664,False,10,20180727171644245,0,12,QD 2S,michael3,50,all_folded,trash,SB,B,0,0,0.10213888888888827,0.2717102124425756,0.2583996181841554,0,none,,"[1, 0, 0, 0]",Deal,8,0,0,10,42,0.2,-0.516
8,1,0,2,0,8,0,0,2,6,0,60000,fold,0.75,0,0,333.8444999999996,160,549,,,,,,,,,,,,0,9,1,0,0,0,5,4,9,0,2970,409,0.5752439498901367,False,0,20180727171644245,0,5,4H 5C,michael3,409,all_folded,trash,D,L,0,0,0.11240555555555541,0.29375551700505553,0.2753917717367472,0,none,,"[1, 0, 0, 0]",Deal,9,0,0,20,42,0.42693110647181626,-0.516
8,1,0,2,0,8,0,0,2,6,0,60000,fold,0.75,0,0,571.7607500000055,160,489,,,,,,,,,,,,1,6,0,0,0,0,14,7,21,1,2970,389,0.46419715881347656,False,0,20180727171644245,0,14,7H AH,michael3,389,all_folded,ml_fold,5,L,0,0,0.19251203703703887,0.36116781395645225,0.3959568750040475,0,none,,"[1, 0, 0, 0]",Deal,10,0,0,20,42,0.4430523917995444,-0.516
