round_id,playerName,chips,reloadCount,cards,hand,position,act_deal,bet_deal,act_flop,bet_flop,act_turn,bet_turn,act_river,bet_river,allIn,folded,rank,message,winMoney
1,SML,1000,0,♦9 ♣2,♦9 ♣2 ♣4 ♥Q ♠7 ♥6 ♠2,BB,call,20,call,20.0,call,20.0,call,20,False,False,9.0592,Pair,220.0
1,PCB,1000,0,♦4 ♠A,♦4 ♠A ♣4 ♥Q ♠7 ♥6 ♠2,,fold,0,fold,0.0,fold,0.0,fold,0,False,True,11.2576,Pair,0.0
1,Tobacco AI,1000,0,♣9 ♦8,♣9 ♦8 ♣4 ♥Q ♠7 ♥6 ♠2,,call,20,fold,0.0,fold,0.0,fold,0,False,True,6.012,High Card,0.0
1,Out Bluffed,1000,0,♠6 ♥2,♠6 ♥2 ♣4 ♥Q ♠7 ♥6 ♠2,,fold,0,fold,0.0,fold,0.0,fold,0,False,True,28.0512,Two Pair,0.0
1,Im Not Kao Chin,1000,0,♥10 ♠J,♥10 ♠J ♣4 ♥Q ♠7 ♥6 ♠2,,call,20,call,20.0,fold,0.0,fold,0,False,True,6.0408,High Card,0.0
1,TMBS=trend micro's best supreme,1000,0,♣A ♦K,♣A ♦K ♣4 ♥Q ♠7 ♥6 ♠2,,fold,0,fold,0.0,fold,0.0,fold,0,False,True,8.156,High Card,0.0
1,ヽ(=^･ω･^=)丿,1000,0,♦2 ♥8,♦2 ♥8 ♣4 ♥Q ♠7 ♥6 ♠2,SB,call,20,bet,20.0,bet,20.0,bet,20,False,False,9.056,Pair,0.0
2,SML,1140,0,♦8 ♣6,♦8 ♣6 ♥8 ♦K ♥2 ♣3 ♠7,SB,call,20,bet,20.0,,,bet,20,False,False,15.104800000000001,Pair,180.0
2,PCB,1000,0,♠9 ♥3,♠9 ♥3 ♥8 ♦K ♥2 ♣3 ♠7,BB,fold,20,fold,0.0,,,fold,0,False,True,10.112,Pair,0.0
2,Tobacco AI,1980,1,♣J ♦5,♣J ♦5 ♥8 ♦K ♥2 ♣3 ♠7,,call,20,fold,0.0,,,fold,0,False,True,7.0308,High Card,0.0
2,Out Bluffed,1000,0,♠K ♥9,♠K ♥9 ♥8 ♦K ♥2 ♣3 ♠7,,fold,0,fold,0.0,,,fold,0,False,True,20.0112,Pair,0.0
2,Im Not Kao Chin,960,0,♥J ♦9,♥J ♦9 ♥8 ♦K ♥2 ♣3 ♠7,,call,20,call,20.0,,,fold,0,False,True,7.0368,High Card,0.0
2,TMBS=trend micro's best supreme,1000,0,♣7 ♥5,♣7 ♥5 ♥8 ♦K ♥2 ♣3 ♠7,,fold,0,fold,0.0,,,fold,0,False,True,14.106,Pair,0.0
2,ヽ(=^･ω･^=)丿,920,0,♣8 ♦10,♣8 ♦10 ♥8 ♦K ♥2 ♣3 ♠7,,call,20,call,20.0,,,fold,0,False,True,15.1168,Pair,0.0
3,SML,1260,0,♥A ♣6,♥A ♣6 ♠3 ♣9 ♣Q ♠7 ♣A,,call,20,call,20.0,call,40.0,call,20,False,False,21.0592,Pair,330.0
3,PCB,980,0,♦A ♣7,♦A ♣7 ♠3 ♣9 ♣Q ♠7 ♣A,SB,fold,10,fold,0.0,fold,0.0,fold,0,False,True,93.0512,Two Pair,0.0
3,Tobacco AI,1960,1,♣4 ♠5,♣4 ♠5 ♠3 ♣9 ♣Q ♠7 ♣A,BB,call,20,fold,0.0,fold,0.0,fold,0,False,True,8.0596,High Card,0.0
3,Out Bluffed,1000,0,♠4 ♣K,♠4 ♣K ♠3 ♣9 ♣Q ♠7 ♣A,,call,20,bet,20.0,call,40.0,fold,0,False,True,8.1616,High Card,0.0
3,Im Not Kao Chin,920,0,♠9 ♠K,♠9 ♠K ♠3 ♣9 ♣Q ♠7 ♣A,,call,20,call,20.0,raise,40.0,bet,20,False,False,16.3584,Pair,0.0
3,TMBS=trend micro's best supreme,1000,0,♥Q ♥9,♥Q ♥9 ♠3 ♣9 ♣Q ♠7 ♣A,,fold,0,fold,0.0,fold,0.0,fold,0,False,True,74.2048,Two Pair,0.0
3,ヽ(=^･ω･^=)丿,880,0,♠2 ♠8,♠2 ♠8 ♠3 ♣9 ♣Q ♠7 ♣A,,call,20,fold,0.0,fold,0.0,fold,0,False,True,8.0624,High Card,0.0
4,SML,1490,0,♣8 ♥A,♣8 ♥A ♠10 ♥9 ♥7 ♣10 ♦3,,call,20,call,20.0,call,40.0,fold,0,False,True,17.2144,Pair,0.0
4,PCB,970,0,♥J ♠J,♥J ♠J ♠10 ♥9 ♥7 ♣10 ♦3,,call,20,call,20.0,call,40.0,call,20,False,False,66.0064,Two Pair,0.0
4,Tobacco AI,1940,1,♥2 ♠K,♥2 ♠K ♠10 ♥9 ♥7 ♣10 ♦3,SB,call,20,fold,0.0,fold,0.0,fold,0,False,True,17.1104,Pair,0.0
4,Out Bluffed,920,0,♥8 ♠Q,♥8 ♠Q ♠10 ♥9 ♥7 ♣10 ♦3,BB,call,20,bet,20.0,call,40.0,fold,0,False,True,17.0608,Pair,0.0
4,Im Not Kao Chin,820,0,♦10 ♦K,♦10 ♦K ♠10 ♥9 ♥7 ♣10 ♦3,,call,20,call,20.0,raise,40.0,bet,20,False,False,108.1088,Three of a Kind,400.0
4,TMBS=trend micro's best supreme,1000,0,♣7 ♦6,♣7 ♦6 ♠10 ♥9 ♥7 ♣10 ♦3,,fold,0,fold,0.0,fold,0.0,fold,0,False,True,55.0064,Two Pair,0.0
4,ヽ(=^･ω･^=)丿,860,0,♠4 ♥Q,♠4 ♥Q ♠10 ♥9 ♥7 ♣10 ♦3,,call,20,fold,0.0,fold,0.0,fold,0,False,True,17.0592,Pair,0.0
5,SML,1410,0,♣9 ♥6,♣9 ♥6 ♠7 ♥A ♣6 ♦4 ♦5,,call,40,call,20.0,call,20.0,fold,0,False,True,13.2128,Pair,0.0
5,PCB,870,0,♦J ♦A,♦J ♦A ♠7 ♥A ♣6 ♦4 ♦5,,raise,40,call,20.0,call,20.0,call,20,False,False,21.028,Pair,0.0
5,Tobacco AI,1920,1,♣3 ♦2,♣3 ♦2 ♠7 ♥A ♣6 ♦4 ♦5,,fold,0,fold,0.0,fold,0.0,fold,0,False,True,115.0,Straight,0.0
5,Out Bluffed,840,0,♥J ♦K,♥J ♦K ♠7 ♥A ♣6 ♦4 ♦5,SB,fold,10,fold,0.0,fold,0.0,fold,0,False,True,8.1304,High Card,0.0
5,Im Not Kao Chin,1120,0,♥2 ♣4,♥2 ♣4 ♠7 ♥A ♣6 ♦4 ♦5,BB,fold,20,fold,0.0,fold,0.0,fold,0,False,True,11.2072,Pair,0.0
5,TMBS=trend micro's best supreme,1000,0,♥Q ♥9,♥Q ♥9 ♠7 ♥A ♣6 ♦4 ♦5,,fold,0,fold,0.0,fold,0.0,fold,0,False,True,8.06,High Card,0.0
