round_id,turn,N,Nnf,roundName,first,hole,board,Nsim,prWin,prWinStd,chips,reld,chips_total,pot,bet,cost_on_table,cost_to_call,cost_total,maxBet_all,N_maxBet_all,util_fold,util_call,N_canraise,util_raise_coeff,util_call2,util_raise_coeff2,limitRoundBet,limitBet,gamble,gamble_tol,action,amount,cputime
1,0,3,3,deal,False,♠K ♣J,,20000,0.4414361111110433,0.34350602147115467,990,0,2990,0,10,10,10,20,20,2,-10,15.314888888883464,2,0.3243083333331298,15.314888888883464,-0.11712777777791339,756.2521630453343,746.2521630453343,True,299,bet,671,0.16298317909240723
1,1,3,3,flop,True,♠K ♣J,♣3 ♠6 ♠3,138,0.2572463768115942,0.42521168604097614,319,0,2319,681,0,681,20,701,0,3,-681,24.884057971014443,2,-0.22826086956521752,24.884057971014443,-0.48550724637681164,299.5109575209457,-381.4890424790543,False,231,fold,0,1.2198688983917236
2,0,3,3,deal,False,♦10 ♦J,,20000,0.4856444444443806,0.3651267714250613,1319,1,2319,0,0,0,20,20,20,1,0,18.851555555550448,2,0.4569333333331418,13.995111111106642,-0.028711111111238807,669.5800942078108,669.5800942078108,False,231,bet,602,0.15879106521606445
2,1,3,3,flop,False,♦10 ♦J,♥8 ♥2 ♣6,263,0.19391634980988592,0.3953641348001813,717,1,1717,602,0,602,20,622,20,1,-602,-76.17110266159699,1,-0.6121673003802282,-76.17110266159699,-0.6121673003802282,160.74534694224806,-441.25465305775197,False,171,fold,0,1.2181541919708252
3,0,3,3,deal,False,♦A ♥A,,20000,0.75111805555548,0.22398929550235355,1697,2,1697,0,20,20,0,20,20,3,-20,40.08944444443839,2,1.2533541666664396,40.08944444443839,0.5022361111109599,1024.9992152450175,1004.9992152450175,False,169,bet,904,0.15890884399414062
3,1,3,3,flop,True,♦A ♥A,♣5 ♦3 ♣8,181,0.7624309392265194,0.42559370547117703,793,2,793,924,0,924,20,944,0,3,-924,1909.1933701657458,2,1.2872928176795582,1909.1933701657458,0.5248618784530388,494.9986245966513,-429.0013754033487,False,79,fold,0,1.214879035949707
4,0,3,3,deal,False,♠5 ♥3,,20000,0.2919069444444257,0.32801356537809745,773,2,773,0,20,20,20,40,40,2,-20,6.705111111108117,2,-0.1242791666667229,6.705111111108117,-0.41618611111114856,115.8801709106831,95.8801709106831,True,80,call,0,0.15543198585510254
4,1,3,3,flop,True,♠5 ♥3,♠K ♥K ♦J,90,0.12222222222222222,0.3040873818534225,753,2,753,40,0,40,40,80,0,3,-40,-15.55555555555556,2,-0.6333333333333333,-15.55555555555556,-0.7555555555555555,42.63140986610924,2.6314098661092373,True,80,call,0,1.2064261436462402
4,2,3,2,turn,True,♠5 ♥3,♠K ♥K ♦J ♦7,139,0.06474820143884892,0.24608102699981393,713,2,713,80,0,80,40,120,0,3,-80,-40.57553956834532,1,-0.8705035971223022,-40.57553956834532,-0.8705035971223022,20.72794238639519,-59.272057613604815,True,80,call,0,1.2130630016326904
4,3,3,2,river,True,♠5 ♥3,♠K ♥K ♦J ♦7 ♠3,191,0.49476439790575916,0.48804967345411565,673,2,673,120,0,120,40,160,0,3,-120,117.90575916230367,1,-0.010471204188481686,117.90575916230367,-0.010471204188481686,199.54857427734825,79.54857427734825,True,80,call,0,1.2203190326690674
5,0,3,3,deal,False,♠6 ♠5,,20000,0.3618111111110734,0.35941625321656623,633,2,633,0,0,0,40,40,40,1,0,17.88977777777174,2,0.08543333333322023,10.653555555550277,-0.2763777777778532,123.46713190837743,123.46713190837743,True,80,bet,111,0.16193699836730957
5,1,3,2,flop,False,♠6 ♠5,♥K ♦2 ♠2,427,0.24004683840749413,0.4072293593589295,522,2,522,111,0,111,40,151,40,1,-111,-6.011709601873548,1,-0.5199063231850117,-15.613583138173311,-0.5199063231850117,62.229276769867894,-48.770723230132106,True,80,fold,0,1.2333590984344482
6,0,3,3,deal,False,♦4 ♥J,,20000,0.30459444444441197,0.318819908225299,482,2,482,0,40,40,40,80,80,1,-40,17.47022222221183,2,-0.08621666666676409,5.286444444435347,-0.39081111111117606,76.04120884891626,36.041208848916256,True,80,call,0,0.15887999534606934
6,1,3,3,flop,True,♦4 ♥J,♥10 ♠3 ♥6,222,0.08108108108108109,0.24696847138509545,442,2,442,80,0,80,40,120,0,3,-80,-50.81081081081081,2,-0.7567567567567568,-50.81081081081081,-0.8378378378378378,16.231480704935038,-63.76851929506496,True,80,fold,0,1.2218539714813232
7,0,3,3,deal,False,♠A ♦8,,20000,0.4284013888888264,0.32418915516029906,402,2,402,0,40,40,40,80,80,2,-40,57.088444444424454,2,0.2852041666664791,57.088444444424454,-0.1431972222223472,97.64935172732105,57.64935172732105,True,160,bet,51,0.15680527687072754
7,1,3,3,flop,True,♠A ♦8,♠9 ♥5 ♠10,161,0.35714285714285715,0.4775343356279608,322,2,322,120,0,120,80,200,0,3,-120,80.0,2,0.0714285714285714,80.0,-0.2857142857142857,61.787139448930056,-58.212860551069944,True,160,call,0,1.2259531021118164
7,2,3,3,turn,True,♠A ♦8,♠9 ♥5 ♠10 ♥8,149,0.43288590604026844,0.49036939274896063,242,2,242,200,0,200,80,280,0,3,-200,180.93959731543623,2,0.29865771812080544,180.93959731543623,-0.13422818791946312,59.61175338994478,-140.3882466100552,True,160,call,0,1.2346482276916504
7,3,3,3,river,True,♠A ♦8,♠9 ♥5 ♠10 ♥8 ♥2,174,0.4827586206896552,0.4997026464203254,162,2,162,280,0,280,80,360,0,3,-280,299.3103448275863,2,0.4482758620689655,299.3103448275863,-0.03448275862068961,46.38169169261054,-233.61830830738947,True,160,call,0,1.2159318923950195
8,0,3,3,deal,False,♥A ♦J,,20000,0.47015972222215124,0.3359049510759762,82,2,82,0,0,0,80,80,80,1,0,70.4511111110884,2,0.4104791666664538,51.64472222220235,-0.05968055555569751,24.0,24.0,True,160,call,0,0.15356898307800293
8,1,3,2,flop,False,♥A ♦J,♠J ♥3 ♦3,416,0.7295673076923077,0.4380527335752529,2,2,2,80,0,80,2,82,80,1,-80,157.29807692307693,1,0.4591346153846154,155.83894230769232,0.4591346153846154,24.0,-56.0,True,160,call,0,1.2346031665802002
9,0,3,3,deal,False,♦3 ♠3,,20000,0.343601388888852,0.31530378143502885,164,2,164,0,80,80,0,80,80,3,-80,29.952444444432643,2,0.030804166666555943,29.952444444432643,-0.312797222222296,29.98450483446426,-50.01549516553574,False,160,check,0,0.1516721248626709
9,1,3,2,flop,True,♦3 ♠3,♠K ♠10 ♣A,295,0.20677966101694914,0.40219640202395524,164,2,164,80,0,80,80,160,0,3,-80,2.711864406779654,1,-0.5864406779661018,2.711864406779654,-0.5864406779661018,24.0,-56.0,False,160,fold,0,1.223822832107544
10,0,3,3,deal,False,♠4 ♦2,,20000,0.2666458333333194,0.31913892309424907,84,2,84,0,80,80,80,160,160,2,-80,10.65333333332444,2,-0.20006250000004178,10.65333333332444,-0.46670833333336115,48.0,-32.0,False,320,fold,0,0.1584768295288086
11,0,3,3,deal,False,♠A ♦8,,20000,0.4284013888888264,0.32418915516029906,84,2,84,0,0,0,84,84,160,1,0,59.94286666664567,2,0.2852041666664791,58.229261111090366,-0.1431972222223472,48.0,48.0,True,320,call,0,0.15576887130737305
