round_id,turn,N,Nnf,roundName,first,hole,board,Nsim,prWin,prWinStd,chips,reld,chips_total,pot,bet,cost_on_table,cost_to_call,cost_total,maxBet_all,N_maxBet_all,util_fold,util_call,N_canraise,util_raise_coeff,util_call2,util_raise_coeff2,limitRoundBet,limitBet,gamble_tol,action,amount,cputime
1,0,3,3,deal,False,♣A ♠6,,20000,0.40388611111105616,0.3211405346171552,1000,0,3000,0,0,0,20,20,20,1,0,12.310888888884492,2,0.21165833333316852,8.272027777773932,-0.1922277777778877,518.0605216283385,518.0605216283385,150,bet,103,0.12701988220214844
1,1,4,3,deal,False,♦A ♥8,,20000,0.3233416666667143,0.3376136511222779,990,0,2990,0,10,10,10,20,20,2,-10,12.334166666671434,2,-0.029974999999857088,5.8673333333371485,-0.35331666666657136,389.84142711413125,379.84142711413125,149,call,0,0.13634109497070312
1,2,4,3,flop,True,♦A ♥8,♥3 ♣J ♠5,90,0.2,0.4,980,0,2980,20,0,20,20,40,0,4,-20,5.333333333333332,2,-0.3999999999999999,5.333333333333332,-0.6,221.9716991356706,201.9716991356706,149,call,0,1.1813859939575195
1,3,4,2,turn,True,♦A ♥8,♥3 ♣J ♠5 ♦Q,84,0.05357142857142857,0.20438434182606421,960,0,2960,40,0,40,20,60,0,4,-40,-12.5,1,-0.8928571428571429,-12.5,-0.8928571428571429,54.40303925037109,14.403039250371087,148,fold,0,1.1823387145996094
2,0,4,4,deal,False,♣4 ♠A,,20000,0.2948464285714673,0.33470241382310245,960,0,2960,0,0,0,20,20,20,2,0,9.484642857146733,3,0.17938571428586925,6.536178571432059,-0.4103071428570654,345.1728402568109,345.1728402568109,148,call,0,0.13910675048828125
2,1,4,3,flop,True,♣4 ♠A,♦Q ♣8 ♠4,336,0.2976190476190476,0.45503606794324736,940,0,2940,20,0,20,20,40,0,4,-20,15.714285714285715,2,-0.1071428571428572,15.714285714285715,-0.40476190476190477,346.7069846947082,326.7069846947082,147,call,0,1.2116689682006836
2,2,4,2,turn,True,♣4 ♠A,♦Q ♣8 ♠4 ♠2,253,0.24308300395256918,0.4254752992413239,920,0,2920,40,0,40,20,60,0,4,-40,13.662714097496707,1,-0.5138339920948616,13.662714097496707,-0.5138339920948616,271.4611426030881,231.4611426030881,146,call,0,1.2013649940490723
2,3,4,2,river,True,♣4 ♠A,♦Q ♣8 ♠4 ♠2 ♥3,260,0.36730769230769234,0.4790700743050797,900,0,2900,60,0,60,20,80,0,4,-60,48.15384615384616,1,-0.26538461538461533,48.15384615384616,-0.26538461538461533,443.14242900430133,383.14242900430133,145,call,0,1.2003769874572754
3,0,4,4,deal,False,♦6 ♥8,,20000,0.2602761904762153,0.32887387820458264,1100,0,3100,0,0,0,20,20,20,1,0,6.027619047621533,3,0.04110476190486123,-1.7806666666649278,-0.4794476190475694,311.97147555802235,311.97147555802235,155,bet,62,0.16145110130310059
3,1,4,3,flop,False,♦6 ♥8,♠5 ♦7 ♠7,186,0.27419354838709675,0.4252837701108132,1038,0,3038,62,0,62,20,82,20,1,-62,29.064516129032242,2,-0.17741935483870974,18.096774193548384,-0.4516129032258065,324.9935337812189,262.9935337812189,151,call,0,1.1935100555419922
3,2,4,3,turn,True,♦6 ♥8,♠5 ♦7 ♠7 ♦3,208,0.1778846153846154,0.3824155841412361,1018,0,3018,82,0,82,20,102,0,4,-82,0.4519230769230802,2,-0.46634615384615385,0.4519230769230802,-0.6442307692307692,197.33048785171968,115.33048785171968,150,call,0,1.1954948902130127
3,3,4,2,river,True,♦6 ♥8,♠5 ♦7 ♠7 ♦3 ♥7,620,0.0,0.0,998,0,2998,102,0,102,20,122,0,4,-102,-68.0,1,-1.0,-68.0,-1.0,-0.0,-102.0,149,call,0,1.2294692993164062
4,0,4,2,deal,False,♦4 ♦A,,20000,0.3372815476190926,0.36384827531123837,958,0,2958,0,20,20,0,20,20,2,-20,13.728154761909265,1,-0.32543690476181475,0.23689285714555908,-0.32543690476181475,406.2232487604557,386.2232487604557,147,check,0,0.1393728256225586
5,0,4,2,deal,False,♣A ♦A,,20000,0.6576345238094539,0.2867518323545984,978,0,2978,0,20,20,20,40,40,1,-20,91.52690476189078,1,0.3152690476189077,38.91614285713446,0.3152690476189077,1065.5318407157772,1045.5318407157772,148,bet,209,0.13511109352111816
5,1,4,2,flop,True,♣A ♦A,♣Q ♣3 ♥3,72,0.8333333333333334,0.37267799624996495,769,0,2769,229,0,229,40,269,0,4,-229,402.27777777777777,1,0.6666666666666667,402.27777777777777,0.6666666666666667,1656.1499884656057,1427.1499884656057,138,bet,713,1.1877682209014893
5,2,4,2,turn,True,♣A ♦A,♣Q ♣3 ♥3 ♠2,69,0.6376811594202898,0.4806702594717971,56,0,2056,942,0,942,40,982,0,4,-942,1113.1304347826085,1,0.2753623188405796,1113.1304347826085,0.2753623188405796,696.7626232656153,-245.23737673438472,102,call,0,1.1951329708099365
6,0,4,3,deal,False,♣J ♠5,,20000,0.22857559523810828,0.3121689834267688,1956,0,3956,0,0,0,40,40,40,1,0,5.715119047621659,2,-0.31427321428567523,-7.999416666664839,-0.5428488095237834,342.7034070246714,342.7034070246714,197,call,0,0.13881802558898926
6,1,4,2,flop,False,♣J ♠5,♦J ♠J ♥10,263,0.811787072243346,0.36445417324488233,1916,0,3916,40,0,40,40,80,40,1,-40,214.7528517110266,1,0.623574144486692,149.80988593155894,0.623574144486692,2183.249242160939,2143.249242160939,195,bet,1071,1.1948089599609375
7,0,4,4,deal,False,♠3 ♦5,,20000,0.21658154761906118,0.31507732706498615,2996,0,4996,0,0,0,40,40,40,1,0,3.3163095238122295,3,-0.1336738095237553,-9.678583333331439,-0.5668369047618776,407.0674728036491,407.0674728036491,249,call,0,0.14089703559875488
7,1,4,2,flop,True,♠3 ♦5,♠10 ♥J ♦10,309,0.0703883495145631,0.25221705219446255,2956,0,4956,40,0,40,40,80,0,4,-40,-23.106796116504857,1,-0.8592233009708738,-23.106796116504857,-0.8592233009708738,120.74854491847894,80.74854491847894,247,call,0,1.1989600658416748
7,2,4,2,turn,True,♠3 ♦5,♠10 ♥J ♦10 ♦A,79,0.056962025316455694,0.19868781205496538,2916,0,4916,80,0,80,40,120,0,4,-80,-34.345991561181435,1,-0.8860759493670887,-34.345991561181435,-0.8860759493670887,96.24262651169629,16.242626511696287,245,call,0,1.1813199520111084
7,3,4,2,river,True,♠3 ♦5,♠10 ♥J ♦10 ♦A ♥Q,184,0.002717391304347826,0.025922260908069174,2876,0,4876,120,0,120,40,160,0,4,-120,-65.5072463768116,1,-0.9945652173913043,-65.5072463768116,-0.9945652173913043,4.428979022842318,-115.57102097715769,243,call,0,1.1869728565216064
8,0,4,3,deal,False,♥3 ♠5,,20000,0.21658154761906118,0.31507732706498615,2796,0,4796,0,40,40,0,40,40,3,-40,3.3163095238122295,2,-0.3502553571428164,-5.346952380950217,-0.5668369047618776,390.77173730310267,350.77173730310267,239,check,0,0.13830208778381348
8,1,4,2,flop,True,♥3 ♠5,♣7 ♥Q ♦5,160,0.253125,0.4293777292489679,2796,0,4796,40,0,40,40,80,0,4,-40,20.583333333333332,1,-0.49375,20.583333333333332,-0.49375,467.24746170418416,427.24746170418416,239,call,0,1.1936678886413574
8,2,4,2,turn,True,♥3 ♠5,♣7 ♥Q ♦5 ♠8,77,0.19480519480519481,0.3960506670643352,2756,0,4756,80,0,80,40,120,0,4,-80,14.545454545454547,1,-0.6103896103896104,14.545454545454547,-0.6103896103896104,343.9851618780154,263.9851618780154,237,call,0,1.1890430450439453
8,3,4,2,river,True,♥3 ♠5,♣7 ♥Q ♦5 ♠8 ♦J,180,0.06666666666666667,0.23213980461973532,2716,0,4716,120,0,120,40,160,0,4,-120,-28.444444444444446,1,-0.8666666666666667,-28.444444444444446,-0.8666666666666667,108.6113017524291,-11.3886982475709,235,fold,0,1.1908910274505615
9,0,4,3,deal,False,♥5 ♣J,,20000,0.22857559523810828,0.3121689834267688,2676,0,4676,0,40,40,40,80,80,2,-40,11.430238095243318,2,-0.31427321428567523,-6.855809523805348,-0.5428488095237834,405.07612013330726,365.07612013330726,233,call,0,0.13850903511047363
9,1,4,3,flop,True,♥5 ♣J,♦J ♠8 ♥3,69,0.6739130434782609,0.45703904438323123,2636,0,4636,80,0,80,80,160,0,4,-80,198.26086956521738,2,1.0217391304347827,198.26086956521738,0.34782608695652173,1734.1538920800929,1654.1538920800929,231,bet,827,1.1938753128051758
9,2,4,3,turn,True,♥5 ♣J,♦J ♠8 ♥3 ♣7,67,0.5074626865671642,0.49994430520729033,1809,0,3809,907,0,907,80,987,0,4,-907,1086.8507462686568,1,0.014925373134328401,1086.8507462686568,0.014925373134328401,900.4399056108614,-6.560094389138612,190,call,0,1.1875801086425781
9,3,4,3,river,True,♥5 ♣J,♦J ♠8 ♥3 ♣7 ♠9,126,0.2619047619047619,0.41170515394739476,1729,0,3729,987,0,987,80,1067,0,4,-987,307.8174603174603,1,-0.47619047619047616,307.8174603174603,-0.47619047619047616,378.0149952152126,-608.9850047847874,186,call,0,1.1894261837005615
10,0,4,4,deal,False,♦3 ♥10,,20000,0.2022047619047665,0.30246288176791525,1649,0,3649,0,0,0,80,80,80,2,0,0.8819047619065898,3,-0.19118095238093402,-7.206285714284064,-0.595590476190467,275.1651672449257,275.1651672449257,182,call,0,0.13893985748291016
10,1,4,4,flop,False,♦3 ♥10,♥K ♣4 ♠8,407,0.009828009828009828,0.09864796019599376,1569,0,3569,80,0,80,80,160,80,3,-80,-152.13759213759215,3,-0.9606879606879607,-152.13759213759215,-0.9803439803439803,11.766628669754708,-68.23337133024529,178,call,0,1.2076380252838135
10,2,4,4,turn,False,♦3 ♥10,♥K ♣4 ♠8 ♥A,399,0.015037593984962405,0.12170236132510259,1489,0,3489,160,0,160,80,240,80,3,-160,-221.95488721804512,3,-0.9398496240601504,-221.95488721804512,-0.9699248120300752,17.646652934764795,-142.3533470652352,174,call,0,1.2089381217956543
10,3,4,4,river,False,♦3 ♥10,♥K ♣4 ♠8 ♥A ♥7,1025,0.0,0.0,1409,0,3409,240,0,240,80,320,80,3,-240,-320.0,3,-1.0,-320.0,-1.0,-0.0,-240.0,170,fold,0,1.2645080089569092
11,0,4,4,deal,False,♠10 ♣5,,20000,0.2115255952381036,0.3044234054915725,1409,0,3409,0,0,0,80,80,80,1,0,4.610238095241449,3,-0.1538976190475856,-20.772833333330986,-0.5769488095237928,270.44039949540723,270.44039949540723,170,call,0,0.13938689231872559
11,1,4,4,deal,False,♠10 ♣5,,20000,0.2115255952381036,0.3044234054915725,1329,0,3329,0,80,80,80,160,160,1,-80,9.220476190482898,3,-0.1538976190475856,-24.623619047613687,-0.5769488095237928,264.093895547143,184.093895547143,166,call,0,0.12036299705505371
11,2,4,4,flop,True,♠10 ♣5,♠J ♠9 ♣4,306,0.11764705882352941,0.32218973970892123,1249,0,3249,160,0,160,80,240,0,4,-160,-56.47058823529413,3,-0.5294117647058824,-56.47058823529413,-0.7647058823529411,135.7447910307185,-24.25520896928151,162,call,0,1.194525957107544
11,3,4,4,turn,True,♠10 ♣5,♠J ♠9 ♣4 ♦J,282,0.14361702127659576,0.3468884518229866,1169,0,3169,240,0,240,80,320,0,4,-240,-56.170212765957444,3,-0.42553191489361697,-56.170212765957444,-0.7127659574468085,164.00469157728654,-75.99530842271346,158,call,0,1.1975209712982178
11,4,4,4,river,True,♠10 ♣5,♠J ♠9 ♣4 ♦J ♠6,813,0.0,0.0,1089,0,3089,320,0,320,80,400,0,4,-320,-320.0,3,-1.0,-320.0,-1.0,-0.0,-320.0,154,call,0,1.2519519329071045
12,0,4,2,deal,False,♥10 ♠4,,20000,0.207771428571434,0.3047445206216248,929,0,2929,0,80,80,0,80,80,2,-80,3.1085714285736046,1,-0.584457142857132,-30.134857142855836,-0.584457142857132,227.71718061926748,147.71718061926748,146,check,0,0.15015196800231934
13,0,4,4,deal,False,♠K ♥K,,20000,0.6025767857142472,0.2981169392589175,1009,0,3009,0,80,80,120,200,200,1,-80,402.5767857142472,2,0.8077303571427417,354.37064285710744,0.20515357142849444,926.840296042308,846.840296042308,160,bet,169,0.13773703575134277
13,1,4,4,flop,True,♠K ♥K,♠9 ♥9 ♦A,75,0.53,0.49152822909778027,840,0,2840,249,0,249,160,409,0,4,-249,477.3566666666667,2,0.5900000000000001,477.3566666666667,0.06000000000000005,715.7729541718235,466.77295417182347,160,bet,233,1.1904540061950684
13,2,4,4,turn,True,♠K ♥K,♠9 ♥9 ♦A ♣J,77,0.5454545454545454,0.49792959773196926,607,0,2607,482,0,482,160,642,0,4,-482,808.7272727272726,2,0.6363636363636362,808.7272727272726,0.09090909090909083,686.1455399788103,204.14553997881035,160,bet,126,1.1932859420776367
13,3,4,3,river,True,♠K ♥K,♠9 ♥9 ♦A ♣J ♠J,131,0.40458015267175573,0.4908106078069774,447,0,2447,642,0,642,160,802,0,4,-642,597.3587786259542,1,-0.19083969465648853,597.3587786259542,-0.19083969465648853,423.51626751298903,-218.48373248701097,160,call,0,1.1857531070709229
14,0,4,4,deal,False,♠8 ♦Q,,20000,0.2813964285714582,0.33351718823411103,2413,0,4413,0,0,0,160,160,160,2,0,65.11714285716657,3,0.12558571428583276,42.605428571449906,-0.4372071428570836,486.77771194321184,486.77771194321184,220,bet,97,0.14371800422668457
14,1,4,3,flop,False,♠8 ♦Q,♥A ♠6 ♦A,352,0.2471590909090909,0.4213653372281059,2253,0,4253,160,0,160,160,320,160,2,-160,75.45454545454547,2,-0.2585227272727273,35.90909090909091,-0.5056818181818181,403.0508502239638,243.05085022396378,212,call,0,1.203441858291626
14,2,4,3,turn,False,♠8 ♦Q,♥A ♠6 ♦A ♠2,274,0.09854014598540146,0.2980435968353912,2093,0,4093,320,0,320,160,480,160,2,-320,-211.1922141119221,2,-0.7043795620437956,-226.95863746958634,-0.8029197080291971,141.73725782388695,-178.26274217611305,204,call,0,1.2029640674591064
14,3,4,3,river,False,♠8 ♦Q,♥A ♠6 ♦A ♠2 ♠5,612,0.031862745098039214,0.1721104888633408,1933,0,3933,480,0,480,160,640,160,2,-480,-444.967320261438,2,-0.9044117647058824,-450.0653594771243,-0.9362745098039216,42.51250510592744,-437.48749489407254,196,call,0,1.2239642143249512
15,0,4,4,deal,False,♥7 ♣3,,20000,0.21858154761906048,0.31172450707842125,1773,0,3773,0,0,0,160,160,160,1,0,14.865238095248401,3,-0.12567380952375806,-37.59433333332612,-0.5628369047618791,310.63845033080486,310.63845033080486,188,call,0,0.1455080509185791
16,0,4,4,deal,False,♦8 ♠6,,20000,0.2602761904762153,0.32887387820458264,1933,0,3933,0,160,160,0,160,160,4,-160,48.220952380972264,3,0.04110476190486123,48.220952380972264,-0.4794476190475694,395.80123011925866,235.80123011925866,196,bet,47,0.1401839256286621
16,1,4,3,flop,True,♦8 ♠6,♠5 ♥9 ♦2,178,0.21067415730337077,0.40258797001626606,1773,0,3773,320,0,320,160,480,0,4,-320,50.78651685393257,2,-0.3679775280898877,50.78651685393257,-0.5786516853932584,297.9576940130065,-22.042305986993483,188,fold,0,1.1898248195648193
17,0,4,3,deal,False,♣3 ♥2,,20000,0.18635119047619914,0.29882803067143077,1613,0,3613,0,160,160,160,320,320,2,-160,-21.838095238081337,2,-0.44094642857140265,-81.47047619046506,-0.6272976190476017,248.71920257211448,88.71920257211448,320,call,0,0.14259576797485352
17,1,4,3,flop,True,♣3 ♥2,♥8 ♠10 ♠8,105,0.0,0.0,1453,0,3453,320,0,320,320,640,0,4,-320,-213.33333333333334,2,-1.0,-213.33333333333334,-1.0,-0.0,-320.0,320,call,0,1.1942269802093506
17,2,4,3,turn,True,♣3 ♥2,♥8 ♠10 ♠8 ♥3,81,0.2962962962962963,0.45662325947918336,1133,0,3133,640,0,640,320,960,0,4,-640,363.45679012345676,2,-0.11111111111111116,363.45679012345676,-0.40740740740740744,367.4993220128499,-272.5006779871501,320,fold,0,1.193429946899414
18,0,4,3,deal,False,♣Q ♠5,,20000,0.2443386904762102,0.3153218356321198,2133,1,3133,0,0,0,320,320,320,1,0,70.94190476193631,2,-0.2669839285713693,-46.34066666664458,-0.5113226190475796,292.99933575254056,292.99933575254056,320,fold,0,0.13842105865478516
19,0,4,4,deal,False,♣2 ♣7,,20000,0.25679107142859214,0.3466310009930536,2133,1,3133,0,0,0,320,320,320,1,0,90.86571428574743,3,0.027164285714368575,-32.393999999976785,-0.4864178571428157,310.3767737093504,310.3767737093504,320,call,0,0.1644430160522461
19,1,4,3,flop,True,♣2 ♣7,♠9 ♦10 ♦2,148,0.30067567567567566,0.45299254537473793,1813,1,2813,320,0,320,320,640,0,4,-320,246.48648648648646,2,-0.09797297297297303,246.48648648648646,-0.3986486486486487,335.8254635901018,15.825463590101776,320,call,0,1.186612844467163
19,2,4,3,turn,True,♣2 ♣7,♠9 ♦10 ♦2 ♣10,85,0.2529411764705882,0.41033364768459496,1493,1,2493,640,0,640,320,960,0,4,-640,247.37254901960785,1,-0.49411764705882355,247.37254901960785,-0.49411764705882355,242.674254786651,-397.325745213349,320,call,0,1.1854050159454346
19,3,4,3,turn,False,♣2 ♣7,♠9 ♦10 ♦2 ♣10,336,0.21428571428571427,0.3936679943758679,1173,1,2173,640,320,960,1173,2133,7187,1,-960,305.9761904761905,0,-0.7857142857142857,194.54761904761892,-0.5714285714285714,174.93056842539409,-785.0694315746059,320,fold,0,1.1863739490509033
20,0,4,4,deal,False,♠7 ♦J,,20000,0.25328690476192495,0.3242578879623054,1853,2,1853,0,320,320,320,640,640,1,-320,167.18736507940918,1,-0.4934261904761501,167.18736507940918,-0.4934261904761501,180.66152913283892,-139.33847086716108,640,call,0,0.13877081871032715
20,1,4,4,flop,True,♠7 ♦J,♣7 ♣2 ♦A,81,0.38271604938271603,0.45770678794855874,1533,2,1533,640,0,640,640,1280,0,4,-640,695.1440329218107,1,-0.23456790123456794,695.1440329218107,-0.23456790123456794,246.87095483139535,-393.12904516860465,640,fold,0,1.1885039806365967
21,0,4,4,deal,False,♥10 ♦2,,20000,0.24116071428573224,0.3217987347733267,1533,2,1533,0,0,0,640,640,640,1,0,139.257142857185,2,-0.2765178571428033,62.08571428575067,-0.5176785714285355,141.21914724538277,141.21914724538277,640,fold,0,0.14249324798583984
22,0,4,4,deal,False,♠2 ♠A,,20000,0.3131726190476573,0.3548060396800437,893,2,893,0,640,640,0,640,640,3,-640,308.24507936516915,2,-0.06048214285702813,308.24507936516915,-0.3736547619046854,111.98442262934623,-528.0155773706538,640,check,0,0.1359388828277588
22,1,4,4,flop,False,♠2 ♠A,♦9 ♠8 ♥8,178,0.18820224719101122,0.3780882181040655,893,2,893,640,0,640,640,1280,640,1,-640,29.96254681647929,2,-0.4353932584269663,-90.48689138576788,-0.6235955056179776,62.15312089473523,-577.8468791052647,640,call,0,1.1898558139801025
22,2,4,4,turn,False,♠2 ♠A,♦9 ♠8 ♥8 ♦A,159,0.5377358490566038,0.4743322675462844,253,2,253,1280,0,1280,253,1533,1840,1,-1280,2000.6132075471696,1,0.07547169811320753,1864.566037735849,0.07547169811320753,65.16588852473305,-1214.834111475267,640,call,0,1.1912081241607666
