round_id,turn,N,Nnf,roundName,first,hole,board,Nsim,prWin,prWinStd,chips,reld,chips_total,pot,bet,cost_on_table,cost_to_call,cost_total,maxBet_all,N_maxBet_all,util_fold,util_call,N_canraise,util_raise_coeff,util_call2,util_raise_coeff2,limitRoundBet,limitBet,action,amount,cputime
1,0,4,3,deal,False,♦8 ♠A,,20000,0.3233416666667143,0.3376136511222779,990,0,2990,0,10,10,10,20,20,2,-10,12.334166666671434,2,-0.029974999999857088,5.8673333333371485,-0.35331666666657136,389.84142711413125,379.84142711413125,call,0,0.13783574104309082
1,1,4,3,flop,True,♦8 ♠A,♣5 ♦4 ♣2,92,0.14673913043478262,0.3421324072942857,980,0,2980,20,0,20,20,40,0,4,-20,0.36231884057971087,2,-0.5597826086956521,0.36231884057971087,-0.7065217391304348,157.85658214904439,137.85658214904439,call,0,1.1886372566223145
2,0,4,3,deal,False,♦2 ♦6,,20000,0.2559220238095447,0.34824177310647575,1040,0,3040,0,0,0,20,20,20,1,0,5.592202380954472,2,-0.23223392857136593,-2.0854583333318697,-0.4881559523809106,299.9776430124924,299.9776430124924,call,0,0.13745903968811035
2,1,4,2,flop,False,♦2 ♦6,♦A ♠9 ♣Q,341,0.08211143695014662,0.25371653754426093,1020,0,3020,20,0,20,500,520,500,1,-20,-302.03323558162265,1,-0.8357771260997068,-384.1446725317693,-0.8357771260997068,86.37335460487863,66.37335460487863,fold,0,1.1980948448181152
3,0,4,4,deal,False,♠5 ♥3,,20000,0.21658154761906118,0.31507732706498615,1020,0,3020,0,0,0,20,20,20,1,0,1.6581547619061148,3,-0.1336738095237553,-4.839291666665719,-0.5668369047618776,246.06560605825064,246.06560605825064,call,0,0.136152982711792
3,1,4,2,flop,True,♠5 ♥3,♠10 ♥4 ♥7,166,0.18674698795180722,0.37793703955079805,1000,0,3000,20,0,20,20,40,0,4,-20,4.096385542168674,1,-0.6265060240963856,4.096385542168674,-0.6265060240963856,207.00749370324692,187.00749370324692,call,0,1.1842589378356934
3,2,4,2,turn,True,♠5 ♥3,♠10 ♥4 ♥7 ♣8,194,0.04896907216494845,0.2127967160048249,980,0,2980,40,0,40,20,60,0,4,-40,-13.144329896907216,1,-0.9020618556701031,-13.144329896907216,-0.9020618556701031,49.94502150857421,9.945021508574207,fold,0,1.186208963394165
4,0,4,3,deal,False,♠2 ♠J,,20000,0.24500714285715963,0.3386630391448351,960,0,2960,0,20,20,0,20,20,3,-20,4.500714285715963,2,-0.2649785714285211,2.050642857144366,-0.5099857142856807,277.69473903618166,257.69473903618166,check,0,0.1378917694091797
4,1,4,3,flop,True,♠2 ♠J,♠K ♠A ♦3,82,0.524390243902439,0.4994047616937383,960,0,2960,20,0,20,20,40,0,4,-20,39.26829268292683,2,0.5731707317073171,39.26829268292683,0.04878048780487809,734.2934209366992,714.2934209366992,bet,357,1.1800639629364014
5,0,4,2,deal,False,♥Q ♠A,,20000,0.3817708333333927,0.3576421211367939,1010,0,3010,0,20,20,20,40,40,1,-20,36.35416666667854,1,-0.23645833333321464,5.812500000007123,-0.23645833333321464,483.18642647717246,463.18642647717246,call,0,0.13919305801391602
5,1,4,2,flop,True,♥Q ♠A,♦K ♦10 ♦3,117,0.2564102564102564,0.41789759007709293,990,0,2990,40,0,40,40,80,0,4,-40,20.85470085470085,1,-0.4871794871794872,20.85470085470085,-0.4871794871794872,295.6989174527182,255.6989174527182,call,0,1.1824138164520264
