round_id,turn,N,Nnf,roundName,first,hole,board,Nsim,prWin,prWinStd,chips,reld,chips_total,pot,bet,cost_on_table,cost_to_call,cost_total,maxBet_all,N_maxBet_all,util_fold,util_call,N_canraise,util_raise_coeff,util_call2,util_raise_coeff2,limitRoundBet,limitBet,gamble_tol,action,amount,cputime
0,0,6,6,deal,False,♣Q ♣7,,20000,0.2111825396825343,0.34573550231560735,1000,0,3000,0,0,0,20,20,20,1,0,9.565555555554804,5,0.26709523809520586,-5.217222222222599,-0.5776349206349314,309.07045481563273,309.07045481563273,300,bet,61,0.1689138412475586
0,1,6,3,flop,False,♣Q ♣7,♣A ♥5 ♠A,245,0.14734693877551022,0.34037259802138325,939,0,2939,61,0,61,20,81,20,1,-61,5.374122448979598,2,-0.5579591836734693,-6.413632653061221,-0.7053061224489796,203.46004684523402,142.46004684523402,293,call,0,1.2189397811889648
0,2,6,3,turn,False,♣Q ♣7,♣A ♥5 ♠A ♠10,198,0.06060606060606061,0.23860629921247914,919,0,2919,81,0,81,20,101,20,1,-81,-34.987878787878785,2,-0.8181818181818181,-39.83636363636363,-0.8787878787878788,79.25740620131153,-1.7425937986884747,291,call,0,1.1983861923217773
0,3,6,3,river,False,♣Q ♣7,♣A ♥5 ♠A ♠10 ♠8,268,0.0,0.0,899,0,2899,101,0,101,20,121,20,1,-101,-72.6,2,-1.0,-72.6,-1.0,-0.0,-101.0,289,call,0,1.2050678730010986
