round_id,turn,N,Nnf,roundName,first,hole,board,Nsim,prWin,prWinStd,chips,reld,chips_total,pot,bet,cost_on_table,cost_to_call,cost_total,maxBet_all,N_maxBet_all,prWin_adj,limitBet,util_fold,util_call,util_raise_coeff,action,amount,cputime
1,0,5,5,deal,False,♠7 ♥4,,60000,0.1545367724867725,0.2905706075606886,990,0,2990,0,10,10,990,1000,1000,3,2.016068786614521,,-10,7114.596522190373,3.0321375732290416,allin,0,1.276127576828003
2,0,5,5,deal,False,♥2 ♣3,,60000,0.11985912698412697,0.26492025433700483,1000,1,2000,0,0,0,1000,1000,1000,2,1.7941862768321504,,0,4436.384418801415,2.5883725536643007,allin,0,1.8591859340667725
3,0,5,5,deal,False,♠10 ♦10,,60000,0.36654259259259253,0.34141074527964704,1000,2,1000,0,0,0,20,20,20,2,2.8529405181744005,,0,179.70583627220805,4.705881036348801,allin,0,1.5681567192077637
