N,NMaxBet,NRcall,NRfold,NRraise,N_effective,Nallin,Ncall,Nfold,Nnf,Nraise,Nsim,action,aggresiveness,amount,bet,bet_amt,bet_sum,board,cards_aces,cards_conn,cards_faces,cards_pair,cards_rank1,cards_rank2,cards_suit,chips,cost_to_call,cputime,first,forced_bet,game_id,hand_score0,hand_score1,hole,logic,minBet,play,position,pot,pot_sum,prWin,prWinStd,prWin_adj,prWin_delta,prev_action,prev_play,prev_prWin,prev_round,resp,roundName,round_id,self_Ncall,self_Nraise,smallBlind,tableNumber,thd_call,tightness
10,1,0,2,0,10,0,0,2,8,0,60000,fold,0.75,0,0,11,30,,0,0,0,0,9,2,0,3000,20,0.334514856338501,False,0,20180726193306669,0,9,2S 9C,michael2,20,bluff,3,0,0,0.052990555555555624,0.21390594745951141,0.21786532672382367,0,,,,,"[1, 0, 0, 11]",Deal,1,0,0,10,392,0.4,-0.736
10,1,0,1,0,10,0,0,1,9,0,60000,fold,0.75,0,0,40,30,,0,0,1,0,13,10,0,3000,20,0.3278341293334961,False,0,20180726193306669,0,13,KS TH,michael2,20,bluff,2,0,0,0.13068222222222167,0.32731248199721347,0.37875285268086023,0,,,,,"[1, 0, 0, 40]",Deal,2,0,0,10,392,0.4,-0.736
10,1,0,0,0,10,0,0,0,10,0,60000,fold,0.75,0,0,11,30,,1,0,0,0,14,6,0,3000,20,0.34598803520202637,False,0,20180726193306669,0,14,6S AC,michael2,20,bluff,1,0,0,0.09702277777777744,0.2826796468780208,0.3148705204597451,0,,,,,"[1, 0, 0, 11]",Deal,3,0,0,10,392,0.4,-0.736
10,7,0,3,0,10,0,0,3,7,0,60000,check,0.75,0,20,,150,,0,0,0,0,7,3,0,2980,0,0.33797574043273926,False,20,20180726193306669,0,7,7H 3D,michael3,0,trash,BB,0,0,0.056001944444444555,0.21976489781138855,0.22522709822005393,0,none,,,,"[0, 1, 0, 0]",Deal,4,0,0,10,392,-0.13333333333333333,-0.736
10,0,0,0,0,7,0,0,0,7,0,109,check,0.75,0,0,,0,9S KC AC,0,0,0,0,7,3,0,2980,0,0.23307013511657715,True,0,20180726193306669,0,14,7H 3D,michael3,20,fold,BB,20,150,0.0,0.0,0.0,-0.056001944444444555,none,,0.056001944444444555,,"[0, 1, 0, 0]",Flop,4,0,0,10,392,0.0,-0.248
10,2,0,3,0,7,0,0,3,4,0,449,fold,0.75,0,0,,144,9S KC AC,0,0,0,0,7,3,0,2980,62,0.17830824851989746,False,0,20180726193306669,0,14,7H 3D,michael3,62,fold,BB,20,150,0.01002227171492205,0.09083747665716307,0.03472514549623926,-0.045979672729522504,check,,0.056001944444444555,,"[1, 0, 0, 0]",Flop,4,0,0,10,392,0.17415730337078653,-0.248
10,1,0,3,0,10,0,0,3,7,0,60000,fold,0.75,0,10,,2130,,0,0,0,0,11,6,0,2970,2010,0.33205175399780273,False,10,20180726193306669,0,11,JH 6S,michael3,2010,trash,SB,0,0,0.06966722222222249,0.24094096277320715,0.25704203972890105,0,none,,,,"[1, 0, 0, 0]",Deal,5,0,0,10,392,0.4830917874396135,-0.736
10,1,0,3,0,10,0,0,3,7,0,60000,fold,0.75,0,0,,2110,,0,0,0,1,4,4,0,2970,2020,0.36990976333618164,False,0,20180726193306669,1,4,4H 4D,michael3,2020,ml_fold,D,0,0,0.12270277777777785,0.3258310764024869,0.3641812328808879,0,none,,,,"[1, 0, 0, 0]",Deal,6,0,0,10,392,0.4891041162227603,-0.736
10,2,0,3,0,10,0,0,3,7,0,60000,bet,0.75,1414,0,,174,,1,0,0,0,14,5,0,2970,62,0.39551472663879395,False,0,20180726193306669,0,14,AH 5C,michael3,62,ml_raise,7,0,0,0.09976361111111083,0.2864351802148553,0.32033144420955195,0,none,,,,"[0, 0, 1, 1414]",Deal,7,0,0,10,392,0.2627118644067797,-0.736
10,3,0,3,0,10,0,0,3,7,0,60000,fold,0.75,0,0,,70,,0,0,0,0,10,8,0,3144,20,0.32828426361083984,False,0,20180726193306669,0,10,8C TS,michael3,20,trash,6,0,0,0.10032972222222192,0.2892708006264999,0.321452919729145,0,none,,,,"[1, 0, 0, 0]",Deal,8,0,0,10,392,0.2222222222222222,-0.736
9,2,0,2,0,9,0,0,2,7,0,60000,fold,0.75,0,0,,50,,0,0,0,0,11,9,0,3144,20,0.4794480800628662,False,0,20180726193306669,0,11,JS 9D,michael3,20,trash,4,0,0,0.13762222222223966,0.32727484272083335,0.3532811267192082,0,none,,,,"[1, 0, 0, 0]",Deal,9,0,0,10,392,0.2857142857142857,-0.626
9,2,0,1,0,9,0,0,1,8,0,60000,fold,0.75,0,0,,50,,0,0,0,0,9,3,0,3144,20,0.47645092010498047,False,0,20180726193306669,0,9,3C 9H,michael3,20,trash,3,0,0,0.07330740740741394,0.24748007264456695,0.2364683137965889,0,none,,,,"[1, 0, 0, 0]",Deal,10,0,0,10,392,0.2857142857142857,-0.626
