N,NMaxBet,NRcall,NRfold,NRraise,N_effective,Nallin,Ncall,Nfold,Nnf,Nraise,Nsim,action,aggresiveness,amount,bet,bet_amt,bet_sum,board,cards_aces,cards_conn,cards_faces,cards_pair,cards_rank1,cards_rank2,cards_suit,chips,cost_to_call,cputime,first,forced_bet,game_id,hand_score0,hand_score1,hole,logic,minBet,play,position,pot,pot_sum,prWin,prWinStd,prWin_adj,prWin_delta,prev_action,prev_play,prev_prWin,prev_round,resp,roundName,round_id,self_Ncall,self_Nraise,smallBlind,tableNumber,thd_call,tightness
6,1,0,0,0,6,0,0,0,6,0,60000,fold,0.75,0,0,30,30,,0,1,0,0,9,8,0,3000,20,0.4076998233795166,False,0,20180726191938152,0,9,8S 9H,michael2,20,bluff,1,0,0,0.18089814814814326,0.31874397578651,0.294838544398145,0,,,,,"[1, 0, 0, 30]",Deal,1,0,0,10,357,0.4,-0.29600000000000004
6,6,0,0,0,6,0,0,0,6,0,60000,check,0.75,0,20,0,120,,0,0,0,0,13,2,0,2980,0,0.38592100143432617,False,20,20180726191938152,0,13,2D KC,michael2,0,bluff,BB,0,0,0.15489960317460422,0.2970923650458128,0.26199505229723213,0,,,,,"[0, 1, 0, 0]",Deal,2,0,0,10,357,-0.16666666666666666,-0.29600000000000004
6,0,0,0,0,6,0,0,0,6,0,334,check,0.75,0,0,raise,0,7S KH 3D,0,0,0,0,13,2,0,2980,0,0.160736083984375,True,0,20180726191938152,1,13,2D KC,michael2,20,value,BB,20,120,0.3907185628742515,0.4809584603202477,0.5117205985244977,0.23581895969964728,check,bluff,0.15489960317460422,Deal,"[0, 0.6, 0.35, 'raise']",Flop,2,0,0,10,357,0.0,-0.248
6,0,0,0,0,6,0,0,0,4,0,338,bet,0.75,0,0,0,0,7S KH 3D 2C,0,0,0,0,13,2,0,2980,0,0.15357637405395508,True,0,20180726191938152,2,13,2D KC,michael2,20,value,BB,20,120,0.7559171597633136,0.42172218652206434,0.8839207026725004,0.36519859688906214,check,value,0.3907185628742515,Flop,"[0, 0.09999999999999998, 0.25, 0]",Turn,2,0,0,10,357,0.0,-0.298
6,3,0,2,0,6,0,0,2,4,0,60000,check,0.75,0,10,5,70,,0,0,0,0,7,4,0,3090,10,0.37722301483154297,False,10,20180726191938152,0,7,4H 7C,michael2,10,value,SB,0,0,0.12808267195768144,0.28166487573554666,0.2270004961176415,0,,,,,"[0, 0.7, 0.3, 5]",Deal,3,0,0,10,357,0.0,-0.29600000000000004
6,0,0,0,0,4,0,0,0,4,0,88,check,0.75,0,0,0,0,6S KS 6D,0,0,0,0,7,4,0,3080,0,0.1302342414855957,True,0,20180726191938152,1,6,4H 7C,michael2,20,bluff,SB,20,80,0.036931818181818184,0.1437118167038834,0.08370323679589867,-0.09115085377586327,check,value,0.12808267195768144,Deal,"[0, 1, 0, 0]",Flop,3,0,0,10,357,0.0,-0.248
6,1,0,1,0,4,0,0,1,3,0,405,fold,0.75,0,0,950,476,6S KS 6D,0,0,0,0,7,4,0,3080,476,0.14970803260803223,False,0,20180726191938152,1,6,4H 7C,michael2,476,bluff,SB,20,80,0.09074074074074075,0.26806475068985525,0.16197627848795249,-0.037341931216940696,check,bluff,0.12808267195768144,Flop,"[1, 0, 0, 950]",Flop,3,0,0,10,357,0.46124031007751937,-0.248
6,1,0,1,0,6,0,0,1,5,0,60000,bet,0.75,1985,0,,300,,1,0,1,0,14,12,0,3080,250,0.4258918762207031,False,0,20180726191938152,0,14,AC QD,michael3,250,ml_raise,D,0,0,0.2736453703703646,0.3632625995942633,0.4056107823896833,0,none,,,,"[0, 0, 1, 1985]",Deal,4,0,0,10,357,0.45454545454545453,-0.29600000000000004
6,1,0,0,0,2,1,0,0,2,0,323,bet,0.75,761,0,,121,QS 3H KC,1,0,1,0,14,12,0,1095,121,0.2153611183166504,False,0,20180726191938152,1,12,AC QD,michael3,121,ml_raise,D,1985,4020,0.8328173374613003,0.36047842402642705,0.9253557784110891,0.5591719670909356,none,,0.2736453703703646,,"[0, 0, 1, 761]",Flop,4,0,0,10,357,0.028390427029563584,-0.248
6,1,0,2,0,6,0,0,2,4,0,60000,fold,0.75,0,0,,30,,0,0,0,0,13,8,0,974,20,0.38136816024780273,False,0,20180726191938152,0,13,8C KH,michael3,20,trash,3,0,0,0.18916891534390656,0.31703006354952107,0.30509516676815396,0,none,,,,"[1, 0, 0, 0]",Deal,5,0,0,10,357,0.4,-0.29600000000000004
