N,NMaxBet,NRcall,NRfold,NRraise,N_effective,Nallin,Ncall,Nfold,Nnf,Nraise,Nsim,action,aggresiveness,amount,bet,bet_amt,bet_sum,board,cards_aces,cards_conn,cards_faces,cards_pair,cards_rank1,cards_rank2,cards_suit,chips,cost_to_call,cputime,first,forced_bet,game_id,hand_score0,hand_score1,hole,logic,minBet,play,position,pot,pot_sum,prWin,prWinStd,prWin_adj,prWin_delta,prev_action,prev_play,prev_prWin,prev_round,resp,roundName,round_id,self_Ncall,self_Nraise,smallBlind,tableNumber,thd_call,tightness
6,5,0,0,0,6,0,0,0,6,0,60000,check,0.75,0,10,,110,,0,0,0,0,11,6,1,2990,10,0.3981959819793701,False,10,20180726190421673,0,11,JS 6S,michael3,10,trash,SB,0,0,0.1892698412698322,0.33389052332105756,0.3052197962719764,0,none,,,,"[0, 1, 0, 0]",Deal,1,0,0,10,314,0.0,-0.29600000000000004
6,0,0,0,0,6,0,0,0,6,0,55,bet,0.75,1983,0,,0,4C QS 8S,0,0,0,0,11,6,1,2980,0,0.18553996086120605,True,0,20180726190421673,0,12,JS 6S,michael3,20,ml_raise,SB,20,120,0.38181818181818183,0.48583233512317764,0.50230460092873,0.19254834054834963,none,,0.1892698412698322,,"[0, 0, 1, 1983]",Flop,1,0,0,10,314,0.0,-0.248
6,0,0,0,0,6,0,0,0,2,0,66,check,0.75,0,0,,0,4C QS 8S KD,0,0,0,0,11,6,1,997,0,0.18320775032043457,True,0,20180726190421673,0,13,JS 6S,michael3,20,ml_fold,SB,2003,4086,0.045454545454545456,0.20829889522526548,0.10752761623167456,-0.33636363636363636,none,,0.38181818181818183,,"[0, 1, 0, 0]",Turn,1,0,0,10,314,0.0,-0.298
6,1,0,0,0,6,1,0,0,2,0,380,fold,0.75,0,0,,997,4C QS 8S KD,0,0,0,0,11,6,1,997,997,0.1496739387512207,False,0,20180726190421673,0,13,JS 6S,michael3,997,fold,SB,2003,4086,0.12631578947368421,0.33220492290651576,0.2253128564998259,-0.2555023923444976,check,,0.38181818181818183,,"[1, 0, 0, 0]",Turn,1,0,0,10,314,0.16398026315789474,-0.298
6,4,0,0,0,6,0,0,0,6,0,60000,fold,0.75,0,0,,90,,0,0,0,0,13,5,0,997,20,0.3816840648651123,False,0,20180726190421673,0,13,KC 5D,michael3,20,trash,D,0,0,0.17108134920634566,0.3069431762412792,0.2825490389373244,0,none,,,,"[1, 0, 0, 0]",Deal,2,0,0,10,314,0.18181818181818182,-0.29600000000000004
6,3,0,0,0,6,0,0,0,6,0,60000,fold,0.75,0,0,,70,,0,0,0,0,13,2,0,997,20,0.3889498710632324,False,0,20180726190421673,0,13,KH 2C,michael3,20,trash,3,0,0,0.15489960317460422,0.2970923650458128,0.26199505229723213,0,none,,,,"[1, 0, 0, 0]",Deal,3,0,0,10,314,0.2222222222222222,-0.29600000000000004
6,1,0,1,0,6,0,0,1,5,0,60000,fold,0.75,0,0,,30,,0,0,0,0,11,4,1,997,20,0.3983759880065918,False,0,20180726190421673,0,11,4H JH,michael3,20,trash,2,0,0,0.18097685185184498,0.32894796741186044,0.2949365562149804,0,none,,,,"[1, 0, 0, 0]",Deal,4,0,0,10,314,0.4,-0.29600000000000004
6,1,0,0,0,6,0,0,0,6,0,60000,fold,0.75,0,0,40,30,,0,0,0,0,11,5,0,997,20,0.3766820430755615,False,0,20180726190421673,0,11,5H JC,michael2,20,bluff,1,0,0,0.14662023809524607,0.28990393473830584,0.2513234105756052,0,,,,,"[1, 0, 0, 40]",Deal,5,0,0,10,314,0.4,-0.29600000000000004
6,4,0,2,0,6,0,0,2,4,0,60000,check,0.75,0,20,0,90,,0,0,0,0,13,5,1,977,0,0.3756730556488037,False,20,20180726190421673,0,13,5D KD,michael2,0,bluff,BB,0,0,0.21502751322749827,0.3488019895501892,0.33663657693194726,0,,,,,"[0, 1, 0, 0]",Deal,6,0,0,10,314,-0.2222222222222222,-0.29600000000000004
6,0,0,0,0,4,0,0,0,4,0,47,raise,0.75,0,0,raise,0,KS TC 8D,0,0,0,0,13,5,1,977,0,0.12296795845031738,True,0,20180726190421673,1,13,5D KD,michael2,20,value,BB,20,90,0.648936170212766,0.46028314154859434,0.7673072787233041,0.4339086569852677,check,bluff,0.21502751322749827,Deal,"[0, 0.19999999999999996, 0.55, 'raise']",Flop,6,0,0,10,314,0.0,-0.248
