N,NMaxBet,NRcall,NRfold,NRraise,N_effective,Nallin,Ncall,Nfold,Nnf,Nraise,Nsim,action,aggresiveness,amount,bet,bet_amt,bet_sum,board,cards_aces,cards_conn,cards_faces,cards_pair,cards_rank1,cards_rank2,cards_suit,chips,cost_to_call,cputime,first,forced_bet,game_id,hand_score0,hand_score1,hole,logic,minBet,play,position,pot,pot_sum,prWin,prWinStd,prWin_adj,prWin_delta,prev_action,prev_play,prev_prWin,prev_round,resp,roundName,round_id,self_Ncall,self_Nraise,smallBlind,tableNumber,thd_call,tightness
6,3,0,1,0,6,0,0,1,5,0,60000,fold,0.75,0,0,raise,70,,0,0,0,0,5,2,0,3000,20,0.3843080997467041,False,0,20180726185729117,0,5,2D 5C,michael2,20,bluff,D,0,0,0.11524179894180446,0.27511549697915993,0.20975860209640074,0,,,,,"[1, 0, 0, 'raise']",Deal,1,0,0,10,300,0.2222222222222222,-0.29600000000000004
5,2,0,0,0,5,0,0,0,5,0,60000,fold,0.75,0,0,raise,50,,0,0,0,0,7,3,0,3000,20,0.410142183303833,False,0,20180726185729117,0,7,3H 7C,michael2,20,bluff,2,0,0,0.13560714285715017,0.2727197311425249,0.19928813365162912,0,,,,,"[1, 0, 0, 'raise']",Deal,2,0,0,10,300,0.2857142857142857,-0.186
5,1,0,0,0,5,0,0,0,5,0,60000,fold,0.75,0,0,49,30,,0,0,0,0,7,2,0,3000,20,0.4338979721069336,False,0,20180726185729117,0,7,2H 7C,michael2,20,bluff,1,0,0,0.12121891534392219,0.26007654756588144,0.18192587615744382,0,,,,,"[1, 0, 0, 49]",Deal,3,0,0,10,300,0.4,-0.186
5,5,0,0,0,5,0,0,0,5,0,60000,check,0.75,0,20,,100,,0,0,0,0,11,4,0,2980,0,0.4165968894958496,False,20,20180726185729117,0,11,4H JS,michael3,0,trash,BB,0,0,0.17147817460314357,0.2955494699430346,0.24158646013767215,0,none,,,,"[0, 1, 0, 0]",Deal,4,0,0,10,300,-0.2,-0.186
5,1,0,0,0,5,0,0,0,5,0,354,fold,0.75,0,0,,20,6D 8C 6H,0,0,0,0,11,4,0,2980,20,0.20629119873046875,False,0,20180726185729117,1,6,4H JS,michael3,20,fold,BB,20,100,0.05847457627118645,0.21444697151259132,0.11666496365233335,-0.11300359833195713,none,,0.17147817460314357,,"[1, 0, 0, 0]",Flop,4,0,0,10,300,0.14285714285714285,-0.248
5,4,0,0,0,5,0,0,0,5,0,60000,bet,0.75,1707,10,,90,,0,1,0,0,10,9,1,2970,10,0.4877808094024658,False,10,20180726185729117,0,10,9C TC,michael3,10,ml_raise,SB,0,0,0.27443002645493486,0.3652958349377104,0.3574281758238133,0,none,,,,"[0, 0, 1, 1707]",Deal,5,0,0,10,300,0.0,-0.186
5,0,0,0,0,4,0,0,0,4,0,75,bet,0.75,1201,0,,0,2S 8C QC,0,1,0,0,10,9,1,1263,0,0.2340562343597412,True,0,20180726185729117,0,12,9C TC,michael3,20,ml_raise,SB,1717,6888,0.6266666666666667,0.4836895239257882,0.7466216686002621,0.35223664021173184,none,,0.27443002645493486,,"[0, 0, 1, 1201]",Flop,5,0,0,10,300,0.0,-0.248
5,0,0,0,0,4,1,0,0,3,0,93,check,0.75,0,0,,0,2S 8C QC KS,0,1,0,0,10,9,1,62,0,0.23362112045288086,True,0,20180726185729117,0,13,9C TC,michael3,20,ml_fold,SB,2918,10417,0.3333333333333333,0.47140452079103173,0.47381188052906076,-0.2933333333333334,none,,0.6266666666666667,,"[0, 1, 0, 0]",Turn,5,0,0,10,300,0.0,-0.298
5,1,0,0,0,4,1,0,0,3,0,417,fold,0.75,0,0,,20,2S 8C QC KS,0,1,0,0,10,9,1,62,20,0.22962689399719238,False,0,20180726185729117,0,13,9C TC,michael3,20,ml_fold,SB,2918,10417,0.3237410071942446,0.46790251918011794,0.4631759579099197,-0.3029256594724221,check,,0.6266666666666667,,"[1, 0, 0, 0]",Turn,5,0,0,10,300,0.001912594434350196,-0.298
4,2,0,0,0,4,0,0,0,4,0,60000,fold,0.75,0,0,,100,,0,1,0,0,6,5,0,62,40,0.4034130573272705,False,0,20180726185729117,0,6,6H 5C,michael3,40,trash,D,0,0,0.21664107142855052,0.3188702782584035,0.24794972481464972,0,none,,,,"[1, 0, 0, 0]",Deal,6,0,0,20,300,0.2857142857142857,-0.076
4,1,0,0,0,4,0,0,0,4,0,60000,fold,0.75,0,0,raise,60,,1,0,0,0,14,5,1,62,40,0.4197499752044678,False,0,20180726185729117,0,14,5D AD,michael2,40,bluff,1,0,0,0.3383749999999277,0.36006258130224733,0.3743349169596464,0,,,,,"[1, 0, 0, 'raise']",Deal,7,0,0,20,300,0.4,-0.076
4,4,0,0,0,4,0,0,0,4,0,60000,check,0.75,0,40,0,160,,0,1,1,0,11,10,0,22,0,0.4057331085205078,False,40,20180726185729117,0,11,TC JH,michael2,0,bluff,BB,0,0,0.3236460317459921,0.35834923359672083,0.3592039032942306,0,,,,,"[0, 1, 0, 0]",Deal,8,0,0,20,300,-0.25,-0.076
4,1,0,0,0,4,0,0,0,4,0,344,check,0.75,0,0,raise,22,KD AC 4D,0,1,1,0,11,10,0,22,22,0.1982119083404541,False,0,20180726185729117,0,14,TC JH,michael2,40,value,BB,40,160,0.26308139534883723,0.4378234144172814,0.37227733999268864,-0.06056463639715487,check,bluff,0.3236460317459921,Deal,"[0, 0.7, 0.3, 'raise']",Flop,8,0,0,20,300,0.10784313725490197,-0.248
