N,NMaxBet,NRcall,NRfold,NRraise,N_effective,Nallin,Ncall,Nfold,Nnf,Nraise,Nsim,action,aggresiveness,amount,bet,bet_amt,bet_sum,board,cards_aces,cards_conn,cards_faces,cards_pair,cards_rank1,cards_rank2,cards_suit,chips,cost_to_call,cputime,first,forced_bet,game_id,hand_score0,hand_score1,hole,logic,minBet,play,position,pot,pot_sum,prWin,prWinStd,prWin_adj,prWin_delta,prev_action,prev_play,prev_prWin,prev_round,resp,roundName,round_id,self_Ncall,self_Nraise,smallBlind,tableNumber,thd_call,tightness
7,7,0,0,0,7,0,0,0,7,0,60000,check,0.75,0,20,raise,140,,0,0,0,0,7,3,0,2980,0,0.3867619037628174,False,20,20180726185129513,0,7,3C 7H,michael2,0,bluff,BB,0,0,0.09435535714284358,0.25579049315634267,0.21303827805618547,0,,,,,"[0, 1, 0, 'raise']",Deal,1,0,0,10,280,-0.14285714285714285,-0.406
7,1,0,0,0,7,0,0,0,7,0,341,fold,0.75,0,0,raise,20,TC 8D 4H,0,0,0,0,7,3,0,2980,20,0.16136407852172852,False,0,20180726185129513,0,10,3C 7H,michael2,20,bluff,BB,20,140,0.024926686217008796,0.14195386161853005,0.06359031296176532,-0.0694286709258348,check,bluff,0.09435535714284358,Deal,"[1, 0, 0, 'raise']",Flop,1,0,0,10,280,0.1111111111111111,-0.248
7,5,0,0,0,7,0,0,0,7,0,60000,check,0.75,0,10,raise,230,,0,0,0,0,3,2,1,2970,30,0.4064452648162842,False,10,20180726185129513,0,3,3D 2D,michael2,30,value,SB,0,0,0.12385873015871049,0.2989278013387903,0.2576033787804779,0,,,,,"[0, 0.7, 0.3, 'raise']",Deal,2,0,0,10,280,0.07692307692307693,-0.406
7,3,0,3,0,7,3,0,3,4,0,60000,bet,0.75,5461,40,5461,8920,,0,0,0,0,3,2,1,2940,2880,0.382767915725708,False,0,20180726185129513,0,3,3D 2D,michael2,2880,value,SB,0,0,0.12385873015871049,0.2989278013387903,0.2576033787804779,0,check,value,,Deal,"[0, 0.7, 0.3, 5461]",Deal,2,0,0,10,280,0.2440677966101695,-0.406
5,2,0,1,0,5,0,0,1,4,0,60000,fold,0.75,0,0,,50,,0,0,0,0,9,6,0,60,20,0.4205808639526367,False,0,20180726185129513,0,9,6D 9C,michael3,20,trash,D,0,0,0.1795342592592253,0.30279593955025685,0.2509208821304657,0,none,,,,"[1, 0, 0, 0]",Deal,3,0,0,10,280,0.2857142857142857,-0.186
5,1,0,1,0,5,0,0,1,4,0,60000,fold,0.75,0,0,,30,,0,0,0,0,12,6,0,60,20,0.4212048053741455,False,0,20180726185129513,0,12,QS 6C,michael3,20,trash,2,0,0,0.197485582010527,0.3085435631438223,0.27153251301327774,0,none,,,,"[1, 0, 0, 0]",Deal,4,0,0,10,280,0.4,-0.186
5,1,0,0,0,5,0,0,0,5,0,60000,fold,0.75,0,0,,30,,0,0,0,0,7,5,0,60,20,0.41472792625427246,False,0,20180726185129513,0,7,5D 7C,michael3,20,trash,1,0,0,0.17044470899468547,0.3031397671759868,0.24038499036854932,0,none,,,,"[1, 0, 0, 0]",Deal,5,0,0,10,280,0.4,-0.186
5,5,0,0,0,5,0,0,0,5,0,60000,check,0.75,0,20,,100,,0,0,0,0,12,6,0,40,0,0.4178659915924072,False,20,20180726185129513,0,12,6D QH,michael3,0,trash,BB,0,0,0.197485582010527,0.3085435631438223,0.27153251301327774,0,none,,,,"[0, 1, 0, 0]",Deal,6,0,0,10,280,-0.2,-0.186
5,1,0,0,0,5,0,0,0,5,0,396,fold,0.75,0,0,,20,TD 4H 8D,0,0,0,0,12,6,0,40,20,0.278900146484375,False,0,20180726185129513,0,12,6D QH,michael3,20,fold,BB,20,100,0.09090909090909091,0.2808144392856157,0.16220407815652346,-0.10657649110143608,none,,0.197485582010527,,"[1, 0, 0, 0]",Flop,6,0,0,10,280,0.14285714285714285,-0.248
5,4,0,0,0,5,0,0,0,5,0,60000,check,0.75,0,20,,180,,0,0,0,0,4,3,1,20,20,0.44246816635131836,False,20,20180726185129513,0,4,4D 3D,michael3,20,trash,SB,0,0,0.1814578042327776,0.3281416039796152,0.25314165151909795,0,none,,,,"[0, 1, 0, 0]",Deal,7,0,0,20,280,0.0,-0.186
