,allIn,bet,cards,chips,folded,isHuman,isOnline,isSurvive,reloadCount,roundBet,position,me,win,score
fatz,False,0,,0,False,False,False,False,2,0,,False,,
ヽ(=^･ω･^=)丿,False,0,♥2 ♥Q,13238,True,False,True,True,1,0,,True,True,13238.0
TeamMustJoin,False,0,,0,False,False,True,False,2,0,,False,,
iCRC必勝,False,0,♦10 ♥8,7132,True,False,True,True,2,0,SB,False,True,7132.0
Hodor,False,0,,0,False,False,True,False,2,0,,False,,
TMBS=trend micro's best supreme,True,0,♣2 ♦K,0,False,False,True,True,2,0,BB,False,,
AllinWin,False,0,,0,False,False,True,False,2,0,,False,,
V.S.A.,False,0,♠7 ♦9,5630,True,False,True,True,2,0,,False,True,5630.0
Winner Winner,True,0,♠6 ♣6,1000,False,False,True,True,2,0,,False,True,1000.0
