round_id,turn,N,Nnf,roundName,first,hole,board,Nsim,prWin,prWinStd,chips,reld,pot,bet,minBet,maxBet,sumPot_all,sumBet_all,maxBet_all,N_maxBet_all,N_canraise,sumMinBet_all,util_fold,util_call,util_raise_coeff,util_call2,util_raise_coeff2,maxRoundBet,action,amount,cputime
1,0,4,4,deal,0,♥J ♣6,,20000,0.2335261904762037,0.31508795151479785,1000,0,0,0,20,1000,0,30,20,1,4,50,0,-1.3179047619037052,-0.06589523809518527,-12.99421428571389,-0.5329476190475926,266.33362986464357,fold,0,0.08764529228210449
2,0,4,3,deal,0,♣3 ♣J,,20000,0.2552148809524001,0.3412820246575106,980,0,0,20,0,1000,0,60,20,3,3,0,-20,-4.687107142855991,-0.23435535714279965,-4.687107142855991,-0.4895702380951997,293.1121102300568,check,0,0.08362698554992676
2,1,4,3,flop,0,♣3 ♣J,♦4 ♠A ♣4,62,0.06451612903225806,0.2456701001891584,980,0,20,0,20,980,60,20,20,1,3,40,-20,-32.25806451612903,-0.8064516129032258,-34.83870967741936,-0.8709677419354839,66.34114061543531,fold,0,1.2334671020507812
3,0,4,3,deal,0,♣3 ♠8,,20000,0.2207125000000124,0.3100444398370197,970,0,0,10,10,980,0,50,20,2,3,10,-10,-6.757249999999255,-0.3378624999999628,-8.964374999999379,-0.5585749999999752,247.2331937940668,call,0,0.10854816436767578
3,1,4,3,flop,1,♣3 ♠8,♥7 ♣K ♥Q,49,0.061224489795918366,0.23974163519328026,960,0,20,0,20,960,60,0,0,4,3,0,-20,-36.326530612244895,-0.8163265306122449,-36.326530612244895,-0.8775510204081632,62.42532099768528,fold,0,1.2363970279693604
4,0,4,3,deal,0,♠2 ♠A,,20000,0.3131726190476573,0.3548060396800437,960,0,0,0,20,960,0,30,20,1,3,30,0,-1.2096428571405615,-0.060482142857028125,-10.604821428570279,-0.3736547619046854,371.19136728204353,fold,0,0.09935474395751953
5,0,4,4,deal,0,♠10 ♠2,,20000,0.2299380952381068,0.3331018002268545,960,0,0,0,40,960,0,60,40,1,4,100,0,-3.2099047619029046,-0.08024761904757273,-26.20371428571359,-0.5401238095237864,258.16784319432884,fold,0,0.11948394775390625
6,0,4,4,deal,0,♣2 ♥9,,20000,0.17687083333333897,0.28455855320672724,920,0,0,40,0,960,0,160,40,4,4,0,-40,-11.700666666665759,-0.292516666666644,-11.700666666665759,-0.646258333333322,189.72158057037763,check,0,0.09832501411437987
6,1,4,4,flop,0,♣2 ♥9,♦10 ♣K ♥5,81,0.09876543209876544,0.2983468141628289,920,0,40,0,40,920,160,40,40,1,4,120,-40,-48.39506172839506,-0.6049382716049383,-60.246913580246904,-0.8024691358024691,101.36084795387391,fold,0,1.2393479347229004
7,0,4,4,deal,0,♣4 ♣10,,20000,0.24989166666668275,0.34153806910696205,900,0,0,20,20,920,0,100,40,2,3,20,-20,-10.012999999998069,-0.2503249999999517,-15.010833333331725,-0.5002166666666346,278.3490229860432,call,0,0.10493993759155272
