round_id,turn,N,Nnf,roundName,first,hole,board,Nsim,prWin,prWinStd,chips,reld,pot,bet,minBet,maxBet,sumPot_all,sumBet_all,maxBet_all,N_maxBet_all,N_canraise,sumMinBet_all,util_fold,util_call,util_raise_coeff,util_call2,util_raise_coeff2,maxRoundBet,action,amount,cputime
1,0,4,3,deal,0,♥10 ♦7,,20000,0.2409125000000153,0.3216954706128596,990,0,0,10,10,1000,0,50,20,2,3,10,-10,-5.545249999999081,-0.277262499999954,-7.954374999999232,-0.5181749999999694,275.1107967547607,call,0,0.08909010887145996
1,1,4,3,flop,1,♥10 ♦7,♠A ♠3 ♠Q,34,0.05882352941176471,0.23529411764705885,980,0,20,0,20,980,60,0,0,4,3,0,-20,-36.470588235294116,-0.8235294117647058,-36.470588235294116,-0.8823529411764706,60.306247860610064,fold,0,1.235780954360962
2,0,4,3,deal,0,♦5 ♠J,,20000,0.2285755952381083,0.3121689834267688,980,0,0,0,20,980,0,30,20,1,3,30,0,-6.285464285713504,-0.31427321428567523,-13.142732142856753,-0.5428488095237834,258.1537292551872,fold,0,0.09526991844177246
3,0,4,4,deal,0,♦5 ♣J,,20000,0.2285755952381083,0.3121689834267688,980,0,0,0,20,980,0,30,20,1,4,50,0,-1.7139523809513368,-0.0856976190475669,-13.142732142856753,-0.5428488095237834,258.1537292551872,fold,0,0.09270286560058594
4,0,4,4,deal,0,♠10 ♥10,,20000,0.4581547619048166,0.3132176762577107,960,0,0,20,0,980,0,80,20,4,4,0,-20,16.65238095238533,0.8326190476192663,16.65238095238533,-0.08369047619036685,605.4658463291915,raise,0,0.10285687446594237
4,1,4,4,flop,0,♠10 ♥10,♠7 ♦Q ♠J,70,0.4714285714285714,0.4991830059901756,940,0,40,0,20,940,160,20,20,1,4,60,-40,53.14285714285714,0.8857142857142857,24.857142857142858,-0.05714285714285716,625.715910930621,raise,0,1.2422268390655518
4,2,4,4,turn,0,♠10 ♥10,♠7 ♦Q ♠J ♣10,63,0.7301587301587301,0.4438771890193512,900,0,80,0,20,900,320,20,20,1,4,60,-80,192.06349206349205,1.9206349206349205,148.25396825396825,0.4603174603174602,1268.0612491001204,raise,0,1.2376861572265625
4,3,4,4,river,0,♠10 ♥10,♠7 ♦Q ♠J ♣10 ♦8,93,0.5483870967741935,0.4976531813077908,860,0,120,0,20,860,480,20,20,1,4,60,-120,167.09677419354838,1.193548387096774,134.19354838709677,0.096774193548387,758.9127580585529,raise,0,1.2458109855651855
5,0,4,3,deal,0,♠10 ♥9,,20000,0.2755714285714525,0.3365892779853999,1400,0,0,20,20,1420,0,100,40,2,3,20,-20,-6.931428571425698,-0.17328571428564254,-12.442857142854749,-0.448857142857095,365.8755461228385,call,0,0.0839240550994873
5,1,4,3,flop,1,♠10 ♥9,♦4 ♣K ♠8,39,0.10256410256410256,0.3033887068256214,1380,0,40,0,40,1380,120,0,0,4,3,0,-40,-67.69230769230771,-0.6923076923076923,-67.69230769230771,-0.7948717948717949,122.09432709087334,fold,0,1.2365868091583252
6,0,4,4,deal,0,♦K ♣10,,20000,0.3366160714286169,0.3505355803203595,1380,0,0,0,40,1380,0,100,40,2,4,60,0,13.8585714285787,0.3464642857144675,-6.3383928571383095,-0.32676785714276624,463.0442686601168,raise,0,0.09020113945007324
6,1,4,3,flop,0,♦K ♣10,♣9 ♥Q ♥7,105,0.19523809523809524,0.3933690748202549,1300,0,80,0,40,1300,320,80,40,2,3,40,-80,-34.0952380952381,-0.4142857142857143,-41.9047619047619,-0.6095238095238096,239.27007711912137,call,0,1.2462258338928225
6,2,4,3,turn,0,♦K ♣10,♣9 ♥Q ♥7 ♠A,100,0.175,0.3766629793329841,1260,0,120,0,40,1260,440,80,40,2,3,40,-120,-62.0,-0.4750000000000001,-69.0,-0.65,209.34192803775073,call,0,1.2419300079345703
6,3,4,3,river,0,♦K ♣10,♣9 ♥Q ♥7 ♠A ♥10,191,0.19109947643979056,0.39149912646220336,1220,0,160,0,40,1220,560,80,40,2,3,40,-160,-70.0523560209424,-0.4267015706806283,-77.696335078534,-0.6178010471204188,227.95610079410667,call,0,1.247856855392456
7,0,4,4,deal,0,♦J ♥5,,20000,0.2285755952381083,0.3121689834267688,1180,0,0,0,40,1180,0,60,40,1,4,100,0,-3.4279047619026737,-0.0856976190475669,-26.285464285713505,-0.5428488095237834,275.47948289647496,fold,0,0.1714458465576172
8,0,4,4,deal,0,♣2 ♥8,,20000,0.21991845238096305,0.3120566547896275,1140,0,0,40,0,1180,0,160,40,4,4,0,-40,-4.813047619045918,-0.1203261904761479,-4.813047619045918,-0.560163095238074,260.31712206071444,check,0,0.09901285171508788
8,1,4,4,flop,0,♣2 ♥8,♥10 ♠8 ♦10,43,0.4844961240310077,0.4886488695221092,1140,0,40,0,40,1140,160,40,40,1,4,120,-40,75.03875968992247,0.9379844961240308,16.899224806201545,-0.03100775193798455,694.5202855424902,raise,0,1.238961935043335
8,2,4,4,turn,0,♣2 ♥8,♥10 ♠8 ♦10 ♦A,43,0.2906976744186047,0.4344544579597536,1060,0,120,0,40,1060,480,40,40,1,4,120,-120,26.046511627906995,0.16279069767441867,-8.837209302325562,-0.41860465116279066,350.8419999489849,raise,0,1.2397069931030271
8,3,4,4,river,0,♣2 ♥8,♥10 ♠8 ♦10 ♦A ♦3,89,0.3202247191011236,0.4386341864256884,980,0,200,0,40,980,800,40,40,1,4,120,-200,67.41573033707867,0.2808988764044944,28.988764044943817,-0.3595505617977528,383.96593852744866,raise,0,1.2404658794403076
9,0,4,3,deal,0,♥J ♣Q,,20000,0.3293285714286097,0.354002832700755,860,0,0,40,40,900,0,200,80,2,3,40,-40,-0.9611428571336659,-0.012014285714170849,-14.134285714278052,-0.34134285714278056,381.37626236451655,call,0,0.1059572696685791
