round_id,turn,N,Nnf,roundName,first,hole,board,Nsim,prWin,prWinStd,prWin_adj,chips,reld,stack,pot,bet,cost_to_call,pot_sum,bet_sum,maxBet_all,N_maxBet_all,bluff_freq,thd_call,bet_limit,action,amount,cputime
15,0,9,7,deal,False,♠2 ♦10,,60000,0.07997222222222224,0.2583470734896504,0.3078223823177455,3740,1,4740,0,20,20,0,260,40,6,0,0.0,25.932670554550334,check,0,0.30821990966796875
15,1,9,7,flop,True,♠2 ♦10,♦Q ♠7 ♦6,401,0.03740648379052369,0.1796290354644833,0.06586984395972091,3720,1,4720,40,0,40,280,0,0,9,0,0.125,21.241966322895387,fold,0,1.2795019149780273
16,0,9,9,deal,False,♥10 ♠8,,60000,0.12718333333333334,0.3177498565863308,0.4070530466715222,3720,1,4720,0,0,40,0,300,40,7,0,0.11764705882352941,91.8635396015074,check,0,0.3234550952911377
16,1,9,5,flop,False,♥10 ♠8,♥J ♥3 ♣J,599,0.07324707846410684,0.2471309813112309,0.11363103200574182,3680,1,4680,40,0,40,360,160,40,4,0,0.07142857142857142,20.0,check,0,1.2489988803863525
16,2,9,5,turn,False,♥10 ♠8,♥J ♥3 ♣J ♣8,678,0.11209439528023599,0.2994935727786916,0.12998207857132105,3640,1,4640,80,0,80,560,280,80,3,0,0.08695652173913043,22.0,check,0,1.2577729225158691
16,3,9,4,river,False,♥10 ♠8,♥J ♥3 ♣J ♣8 ♦J,630,0.3388888888888889,0.386061147846482,0.3454316796011176,3560,1,4560,160,0,100,960,250,100,2,0,0.07633587786259542,254.08893052975756,check,0,1.2508440017700195
17,0,9,9,deal,False,♠5 ♠7,,60000,0.1354888888888889,0.33059264373672337,0.42297470097861434,4140,1,5140,0,0,40,0,260,40,6,0,0.13333333333333333,107.87578122352966,check,0,0.33936309814453125
17,1,9,6,flop,False,♠5 ♠7,♣6 ♦4 ♥Q,630,0.2650793650793651,0.42519540362911,0.3356994384253001,4100,1,5100,40,0,40,340,80,40,2,0,0.08695652173913043,80.86406463956887,check,0,1.2424111366271973
17,2,9,5,turn,False,♠5 ♠7,♣6 ♦4 ♥Q ♣7,704,0.14204545454545456,0.3064848076623435,0.1642708559598894,4060,1,5060,80,0,40,580,80,40,2,0,0.05714285714285714,22.0,check,0,1.2469658851623535
17,3,9,3,river,False,♠5 ♠7,♣6 ♦4 ♥Q ♣7 ♠2,650,0.04384615384615385,0.20191538446885887,0.04788381315435336,4020,1,5020,120,0,40,780,40,40,1,0,0.046511627906976744,24.0,check,0,1.2442412376403809
