round_id,turn,N,Nnf,roundName,first,hole,board,Nsim,prWin,prWinStd,chips,reld,chips_total,pot,bet,cost_on_table,cost_to_call,cost_total,maxBet_all,N_maxBet_all,util_fold,util_call,N_canraise,util_raise_coeff,util_call2,util_raise_coeff2,limitRoundBet,limitBet,gamble,gamble_tol,action,amount,cputime
1,0,6,6,deal,False,♦9 ♥5,,20000,0.13428452380952385,0.28063048105728633,1000,0,3000,0,0,0,20,20,20,2,0,-1.2001666666666608,5,-0.19429285714285682,-7.914392857142854,-0.7314309523809523,187.87445590124153,187.87445590124153,True,300,fold,0,0.20549416542053223
2,0,6,6,deal,False,♥9 ♠9,,20000,0.2718948412698558,0.3472620860144734,1000,0,3000,0,0,0,20,20,20,1,0,18.065277777779812,5,0.6313690476191347,-0.9673611111100922,-0.4562103174602884,413.41767569523563,413.41767569523563,False,300,bet,372,0.2062976360321045
2,1,6,3,flop,True,♥9 ♠9,♠Q ♥7 ♠A,110,0.2772727272727273,0.43997088558822756,628,0,2628,372,0,372,20,392,0,6,-372,211.4218181818182,2,-0.1681818181818182,211.4218181818182,-0.44545454545454544,370.6151624866116,-1.3848375133883906,True,262,call,0,1.227294921875
2,2,6,3,turn,True,♥9 ♠9,♠Q ♥7 ♠A ♦7,99,0.3333333333333333,0.47140452079103173,608,0,2608,392,0,392,20,412,0,6,-392,300.13333333333327,2,0.0,300.13333333333327,-0.33333333333333337,459.2460036172166,67.24600361721662,True,260,call,0,1.2214429378509521
2,3,6,3,river,True,♥9 ♠9,♠Q ♥7 ♠A ♦7 ♥8,123,0.4634146341463415,0.4986597146405092,588,0,2588,412,0,412,20,432,0,6,-412,504.3024390243903,2,0.3902439024390245,504.3024390243903,-0.07317073170731703,699.6947232228057,287.6947232228057,True,258,bet,258,1.2228951454162598
3,0,6,4,deal,False,♠Q ♠5,,20000,0.2008996031745972,0.3393833139563559,1310,1,2310,0,20,20,0,20,20,4,-20,8.12594444444361,3,-0.19640158730161117,0.08996031745971855,-0.5982007936508056,224.99088997087182,204.99088997087182,True,231,check,0,0.20117807388305664
3,1,6,4,flop,False,♠Q ♠5,♠10 ♠A ♣3,292,0.4400684931506849,0.4938012974224405,1310,1,2310,20,0,20,20,40,20,1,-20,70.0958904109589,3,0.7602739726027397,34.890410958904106,-0.11986301369863017,581.808368184382,561.808368184382,True,231,bet,505,1.2367212772369385
3,2,6,3,flop,False,♠Q ♠5,♠10 ♠A ♣3,999,0.3833833833833834,0.4815558744573557,805,1,1805,20,505,525,505,1030,1010,1,-525,1500.1401401401401,1,-0.2332332332332332,369.15915915915923,-0.2332332332332332,379.0225207911102,-145.9774792088898,True,180,fold,0,1.2600138187408447
4,0,6,4,deal,False,♣8 ♥5,,20000,0.16548730158729844,0.30829579001565177,795,1,1795,0,10,10,10,20,20,3,-10,3.168222222221779,3,-0.33805079365080626,-3.4512698412701592,-0.6690253968254032,141.0278555870668,131.0278555870668,True,179,call,0,0.19944500923156738
4,1,6,4,flop,True,♣8 ♥5,♣J ♦8 ♦J,121,0.2396694214876033,0.41210592773766896,785,1,1785,20,0,20,20,40,0,6,-20,14.842975206611571,3,-0.04132231404958675,14.842975206611571,-0.5206611570247934,212.41061420304726,192.41061420304726,True,178,call,0,1.229126214981079
