round_id,turn,N,Nnf,roundName,first,hole,board,Nsim,prWin,prWinStd,chips,reld,chips_total,pot,bet,cost_on_table,cost_to_call,cost_total,maxBet_all,N_maxBet_all,util_fold,util_call,N_canraise,util_raise_coeff,util_call2,util_raise_coeff2,limitRoundBet,limitBet,gamble,gamble_tol,action,amount,cputime
1,0,3,3,deal,False,♦Q ♦9,,20000,0.41968055555549244,0.353447442807676,980,0,2980,0,20,20,0,20,20,3,-20,13.574444444439393,2,0.25904166666647743,13.574444444439393,-0.16063888888901512,704.2719750253646,684.2719750253646,True,298,bet,615,0.15481996536254883
1,1,3,2,flop,True,♦Q ♦9,♣10 ♥5 ♣3,214,0.24299065420560748,0.42063862207356306,365,0,2365,635,0,635,20,655,0,3,-635,-12.943925233644848,1,-0.514018691588785,-12.943925233644848,-0.514018691588785,285.9255645775142,-349.0744354224858,False,236,fold,0,1.2219882011413574
2,0,3,3,deal,False,♠9 ♠J,,20000,0.40536944444438494,0.3584049443259,355,0,2355,0,10,10,10,20,20,2,-10,12.429555555550795,2,0.21610833333315482,12.429555555550795,-0.18926111111123012,531.6477921816787,521.6477921816787,False,235,bet,469,0.15788888931274414
3,0,3,3,deal,False,♦8 ♣9,,20000,0.3342249999999606,0.3393172729778624,1000,1,2000,0,0,0,20,20,20,1,0,6.737999999996845,2,0.0026749999998818552,3.395749999997239,-0.33155000000007884,353.3450334559576,353.3450334559576,False,200,call,0,0.16199493408203125
3,1,3,2,flop,False,♦8 ♣9,♠9 ♣Q ♦10,460,0.43369565217391304,0.48951554887438675,980,1,1980,20,0,20,20,40,20,1,-20,29.391304347826086,1,-0.13260869565217392,20.717391304347828,-0.13260869565217392,488.96120601114103,468.96120601114103,True,198,call,0,1.238652229309082
3,2,3,2,turn,False,♦8 ♣9,♠9 ♣Q ♦10 ♥2,261,0.5038314176245211,0.4854044747909031,960,1,1960,40,0,40,20,60,20,1,-40,55.80459770114943,1,0.00766283524904221,45.727969348659016,0.00766283524904221,596.5666482851803,556.5666482851803,True,196,bet,500,1.2277419567108154
3,3,3,2,river,False,♦8 ♣9,♠9 ♣Q ♦10 ♥2 ♥9,453,0.7980132450331126,0.37371771027994777,460,1,1460,540,0,540,20,560,20,1,-540,865.0993377483443,1,0.5960264900662251,849.1390728476821,0.5960264900662251,1014.2285776017202,474.2285776017202,True,146,bet,426,1.233361005783081
4,0,3,3,deal,False,♠A ♥4,,20000,0.3962138888888314,0.32530199589126707,1946,1,2946,0,40,40,40,80,80,1,-40,46.78844444442605,2,0.1886416666664943,30.939888888872787,-0.20757222222233718,645.5183322266404,605.5183322266404,True,294,bet,544,0.1605689525604248
4,1,3,3,deal,False,♠A ♥4,,20000,0.3962138888888314,0.32530199589126707,1402,1,2402,0,584,584,491,1075,1075,1,-584,615.8920888886535,0,-0.6037861111111686,475.2361583331183,-0.20757222222233718,526.3187488147963,-57.68125118520368,True,240,fold,0,0.1358349323272705
5,0,3,2,deal,False,♠8 ♣A,,20000,0.4284013888888264,0.32418915516029906,1382,1,2382,0,20,20,20,40,40,1,-20,28.544222222212227,1,-0.1431972222223472,11.40816666665917,-0.1431972222223472,578.6088453096486,558.6088453096486,False,238,call,0,0.14937114715576172
5,1,3,2,flop,True,♠8 ♣A,♥9 ♣2 ♦3,92,0.2608695652173913,0.43910891036356864,1362,1,2362,40,0,40,40,80,0,3,-40,16.521739130434785,1,-0.4782608695652174,16.521739130434785,-0.4782608695652174,310.08079637807145,270.08079637807145,False,236,call,0,1.2044482231140137
5,2,3,2,turn,True,♠8 ♣A,♥9 ♣2 ♦3 ♦6,125,0.144,0.351089732119867,1322,1,2322,80,0,80,40,120,0,3,-80,-5.440000000000005,1,-0.712,-5.440000000000005,-0.712,156.79591841965026,76.79591841965026,False,232,call,0,1.2137598991394043
5,3,3,2,river,True,♠8 ♣A,♥9 ♣2 ♦3 ♦6 ♦J,178,0.06741573033707865,0.2507406022968697,1282,1,2282,120,0,120,40,160,0,3,-120,-37.07865168539326,1,-0.8651685393258427,-37.07865168539326,-0.8651685393258427,69.17178836149026,-50.82821163850974,False,228,fold,0,1.215825080871582
6,0,3,3,deal,False,♣5 ♠2,,20000,0.2800361111110916,0.3252185210485955,1282,1,2282,0,0,0,40,40,40,1,0,4.805777777774658,2,-0.15989166666672516,-0.7949444444471716,-0.4399277777778168,325.6169503320885,325.6169503320885,False,228,call,0,0.16392922401428223
6,1,3,2,flop,False,♣5 ♠2,♦8 ♥K ♠5,429,0.3111888111888112,0.4572806356439668,1242,1,2242,40,0,40,40,80,40,1,-40,19.580419580419594,1,-0.3776223776223776,7.1328671328671405,-0.3776223776223776,362.9793672210232,322.9793672210232,False,224,fold,0,1.2397592067718506
7,0,3,3,deal,False,♥8 ♠10,,20000,0.34615694444440076,0.3420356071761869,1162,1,2162,0,80,80,0,80,80,3,-80,30.770222222208247,2,0.038470833333202226,30.770222222208247,-0.3076861111111985,398.94625955117783,318.94625955117783,False,216,check,0,0.1561892032623291
7,1,3,2,flop,True,♥8 ♠10,♣4 ♣6 ♣8,258,0.3817829457364341,0.46925244239772707,1162,1,2162,80,0,80,80,160,0,3,-80,72.71317829457365,1,-0.23643410852713176,72.71317829457365,-0.23643410852713176,451.55319814840544,371.55319814840544,True,216,call,0,1.2198920249938965
7,2,3,2,turn,True,♥8 ♠10,♣4 ♣6 ♣8 ♦3,127,0.4094488188976378,0.4917321258581417,1082,1,2082,160,0,160,80,240,0,3,-160,125.66929133858267,1,-0.18110236220472442,125.66929133858267,-0.18110236220472442,476.2417966487826,316.2417966487826,True,208,call,0,1.2104709148406982
7,3,3,2,river,True,♥8 ♠10,♣4 ♣6 ♣8 ♦3 ♣3,197,0.20812182741116753,0.4059644471701971,1002,1,2002,240,0,240,80,320,0,3,-240,6.49746192893403,1,-0.583756345177665,6.49746192893403,-0.583756345177665,202.88593886987704,-37.11406113012296,True,200,call,0,1.2192161083221436
