game_id,round_id,turn_id,roundName,playerName,chips,reloadCount,position,N,Nnf,hole,board,Nsim,prWin,prWinStd,pot_sum,bet_sum,pot,bet,cost_to_call,NMaxBet,action,amount,allIn,folded,rank,message,winMoney,cost,profit
2018-03-18 20:43:59,1,1,Deal,PCB,1000.0,0,D,3,3,♣7 ♣A,,60000,0.44312499999989285,0.33946187081588475,0.0,30.0,0.0,0.0,20.0,1,call,20.0,True,False,112.0288,Three of a Kind,2060.0,1000.0,1060.0
2018-03-18 20:43:59,1,2,Deal,ヽ(=^･ω･^=)丿,990.0,0,SB,3,3,♦Q ♠4,,60000,0.3253912037036031,0.3204174223457179,0.0,50.0,0.0,10.0,10.0,2,call,10.0,False,True,21.08,Pair,0.0,60.0,-60.0
2018-03-18 20:43:59,1,3,Deal,SML,980.0,0,BB,3,3,♥4 ♦4,,60000,0.375130092592508,0.31298348685737737,0.0,60.0,0.0,20.0,0.0,3,call,0.0,True,False,90.0256,Two Pair,0.0,1000.0,-1000.0
2018-03-18 20:43:59,1,4,Flop,ヽ(=^･ω･^=)丿,980.0,0,SB,3,3,♦Q ♠4,♥5 ♥8 ♦A,476,0.1561624649859944,0.3520737918831676,60.0,0.0,20.0,0.0,0.0,3,bet,20.0,False,True,21.08,Pair,0.0,60.0,-60.0
2018-03-18 20:43:59,1,5,Flop,SML,980.0,0,BB,3,3,♥4 ♦4,♥5 ♥8 ♦A,135,0.28888888888888886,0.44914184292017195,60.0,20.0,20.0,0.0,20.0,1,call,20.0,True,False,90.0256,Two Pair,0.0,1000.0,-1000.0
2018-03-18 20:43:59,1,6,Flop,PCB,980.0,0,D,3,3,♣7 ♣A,♥5 ♥8 ♦A,340,0.6691176470588235,0.460261227917229,60.0,40.0,20.0,0.0,20.0,2,call,20.0,True,False,112.0288,Three of a Kind,2060.0,1000.0,1060.0
2018-03-18 20:43:59,1,7,Turn,ヽ(=^･ω･^=)丿,960.0,0,SB,3,3,♦Q ♠4,♥5 ♥8 ♦A ♣J,174,0.10919540229885058,0.2977433068273246,120.0,0.0,40.0,0.0,0.0,3,bet,20.0,False,True,21.08,Pair,0.0,60.0,-60.0
2018-03-18 20:43:59,1,8,Turn,SML,960.0,0,BB,3,3,♥4 ♦4,♥5 ♥8 ♦A ♣J,397,0.2367758186397985,0.4251035524989785,120.0,20.0,40.0,0.0,20.0,1,call,20.0,True,False,90.0256,Two Pair,0.0,1000.0,-1000.0
2018-03-18 20:43:59,1,9,Turn,PCB,960.0,0,D,3,3,♣7 ♣A,♥5 ♥8 ♦A ♣J,172,0.6715116279069767,0.45552427613011093,120.0,40.0,40.0,0.0,20.0,2,call,20.0,True,False,112.0288,Three of a Kind,2060.0,1000.0,1060.0
2018-03-18 20:43:59,1,10,River,ヽ(=^･ω･^=)丿,940.0,0,SB,3,3,♦Q ♠4,♥5 ♥8 ♦A ♣J ♠A,177,0.1374764595103578,0.3299191015063417,180.0,0.0,60.0,0.0,0.0,3,fold,0.0,False,True,21.08,Pair,0.0,60.0,-60.0
2018-03-18 20:43:59,1,11,River,SML,940.0,0,BB,3,2,♥4 ♦4,♥5 ♥8 ♦A ♣J ♠A,165,0.32727272727272727,0.4692177418386888,180.0,0.0,60.0,0.0,0.0,3,bet,20.0,True,False,90.0256,Two Pair,0.0,1000.0,-1000.0
