,allIn,bet,cards,chips,folded,isHuman,isOnline,isSurvive,reloadCount,roundBet,position,me,win,score
SML,True,0,♣9 ♣5,0,False,False,True,True,2,0,SB,False,,
PCB,False,0,♠8 ♥3,1960,True,False,True,True,1,0,BB,False,True,1960.0
ヽ(=^･ω･^=)丿,False,0,♥K ♥J,7040,True,False,True,True,0,0,,True,True,7040.0
