round_id,turn,N,Nnf,roundName,first,hole,board,Nsim,prWin,prWinStd,chips,reld,chips_total,pot,bet,cost_on_table,cost_to_call,cost_total,maxBet_all,N_maxBet_all,util_fold,util_call,N_canraise,util_raise_coeff,util_call2,util_raise_coeff2,limitRoundBet,limitBet,gamble,gamble_tol,action,amount,cputime
1,0,7,6,deal,False,♠8 ♥10,,20000,0.1535613095238123,0.31257401588880646,990,0,2990,0,10,10,10,20,20,5,-10,4.569809523809969,5,-0.07863214285712616,1.4985833333337233,-0.6928773809523754,216.48943519326698,206.48943519326698,True,299,call,0,0.214432954788208
1,1,7,6,flop,True,♠8 ♥10,♥6 ♥8 ♦4,107,0.2523364485981308,0.4343532724718599,980,0,2980,20,0,20,20,40,0,7,-20,22.86604361370716,5,0.514018691588785,22.86604361370716,-0.4953271028037384,376.35549626593274,356.35549626593274,True,298,bet,320,1.2342169284820557
1,2,7,3,turn,True,♠8 ♥10,♥6 ♥8 ♦4 ♣6,51,0.35294117647058826,0.47788461203740945,660,0,2660,340,0,340,20,360,0,7,-340,308.4313725490196,2,0.05882352941176472,308.4313725490196,-0.2941176470588235,502.88958834533025,162.88958834533025,True,266,bet,146,1.2256169319152832
1,3,7,3,river,True,♠8 ♥10,♥6 ♥8 ♦4 ♣6 ♦J,110,0.21818181818181817,0.41301151605820174,514,0,2514,486,0,486,20,506,0,7,-486,201.0909090909091,2,-0.34545454545454546,201.0909090909091,-0.5636363636363637,268.7321040614485,-217.26789593855148,True,251,call,0,1.2307782173156738
2,0,7,6,deal,False,♠10 ♣9,,20000,0.1598845238095283,0.31543913667443285,494,0,2494,0,0,0,20,20,20,4,0,5.58152380952453,5,-0.04069285714283022,0.7849880952386812,-0.6802309523809433,188.69857106125102,188.69857106125102,True,249,call,0,0.2105269432067871
2,1,7,6,flop,False,♠10 ♣9,♣7 ♣5 ♦6,833,0.16978219859372323,0.3651196102078381,474,0,2474,20,0,20,68,88,68,5,-20,30.898416509460944,5,0.018693191562339395,19.35322700508776,-0.6604356028125535,199.91889002210294,179.91889002210294,True,247,bet,161,1.291504144668579
2,2,7,5,turn,False,♠10 ♣9,♣7 ♣5 ♦6 ♠A,852,0.07863849765258216,0.2625516284066119,313,0,2313,181,0,181,313,494,1177,2,-181,-183.22065727699533,2,-0.7640845070422535,-246.68192488262915,-0.8427230046948357,82.27326664360821,-98.72673335639179,True,231,fold,0,1.2988557815551758
3,0,7,6,deal,False,♠4 ♦4,,20000,0.15086785714285725,0.3235825197261614,1313,1,2313,0,0,0,20,20,20,3,0,4.138857142857159,5,-0.09479285714285646,-3.4045357142857036,-0.6982642857142856,164.2801753300579,164.2801753300579,False,231,call,0,0.2070019245147705
3,1,7,4,flop,False,♠4 ♦4,♦6 ♦K ♠A,537,0.09776536312849161,0.2946364689853465,1293,1,2293,20,0,20,20,40,20,2,-20,-7.13687150837989,3,-0.6089385474860336,-14.958100558659218,-0.8044692737430168,102.45239638918498,82.45239638918498,False,229,fold,0,1.2731459140777588
4,0,7,7,deal,False,♠J ♥9,,20000,0.16517678571429,0.31984703057654107,1293,1,2293,0,0,0,20,20,20,3,0,6.428285714286403,6,0.15623750000003,-1.8305535714280996,-0.66964642857142,179.78377212117792,179.78377212117792,False,229,call,0,0.2070319652557373
