round_id,playerName,chips,reloadCount,cards,hand,position,act_deal,bet_deal,act_flop,bet_flop,act_turn,bet_turn,act_river,bet_river,allIn,folded,rank,message,winMoney
15,SML,3335,0,♥4 ♠9,♥4 ♠9 ♥K ♣2 ♣8 ♠10 ♦9,,call,246,call,80.0,call,672.0,call,80,False,False,16.1184,Pair,0.0
15,PCB,780,0,♥A ♣5,♥A ♣5 ♥K ♣2 ♣8 ♠10 ♦9,SB,fold,40,fold,0.0,fold,0.0,fold,0,False,True,8.1248,High Card,0.0
15,Tobacco AI,1700,1,♣Q ♥10,♣Q ♥10 ♥K ♣2 ♣8 ♠10 ♦9,BB,call,246,fold,0.0,fold,0.0,fold,0,False,True,17.16,Pair,0.0
15,Out Bluffed,122,0,♦5 ♠J,♦5 ♠J ♥K ♣2 ♣8 ♠10 ♦9,,fold,0,fold,0.0,fold,0.0,fold,0,False,True,7.048,High Card,0.0
15,Im Not Kao Chin,692,0,♣A ♠7,♣A ♠7 ♥K ♣2 ♣8 ♠10 ♦9,,fold,80,fold,0.0,fold,0.0,fold,0,False,True,8.1248,High Card,0.0
15,ヽ(=^･ω･^=)丿,1370,1,♣10 ♠K,♣10 ♠K ♥K ♣2 ♣8 ♠10 ♦9,,bet,246,bet,80.0,bet,672.0,bet,80,False,False,85.0064,Two Pair,2522.0
16,SML,2257,0,♥8 ♦2,♥8 ♦2 ♥7 ♣A ♠6 ♦J ♠9,,call,80,fold,0.0,,,fold,0,False,True,8.0368,High Card,0.0
16,PCB,740,0,♠2 ♦7,♠2 ♦7 ♥7 ♣A ♠6 ♦J ♠9,,fold,0,fold,0.0,,,fold,0,False,True,14.2368,Pair,0.0
16,Tobacco AI,1454,1,♦4 ♥A,♦4 ♥A ♥7 ♣A ♠6 ♦J ♠9,SB,call,80,bet,203.0,,,bet,360,False,False,21.0336,Pair,1011.0
16,Out Bluffed,122,0,♠A ♥K,♠A ♥K ♥7 ♣A ♠6 ♦J ♠9,BB,call,80,allin,42.0,,,allin,0,True,False,21.1344,Pair,446.0
16,Im Not Kao Chin,612,0,♥J ♦Q,♥J ♦Q ♥7 ♣A ♠6 ♦J ♠9,,call,80,call,203.0,,,allin,329,True,False,18.2624,Pair,0.0
16,ヽ(=^･ω･^=)丿,2814,1,♣3 ♠4,♣3 ♠4 ♥7 ♣A ♠6 ♦J ♠9,,fold,0,fold,0.0,,,fold,0,False,True,8.0344,High Card,0.0
17,SML,2177,0,♦Q ♣9,♦Q ♣9 ♦5 ♠K ♥7 ♥4 ♠J,,call,80,,,,,bet,80,False,False,7.0848,High Card,440.0
