round_id,turn,N,Nnf,roundName,first,hole,board,Nsim,prWin,prWinStd,prWin_adj,chips,reld,stack,pot,bet,cost_to_call,pot_sum,bet_sum,maxBet_all,N_maxBet_all,bluff_freq,thd_call,bet_limit,action,amount,cputime
1,0,3,3,deal,False,♦2 ♠8,,60000,0.23871018518510673,0.3004340073603153,0.4348059961393904,1000,0,3000,0,0,20,0,30,20,1,0,0.4,30,check,0,0.32083702087402344
1,1,3,3,flop,False,♦2 ♠8,♥10 ♠3 ♠A,737,0.11103573043871551,0.30621783580115763,0.28194768051351293,980,0,2980,20,0,120,60,240,120,2,0,0.2857142857142857,193.9541490621375,fold,0,1.2377228736877441
2,0,3,3,deal,False,♥Q ♥A,,60000,0.5064481481480284,0.3494485129567022,0.7354291043507221,960,0,2960,0,20,0,0,60,20,3,0,-0.3333333333333333,60,check,0,0.3484690189361572
2,1,3,3,flop,False,♥Q ♥A,♠2 ♣Q ♥7,258,0.7751937984496124,0.4127861483899697,1.0031240298213522,960,0,2960,20,0,120,60,120,120,1,0,0.4,inf,allin,0,1.1675341129302979
3,0,3,3,deal,False,♥8 ♣7,,60000,0.3238416666665824,0.34282918734548773,0.5372225005874242,2570,0,4570,0,10,110,0,150,120,1,0,0.38461538461538464,0,bet,0,0.4091031551361084
3,1,3,3,flop,True,♥8 ♣7,♣3 ♥5 ♣4,157,0.27282377919320594,0.4420216961247764,0.5169090107481931,2460,0,4460,120,0,20,360,0,0,3,0.001395486358570544,0.05263157894736842,90.0,bet,90,1.179427146911621
3,2,3,3,turn,True,♥8 ♣7,♣3 ♥5 ♣4 ♠7,124,0.5,0.5,0.7774378132813777,2370,0,4370,210,0,20,630,0,0,3,0,0.03076923076923077,630,bet,630,1.1686038970947266
3,3,3,3,river,True,♥8 ♣7,♣3 ♥5 ♣4 ♠7 ♦J,212,0.3136792452830189,0.46015958157213027,0.5694135538850771,1740,0,3740,840,0,20,2100,0,0,3,0,0.009433962264150943,0,bet,0,1.177164077758789
4,0,3,3,deal,False,♠2 ♦J,,60000,0.2843495370369446,0.3128852681544468,0.4891507827302618,3840,0,5840,0,0,40,0,60,40,1,5.37727067151111e-09,0.4,60,check,0,0.36873412132263184
4,1,3,3,deal,False,♠2 ♦J,,60000,0.2843495370369446,0.3128852681544468,0.4891507827302618,3800,0,5800,0,40,100,0,220,140,1,0,0.3125,220,check,0,0.46265196800231934
4,2,3,3,flop,False,♠2 ♦J,♣6 ♥2 ♠3,616,0.3181818181818182,0.4590416158012113,0.5743555873308084,3700,0,5700,140,0,40,420,60,40,1,0,0.07692307692307693,120.0,bet,120,1.1745188236236572
4,3,3,3,turn,False,♠2 ♦J,♣6 ♥2 ♠3 ♠7,236,0.2457627118644068,0.42807097221566276,0.4853710985795099,3580,0,5580,260,0,40,680,40,40,1,0,0.05263157894736842,703.5783298117932,check,0,1.1807000637054443
4,4,3,3,river,False,♠2 ♦J,♣6 ♥2 ♠3 ♠7 ♣2,467,0.9004282655246253,0.2967342387585151,1.0661121597419876,3540,0,5540,300,0,40,760,40,40,1,0,0.047619047619047616,inf,allin,0,1.2148640155792236
5,0,3,3,deal,False,♣5 ♥8,,60000,0.2838185185184342,0.3257776001552668,0.48760264060239944,4300,0,6300,0,40,100,0,220,140,1,0,0.1875,220,check,0,0.34560585021972656
5,1,3,3,flop,False,♣5 ♥8,♠7 ♦9 ♥5,231,0.4696969696969697,0.49143256788566214,0.7451896163267981,4200,0,6200,140,0,40,420,40,40,1,0,0.08,460,bet,460,1.1778860092163086
5,2,3,3,flop,False,♣5 ♥8,♠7 ♦9 ♥5,766,0.4708442123585726,0.4844012521259863,0.7463745797086773,3740,0,5740,140,460,60,420,1500,520,2,0,0.030303030303030304,1870.0,bet,1870,1.2140309810638428
