round_id,turn,N,Nnf,roundName,first,hole,board,Nsim,prWin,prWinStd,chips,reld,pot,bet,minBet,maxBet,sumPot_all,sumBet_all,maxBet_all,N_maxBet_all,N_canraise,sumMinBet_all,util_fold,util_call,util_raise_coeff,util_call2,util_raise_coeff2,maxRoundBet,action,amount,cputime
1,0,3,3,deal,0,♠Q ♥5,,20000,0.3363097222221787,0.3205583568790992,1000,0,0,0,20,1000,0,30,20,1,3,30,0,0.17858333333072096,0.008929166666536092,-9.91070833333464,-0.3273805555556426,410.52368839061273,raise,0,0.08974385261535645
1,1,3,2,deal,0,♠Q ♥5,,20000,0.3363097222221787,0.3205583568790992,960,0,0,40,30,1000,0,120,70,1,2,30,-40,-19.5535416666732,-0.3273805555556426,-29.642833333338555,-0.3273805555556426,405.05003921207117,call,0,0.07063984870910645
1,2,3,2,flop,0,♠Q ♥5,♥Q ♠5 ♠2,50,0.8,0.4,930,0,70,0,20,930,150,20,20,1,2,20,-70,62.0,0.6000000000000001,46.0,0.6000000000000001,1574.1236708838117,raise,0,1.2378177642822266
1,3,3,2,flop,0,♠Q ♥5,♥Q ♠5 ♠2,123,0.8130081300813008,0.3899050018953431,890,0,70,40,19,930,150,99,59,1,2,19,-110,88.88617886178862,0.6260162601626016,73.4390243902439,0.6260162601626016,1617.5125346706695,raise,0,1.2565908432006836
1,4,3,2,turn,0,♠Q ♥5,♥Q ♠5 ♠2 ♣9,52,0.8653846153846154,0.341312295178824,812,0,188,0,53,812,386,53,53,1,2,53,-188,184.7692307692308,0.7307692307692308,138.90384615384622,0.7307692307692308,1882.3437752725486,raise,0,1.236985683441162
1,5,3,2,turn,0,♠Q ♥5,♥Q ♠5 ♠2 ♣9,135,0.8444444444444444,0.3624334762288909,706,0,188,106,2,812,386,214,108,1,2,2,-294,212.35555555555558,0.6888888888888889,210.66666666666669,0.6888888888888889,1680.7896614877725,raise,0,1.235412836074829
1,6,3,2,river,0,♠Q ♥5,♥Q ♠5 ♠2 ♣9 ♥2,150,0.82,0.38418745424597095,596,0,404,0,20,596,818,20,20,1,2,20,-404,279.55999999999995,0.6399999999999999,263.16,0.6399999999999999,1485.986167263692,raise,0,1.2415030002593994
1,7,3,2,river,0,♠Q ♥5,♥Q ♠5 ♠2 ♣9 ♥2,355,0.819718309859155,0.3844219066869179,556,0,404,40,556,596,818,636,596,1,0,556,-444,647.6338028169014,-1.0,191.8704225352112,0.6394366197183099,1461.7554270418084,call,0,1.246978759765625
2,0,3,3,deal,0,♠2 ♠9,,20000,0.29575138888885993,0.33894935816789,1990,0,0,20,10,2010,0,70,30,1,3,20,-20,-3.3823750000026074,-0.11274583333342016,-9.297402777779805,-0.4084972222222801,466.99404730834704,call,0,0.1081368923187256
2,1,3,3,flop,0,♠2 ♠9,♣2 ♠10 ♥J,57,0.5789473684210527,0.4847632238473018,1980,0,30,0,20,1980,90,20,20,1,3,40,-30,36.842105263157904,0.736842105263158,13.684210526315795,0.1578947368421053,1149.1980880896433,raise,0,1.237928867340088
2,2,3,3,flop,0,♠2 ♠9,♣2 ♠10 ♥J,235,0.42340425531914894,0.4821109459836101,1940,0,30,40,25,1980,90,145,65,1,3,50,-70,25.670212765957444,0.2702127659574467,4.5,-0.15319148936170213,724.1697404068947,raise,0,1.2475810050964355
2,3,3,3,turn,0,♠2 ♠9,♣2 ♠10 ♥J ♦10,53,0.4433962264150944,0.4823329445722345,1850,0,160,0,24,1850,480,24,24,1,3,48,-160,60.75471698113208,0.33018867924528306,39.471698113207566,-0.1132075471698113,752.9782862132606,raise,0,1.241150140762329
2,4,3,3,turn,0,♠2 ♠9,♣2 ♠10 ♥J ♦10,212,0.4599056603773585,0.4827652175239834,1802,0,160,48,1,1850,480,145,49,1,3,2,-208,79.36084905660374,0.3797169811320753,78.44103773584902,-0.08018867924528306,781.8040216591718,raise,0,1.2431647777557373
2,5,3,3,river,0,♠2 ♠9,♣2 ♠10 ♥J ♦10 ♦A,119,0.3277310924369748,0.4511282531586404,1752,0,258,0,22,1752,774,22,22,1,3,44,-258,-4.705882352941161,-0.016806722689075567,-19.12605042016804,-0.3445378151260504,497.3433126887873,call,0,1.2451832294464111
3,0,3,3,deal,0,♥8 ♥3,,20000,0.344495833333295,0.35575739483833485,2560,0,0,10,43,2570,0,83,53,1,3,76,-10,1.7748374999939005,0.033487499999884866,-24.40684583333652,-0.31100833333341005,642.8874973694553,raise,0,0.09852290153503418
3,1,3,2,flop,1,♥8 ♥3,♦8 ♣9 ♥9,36,0.5555555555555556,0.4827263110272991,2464,0,106,0,20,2464,232,0,0,3,2,0,-106,2.8888888888888857,0.11111111111111116,2.8888888888888857,0.11111111111111116,1208.3831780118014,raise,0,1.2359368801116943
3,2,3,2,turn,1,♥8 ♥3,♦8 ♣9 ♥9 ♣8,47,0.74468085106383,0.4065815860159176,2444,0,126,0,20,2444,272,0,0,3,2,0,-126,56.55319148936175,0.48936170212766,56.55319148936175,0.48936170212766,2025.2580125072,raise,0,1.2335238456726074
