round_id,playerName,allIn,bet,cards,chips,folded,isHuman,isOnline,isSurvive,reloadCount,roundBet,position,me,hand,rank,message,winMoney
6,Samuel,False,0,♠A ♠10,3825,False,True,True,True,2,0,SB,False,♠A ♠10 ♦A ♣K ♣2 ♠9 ♣4,21.1216,Pair,0.0
6,jyp0,False,0,♣A ♦4,1616,False,False,True,True,2,0,BB,False,♣A ♦4 ♦A ♣K ♣2 ♠9 ♣4,90.1024,Two Pair,1232.0
7,jyp,False,0,♣A ♥10,530,False,False,True,True,0,0,BB,True,♣A ♥10 ♦3 ♥6 ♣Q ♣3 ♦7,10.2688,Pair,0.0
7,Samuel,False,0,♣8 ♦6,3745,True,True,True,True,2,0,,False,♣8 ♦6 ♦3 ♥6 ♣Q ♣3 ♦7,29.0512,Two Pair,0.0
7,jyp0,False,0,♥4 ♥3,2725,False,False,True,True,2,0,SB,False,♥4 ♥3 ♦3 ♥6 ♣Q ♣3 ♦7,101.0528,Three of a Kind,2138.0
8,jyp,True,0,♦Q ♠2,1000,False,False,True,True,1,0,SB,True,♦Q ♠2 ♠8 ♥J ♠Q ♠9 ♠7,123.0624,Flush,0.0
8,Samuel,True,0,♦3 ♠J,7000,False,True,True,True,2,0,BB,False,♦3 ♠J ♠8 ♥J ♠Q ♠9 ♠7,123.088,Flush,7000.0
8,jyp0,True,0,♣6 ♦5,0,False,False,True,True,2,0,,False,♣6 ♦5 ♠8 ♥J ♠Q ♠9 ♠7,117.0,Straight,0.0
1,jyp,True,0,♠Q ♥5,2010,False,False,True,True,0,0,,True,♠Q ♥5 ♥Q ♠5 ♠2 ♣9 ♥2,70.0064,Two Pair,2010.0
1,Samuel,False,0,♣10 ♠4,990,True,True,True,True,0,0,SB,False,♣10 ♠4 ♥Q ♠5 ♠2 ♣9 ♥2,9.0704,Pair,0.0
1,jyp0,True,0,♥10 ♥4,1000,False,False,True,True,1,0,BB,False,♥10 ♥4 ♥Q ♠5 ♠2 ♣9 ♥2,9.0704,Pair,0.0
2,jyp,False,0,♠2 ♠9,2570,False,False,True,True,0,0,BB,True,♠2 ♠9 ♣2 ♠10 ♥J ♦10 ♦A,50.2048,Two Pair,840.0
2,Samuel,False,0,♣9 ♦8,710,False,True,True,True,0,0,,False,♣9 ♦8 ♣2 ♠10 ♥J ♦10 ♦A,17.2368,Pair,0.0
2,jyp0,False,0,♥9 ♥8,720,False,False,True,True,1,0,SB,False,♥9 ♥8 ♣2 ♠10 ♥J ♦10 ♦A,17.2368,Pair,0.0
3,jyp,False,0,♥8 ♥3,2948,False,False,True,True,0,0,SB,True,♥8 ♥3 ♦8 ♣9 ♥9 ♣8 ♥J,202.0,Full House,736.0
3,Samuel,False,0,♦10 ♥4,690,True,True,True,True,0,0,BB,False,♦10 ♥4 ♦8 ♣9 ♥9 ♣8 ♥J,49.0256,Two Pair,0.0
3,jyp0,False,0,♣J ♠Q,362,False,False,True,True,1,0,,False,♣J ♠Q ♦8 ♣9 ♥9 ♣8 ♥J,65.0512,Two Pair,0.0
4,jyp,False,0,♠6 ♦5,2948,True,False,True,True,0,0,,True,♠6 ♦5 ♣A ♠8 ♣6 ♦Q ♠2,13.2592,Pair,0.0
4,Samuel,False,0,♦8 ♥J,980,False,True,True,True,0,0,SB,False,♦8 ♥J ♣A ♠8 ♣6 ♦Q ♠2,15.2816,Pair,580.0
4,jyp0,False,0,♣3 ♠K,72,False,False,True,True,1,0,BB,False,♣3 ♠K ♣A ♠8 ♣6 ♦Q ♠2,8.1576,High Card,0.0
5,jyp,False,0,♥6 ♣Q,2876,False,False,True,True,0,0,BB,True,♥6 ♣Q ♠2 ♥5 ♦2 ♠8 ♦3,9.0552,Pair,0.0
5,Samuel,False,0,♠10 ♥4,980,True,True,True,True,0,0,,False,♠10 ♥4 ♠2 ♥5 ♦2 ♠8 ♦3,9.0164,Pair,0.0
5,jyp0,True,0,♠3 ♥3,144,False,False,True,True,1,0,SB,False,♠3 ♥3 ♠2 ♥5 ♦2 ♠8 ♦3,136.0,Full House,144.0
6,jyp,False,0,♠7 ♣J,3060,False,False,True,True,0,0,SB,True,♠7 ♣J ♣8 ♦A ♥9 ♥5 ♠5,12.2368,Pair,368.0
6,Samuel,False,0,♣A ♦7,940,True,True,True,True,0,0,BB,False,♣A ♦7 ♣8 ♦A ♥9 ♥5 ♠5,91.0064,Two Pair,0.0
6,jyp0,True,0,♣4 ♠10,1000,False,False,True,True,2,0,,False,♣4 ♠10 ♣8 ♦A ♥9 ♥5 ♠5,12.224,Pair,0.0
7,jyp,False,0,♣A ♣J,3844,False,False,True,True,0,0,,True,♣A ♣J ♥2 ♠3 ♣2 ♠8 ♠K,9.3328,Pair,1408.0
7,Samuel,False,0,♠Q ♣9,780,True,True,True,True,0,0,SB,False,♠Q ♣9 ♥2 ♠3 ♣2 ♠8 ♠K,9.16,Pair,0.0
7,jyp0,False,0,♦Q ♥6,376,False,False,True,True,2,0,BB,False,♦Q ♥6 ♥2 ♠3 ♣2 ♠8 ♠K,9.1568,Pair,0.0
8,jyp,False,0,♠4 ♠10,4448,False,False,True,True,0,0,BB,True,♠4 ♠10 ♦A ♣3 ♠A ♦10 ♥4,96.0002,Two Pair,980.0
8,Samuel,False,0,♠9 ♥6,552,True,True,True,True,0,0,,False,♠9 ♥6 ♦A ♣3 ♠A ♦10 ♥4,21.02,Pair,0.0
8,jyp0,True,0,♥5 ♦J,0,False,False,True,True,2,0,SB,False,♥5 ♦J ♦A ♣3 ♠A ♦10 ♥4,21.0388,Pair,0.0
