round_id,turn,N,Nnf,roundName,first,hole,board,Nsim,prWin,prWinStd,chips,reld,pot,bet,minBet,maxBet,sumPot_all,sumBet_all,maxBet_all,N_maxBet_all,N_canraise,sumMinBet_all,util_fold,util_call,util_raise_coeff,util_call2,util_raise_coeff2,maxRoundBet,action,amount,cputime
9,0,3,3,deal,0,♣A ♣9,,20000,0.46931805555548745,0.34085489370240796,920,2,0,80,140,1000,0,380,220,1,3,280,-80,89.74991666662169,0.40795416666646234,-41.65913888891478,-0.06136388888902511,194.57847554454395,raise,0,0.10237693786621094
9,1,3,3,flop,0,♣A ♣9,♠3 ♠8 ♣4,57,0.34210526315789475,0.4697693978595047,560,2,440,0,208,560,1320,208,208,1,3,416,-440,17.0526315789474,0.026315789473684292,-125.26315789473688,-0.3157894736842105,78.27060835526885,raise,0,1.239922046661377
9,2,3,2,turn,0,♣A ♣9,♠3 ♠8 ♣4 ♦8,61,0.21311475409836064,0.40950806546874735,144,2,856,0,80,144,2152,80,80,1,2,80,-856,-443.2786885245902,-0.5737704918032787,-460.32786885245906,-0.5737704918032787,11.520686002182737,call,0,1.2367267608642578
9,3,3,2,river,0,♣A ♣9,♠3 ♠8 ♣4 ♦8 ♠A,113,0.6238938053097345,0.4821181759956189,64,2,936,0,64,64,2312,64,64,1,0,64,-936,522.300884955752,-1.0,482.37168141592906,0.24778761061946897,20.891239210705155,call,0,1.2422940731048584
10,0,3,3,deal,0,♦Q ♥7,,20000,0.35724999999994766,0.32637420948560075,2360,2,0,80,213,2440,0,533,293,1,3,346,-80,21.022749999953987,0.071749999999843,-102.5857500000279,-0.28550000000010467,348.2015635047349,raise,0,0.08148407936096191
10,1,3,3,flop,1,♦Q ♥7,♦8 ♥6 ♣6,37,0.27927927927927926,0.4419008457092151,1854,2,586,0,160,1854,1758,0,0,3,3,0,-586,-255.0270270270271,-0.16216216216216228,-255.0270270270271,-0.4414414414414415,202.6855396618432,call,0,1.2365508079528809
10,2,3,3,flop,0,♦Q ♥7,♦8 ♥6 ♣6,222,0.30030030030030025,0.4487329619953175,1694,2,586,160,136,1854,1758,616,296,1,3,272,-746,-87.40540540540553,-0.0990990990990992,-169.08708708708718,-0.3993993993993995,201.93200942115908,call,0,1.2474379539489746
10,3,3,3,flop,0,♦Q ♥7,♦8 ♥6 ♣6,540,0.32407407407407407,0.4563415381611706,1558,2,586,296,296,1854,1758,1302,592,1,2,296,-882,-90.40740740740739,-0.35185185185185186,-186.33333333333337,-0.35185185185185186,203.6979899496827,call,0,1.2556159496307373
10,4,3,3,turn,1,♦Q ♥7,♦8 ♥6 ♣6 ♥8,32,0.6197916666666666,0.46999256606118545,1262,2,1178,0,160,1262,3356,0,0,3,2,0,-1178,742.020833333333,0.23958333333333326,742.020833333333,0.23958333333333326,407.37930940736845,raise,0,1.2354791164398193
10,5,3,3,turn,0,♦Q ♥7,♦8 ♥6 ♣6 ♥8,165,0.6292929292929293,0.4715300388014455,1102,2,1178,160,160,1262,3356,480,320,1,2,160,-1338,1016.6545454545458,0.2585858585858587,915.967676767677,0.2585858585858587,365.03999386910215,raise,0,1.2406299114227295
10,6,3,3,river,1,♦Q ♥7,♦8 ♥6 ♣6 ♥8 ♣J,67,0.746268656716418,0.4351456637944254,622,2,1818,0,160,622,4636,0,0,3,2,0,-1818,1481.7014925373137,0.4925373134328359,1481.7014925373137,0.4925373134328359,284.7584601564497,raise,0,1.242577075958252
