action,amount,chips,game_id,playerName,position,roundName,round_id,turn_id
call,20.0,980,20180316143459,67932ee63b2984a136db48eb9e994f8e,,Deal,1,1
call,20.0,980,20180316143459,41579b8940a2482619500991a7dd4bc5,,Deal,1,2
bet,47.0,953,20180316143459,0d2463992a3cce805eb5b0adf7804594,,Deal,1,3
fold,,1000,20180316143459,cc916b8f0759af7958a8a927e191ac35,,Deal,1,4
call,37.0,953,20180316143459,2c3e80a6aa48ea3e71262b66c3f7e0c8,SB,Deal,1,5
call,27.0,953,20180316143459,c767b3b24b29c5a270658fd690cd919e,BB,Deal,1,6
call,27.0,953,20180316143459,67932ee63b2984a136db48eb9e994f8e,,Deal,1,7
call,27.0,953,20180316143459,41579b8940a2482619500991a7dd4bc5,,Deal,1,8
bet,20.0,933,20180316143459,2c3e80a6aa48ea3e71262b66c3f7e0c8,SB,Flop,1,9
allin,953.0,0,20180316143459,c767b3b24b29c5a270658fd690cd919e,BB,Flop,1,10
fold,,953,20180316143459,67932ee63b2984a136db48eb9e994f8e,,Flop,1,11
fold,,953,20180316143459,41579b8940a2482619500991a7dd4bc5,,Flop,1,12
fold,,953,20180316143459,0d2463992a3cce805eb5b0adf7804594,,Flop,1,13
allin,933.0,0,20180316143459,2c3e80a6aa48ea3e71262b66c3f7e0c8,SB,Flop,1,14
call,20.0,933,20180316143459,41579b8940a2482619500991a7dd4bc5,,Deal,2,1
fold,,953,20180316143459,0d2463992a3cce805eb5b0adf7804594,,Deal,2,2
fold,,2000,20180316143459,cc916b8f0759af7958a8a927e191ac35,,Deal,2,3
fold,,2000,20180316143459,2c3e80a6aa48ea3e71262b66c3f7e0c8,,Deal,2,4
fold,,2131,20180316143459,c767b3b24b29c5a270658fd690cd919e,SB,Deal,2,5
call,0.0,933,20180316143459,67932ee63b2984a136db48eb9e994f8e,BB,Deal,2,6
bet,20.0,913,20180316143459,67932ee63b2984a136db48eb9e994f8e,BB,Flop,2,7
fold,,933,20180316143459,41579b8940a2482619500991a7dd4bc5,,Flop,2,8
call,20.0,933,20180316143459,0d2463992a3cce805eb5b0adf7804594,,Deal,3,1
fold,,3000,20180316143459,cc916b8f0759af7958a8a927e191ac35,,Deal,3,2
call,20.0,1980,20180316143459,2c3e80a6aa48ea3e71262b66c3f7e0c8,,Deal,3,3
fold,,2131,20180316143459,c767b3b24b29c5a270658fd690cd919e,,Deal,3,4
call,10.0,963,20180316143459,67932ee63b2984a136db48eb9e994f8e,SB,Deal,3,5
fold,,913,20180316143459,41579b8940a2482619500991a7dd4bc5,BB,Deal,3,6
bet,20.0,943,20180316143459,67932ee63b2984a136db48eb9e994f8e,SB,Flop,3,7
call,20.0,913,20180316143459,0d2463992a3cce805eb5b0adf7804594,,Flop,3,8
call,20.0,1960,20180316143459,2c3e80a6aa48ea3e71262b66c3f7e0c8,,Flop,3,9
bet,20.0,923,20180316143459,67932ee63b2984a136db48eb9e994f8e,SB,Turn,3,10
call,20.0,893,20180316143459,0d2463992a3cce805eb5b0adf7804594,,Turn,3,11
call,20.0,1940,20180316143459,2c3e80a6aa48ea3e71262b66c3f7e0c8,,Turn,3,12
fold,,923,20180316143459,67932ee63b2984a136db48eb9e994f8e,SB,River,3,13
bet,20.0,873,20180316143459,0d2463992a3cce805eb5b0adf7804594,,River,3,14
fold,,1940,20180316143459,2c3e80a6aa48ea3e71262b66c3f7e0c8,,River,3,15
fold,,3000,20180316143459,cc916b8f0759af7958a8a927e191ac35,,Deal,4,1
fold,,1940,20180316143459,2c3e80a6aa48ea3e71262b66c3f7e0c8,,Deal,4,2
fold,,2131,20180316143459,c767b3b24b29c5a270658fd690cd919e,,Deal,4,3
call,20.0,903,20180316143459,67932ee63b2984a136db48eb9e994f8e,,Deal,4,4
call,10.0,893,20180316143459,41579b8940a2482619500991a7dd4bc5,SB,Deal,4,5
call,0.0,1073,20180316143459,0d2463992a3cce805eb5b0adf7804594,BB,Deal,4,6
fold,,893,20180316143459,41579b8940a2482619500991a7dd4bc5,SB,Flop,4,7
bet,20.0,1053,20180316143459,0d2463992a3cce805eb5b0adf7804594,BB,Flop,4,8
call,20.0,883,20180316143459,67932ee63b2984a136db48eb9e994f8e,,Flop,4,9
bet,20.0,1033,20180316143459,0d2463992a3cce805eb5b0adf7804594,BB,Turn,4,10
call,20.0,863,20180316143459,67932ee63b2984a136db48eb9e994f8e,,Turn,4,11
