action,amount,chips,game_id,playerName,position,roundName,round_id,turn_id
call,20,980,2.02E+13,c767b3b24b29c5a270658fd690cd919e,,Deal,1,1
call,20,980,2.02E+13,67932ee63b2984a136db48eb9e994f8e,,Deal,1,2
call,20,980,2.02E+13,41579b8940a2482619500991a7dd4bc5,,Deal,1,3
call,10,980,2.02E+13,0d2463992a3cce805eb5b0adf7804594,SB,Deal,1,4
call,0,980,2.02E+13,cc916b8f0759af7958a8a927e191ac35,BB,Deal,1,5
bet,20,960,2.02E+13,0d2463992a3cce805eb5b0adf7804594,SB,Flop,1,6
fold,,980,2.02E+13,cc916b8f0759af7958a8a927e191ac35,BB,Flop,1,7
call,20,960,2.02E+13,c767b3b24b29c5a270658fd690cd919e,,Flop,1,8
call,20,960,2.02E+13,67932ee63b2984a136db48eb9e994f8e,,Flop,1,9
fold,,980,2.02E+13,41579b8940a2482619500991a7dd4bc5,,Flop,1,10
bet,20,940,2.02E+13,0d2463992a3cce805eb5b0adf7804594,SB,Turn,1,11
call,20,940,2.02E+13,c767b3b24b29c5a270658fd690cd919e,,Turn,1,12
call,20,940,2.02E+13,67932ee63b2984a136db48eb9e994f8e,,Turn,1,13
bet,372,568,2.02E+13,0d2463992a3cce805eb5b0adf7804594,SB,River,1,14
call,372,568,2.02E+13,c767b3b24b29c5a270658fd690cd919e,,River,1,15
call,372,568,2.02E+13,67932ee63b2984a136db48eb9e994f8e,,River,1,16
call,20,1884,2.02E+13,67932ee63b2984a136db48eb9e994f8e,,Deal,2,1
call,20,960,2.02E+13,41579b8940a2482619500991a7dd4bc5,,Deal,2,2
call,20,548,2.02E+13,0d2463992a3cce805eb5b0adf7804594,,Deal,2,3
call,10,1960,2.02E+13,cc916b8f0759af7958a8a927e191ac35,SB,Deal,2,4
call,0,548,2.02E+13,c767b3b24b29c5a270658fd690cd919e,BB,Deal,2,5
fold,,1960,2.02E+13,cc916b8f0759af7958a8a927e191ac35,SB,Flop,2,6
bet,20,528,2.02E+13,c767b3b24b29c5a270658fd690cd919e,BB,Flop,2,7
call,20,1864,2.02E+13,67932ee63b2984a136db48eb9e994f8e,,Flop,2,8
fold,,960,2.02E+13,41579b8940a2482619500991a7dd4bc5,,Flop,2,9
call,20,528,2.02E+13,0d2463992a3cce805eb5b0adf7804594,,Flop,2,10
check,,528,2.02E+13,c767b3b24b29c5a270658fd690cd919e,BB,Turn,2,11
bet,20,1844,2.02E+13,67932ee63b2984a136db48eb9e994f8e,,Turn,2,12
call,20,508,2.02E+13,0d2463992a3cce805eb5b0adf7804594,,Turn,2,13
call,20,508,2.02E+13,c767b3b24b29c5a270658fd690cd919e,BB,Turn,2,14
check,,508,2.02E+13,c767b3b24b29c5a270658fd690cd919e,BB,River,2,15
bet,20,1824,2.02E+13,67932ee63b2984a136db48eb9e994f8e,,River,2,16
fold,,508,2.02E+13,0d2463992a3cce805eb5b0adf7804594,,River,2,17
call,20,488,2.02E+13,c767b3b24b29c5a270658fd690cd919e,BB,River,2,18
call,20,940,2.02E+13,41579b8940a2482619500991a7dd4bc5,,Deal,3,1
bet,56,452,2.02E+13,0d2463992a3cce805eb5b0adf7804594,,Deal,3,2
fold,,1960,2.02E+13,cc916b8f0759af7958a8a927e191ac35,,Deal,3,3
call,46,432,2.02E+13,c767b3b24b29c5a270658fd690cd919e,SB,Deal,3,4
call,36,2028,2.02E+13,67932ee63b2984a136db48eb9e994f8e,BB,Deal,3,5
call,36,904,2.02E+13,41579b8940a2482619500991a7dd4bc5,,Deal,3,6
allin,432,0,2.02E+13,c767b3b24b29c5a270658fd690cd919e,SB,Flop,3,7
call,432,1596,2.02E+13,67932ee63b2984a136db48eb9e994f8e,BB,Flop,3,8
fold,,904,2.02E+13,41579b8940a2482619500991a7dd4bc5,,Flop,3,9
fold,,452,2.02E+13,0d2463992a3cce805eb5b0adf7804594,,Flop,3,10
bet,55,1397,2.02E+13,0d2463992a3cce805eb5b0adf7804594,,Deal,4,1
fold,,1960,2.02E+13,cc916b8f0759af7958a8a927e191ac35,,Deal,4,2
call,55,945,2.02E+13,c767b3b24b29c5a270658fd690cd919e,,Deal,4,3
call,45,2629,2.02E+13,67932ee63b2984a136db48eb9e994f8e,SB,Deal,4,4
fold,,884,2.02E+13,41579b8940a2482619500991a7dd4bc5,BB,Deal,4,5
bet,20,2609,2.02E+13,67932ee63b2984a136db48eb9e994f8e,SB,Flop,4,6
call,20,1377,2.02E+13,0d2463992a3cce805eb5b0adf7804594,,Flop,4,7
call,20,925,2.02E+13,c767b3b24b29c5a270658fd690cd919e,,Flop,4,8
bet,20,2589,2.02E+13,67932ee63b2984a136db48eb9e994f8e,SB,Turn,4,9
bet,700,677,2.02E+13,0d2463992a3cce805eb5b0adf7804594,,Turn,4,10
fold,,925,2.02E+13,c767b3b24b29c5a270658fd690cd919e,,Turn,4,11
call,680,1909,2.02E+13,67932ee63b2984a136db48eb9e994f8e,SB,Turn,4,12
bet,20,1889,2.02E+13,67932ee63b2984a136db48eb9e994f8e,SB,River,4,13
call,20,657,2.02E+13,0d2463992a3cce805eb5b0adf7804594,,River,4,14
bet,40,1920,2.02E+13,cc916b8f0759af7958a8a927e191ac35,,Deal,5,1
call,40,885,2.02E+13,c767b3b24b29c5a270658fd690cd919e,,Deal,5,2
call,40,1849,2.02E+13,67932ee63b2984a136db48eb9e994f8e,,Deal,5,3
call,30,844,2.02E+13,41579b8940a2482619500991a7dd4bc5,SB,Deal,5,4
bet,63,2259,2.02E+13,0d2463992a3cce805eb5b0adf7804594,BB,Deal,5,5
call,43,1877,2.02E+13,cc916b8f0759af7958a8a927e191ac35,,Deal,5,6
call,43,842,2.02E+13,c767b3b24b29c5a270658fd690cd919e,,Deal,5,7
call,43,1806,2.02E+13,67932ee63b2984a136db48eb9e994f8e,,Deal,5,8
call,43,801,2.02E+13,41579b8940a2482619500991a7dd4bc5,SB,Deal,5,9
fold,,801,2.02E+13,41579b8940a2482619500991a7dd4bc5,SB,Flop,5,10
bet,20,2239,2.02E+13,0d2463992a3cce805eb5b0adf7804594,BB,Flop,5,11
fold,,1877,2.02E+13,cc916b8f0759af7958a8a927e191ac35,,Flop,5,12
call,20,822,2.02E+13,c767b3b24b29c5a270658fd690cd919e,,Flop,5,13
call,20,1786,2.02E+13,67932ee63b2984a136db48eb9e994f8e,,Flop,5,14
bet,20,2219,2.02E+13,0d2463992a3cce805eb5b0adf7804594,BB,Turn,5,15
call,20,802,2.02E+13,c767b3b24b29c5a270658fd690cd919e,,Turn,5,16
call,20,1766,2.02E+13,67932ee63b2984a136db48eb9e994f8e,,Turn,5,17
fold,,2219,2.02E+13,0d2463992a3cce805eb5b0adf7804594,BB,River,5,18
check,,802,2.02E+13,c767b3b24b29c5a270658fd690cd919e,,River,5,19
bet,20,1746,2.02E+13,67932ee63b2984a136db48eb9e994f8e,,River,5,20
call,20,782,2.02E+13,c767b3b24b29c5a270658fd690cd919e,,River,5,21
fold,,1357,2.02E+13,c767b3b24b29c5a270658fd690cd919e,,Deal,6,1
call,40,1706,2.02E+13,67932ee63b2984a136db48eb9e994f8e,,Deal,6,2
fold,,801,2.02E+13,41579b8940a2482619500991a7dd4bc5,,Deal,6,3
