action,amount,chips,game_id,playerName,position,roundName,round_id,turn_id
call,20.0,980,20180316135551,41579b8940a2482619500991a7dd4bc5,,Deal,1,1
fold,,1000,20180316135551,0d2463992a3cce805eb5b0adf7804594,,Deal,1,2
call,20.0,980,20180316135551,cc916b8f0759af7958a8a927e191ac35,,Deal,1,3
call,20.0,980,20180316135551,c767b3b24b29c5a270658fd690cd919e,,Deal,1,4
fold,,990,20180316135551,f164881adcdc582c2c6ef9ffdc0bec25,SB,Deal,1,5
call,0.0,980,20180316135551,67932ee63b2984a136db48eb9e994f8e,BB,Deal,1,6
bet,20.0,960,20180316135551,67932ee63b2984a136db48eb9e994f8e,BB,Flop,1,7
fold,,980,20180316135551,41579b8940a2482619500991a7dd4bc5,,Flop,1,8
fold,,980,20180316135551,cc916b8f0759af7958a8a927e191ac35,,Flop,1,9
allin,980.0,0,20180316135551,c767b3b24b29c5a270658fd690cd919e,,Flop,1,10
allin,960.0,0,20180316135551,67932ee63b2984a136db48eb9e994f8e,BB,Flop,1,11
bet,63.0,937,20180316135551,0d2463992a3cce805eb5b0adf7804594,,Deal,2,1
fold,,1980,20180316135551,cc916b8f0759af7958a8a927e191ac35,,Deal,2,2
call,63.0,1987,20180316135551,c767b3b24b29c5a270658fd690cd919e,,Deal,2,3
fold,,990,20180316135551,f164881adcdc582c2c6ef9ffdc0bec25,,Deal,2,4
call,53.0,937,20180316135551,67932ee63b2984a136db48eb9e994f8e,SB,Deal,2,5
raise,106.0,854,20180316135551,41579b8940a2482619500991a7dd4bc5,BB,Deal,2,6
call,63.0,874,20180316135551,0d2463992a3cce805eb5b0adf7804594,,Deal,2,7
call,63.0,1924,20180316135551,c767b3b24b29c5a270658fd690cd919e,,Deal,2,8
call,63.0,874,20180316135551,67932ee63b2984a136db48eb9e994f8e,SB,Deal,2,9
bet,20.0,854,20180316135551,67932ee63b2984a136db48eb9e994f8e,SB,Flop,2,10
call,20.0,834,20180316135551,41579b8940a2482619500991a7dd4bc5,BB,Flop,2,11
call,20.0,854,20180316135551,0d2463992a3cce805eb5b0adf7804594,,Flop,2,12
call,20.0,1904,20180316135551,c767b3b24b29c5a270658fd690cd919e,,Flop,2,13
bet,20.0,834,20180316135551,67932ee63b2984a136db48eb9e994f8e,SB,Turn,2,14
call,20.0,814,20180316135551,41579b8940a2482619500991a7dd4bc5,BB,Turn,2,15
call,20.0,834,20180316135551,0d2463992a3cce805eb5b0adf7804594,,Turn,2,16
call,20.0,1884,20180316135551,c767b3b24b29c5a270658fd690cd919e,,Turn,2,17
fold,,834,20180316135551,67932ee63b2984a136db48eb9e994f8e,SB,River,2,18
check,,814,20180316135551,41579b8940a2482619500991a7dd4bc5,BB,River,2,19
fold,,834,20180316135551,0d2463992a3cce805eb5b0adf7804594,,River,2,20
bet,20.0,1864,20180316135551,c767b3b24b29c5a270658fd690cd919e,,River,2,21
call,20.0,794,20180316135551,41579b8940a2482619500991a7dd4bc5,BB,River,2,22
call,20.0,2960,20180316135551,cc916b8f0759af7958a8a927e191ac35,,Deal,3,1
call,20.0,1844,20180316135551,c767b3b24b29c5a270658fd690cd919e,,Deal,3,2
fold,,990,20180316135551,f164881adcdc582c2c6ef9ffdc0bec25,,Deal,3,3
call,20.0,814,20180316135551,67932ee63b2984a136db48eb9e994f8e,,Deal,3,4
call,10.0,1478,20180316135551,41579b8940a2482619500991a7dd4bc5,SB,Deal,3,5
call,0.0,814,20180316135551,0d2463992a3cce805eb5b0adf7804594,BB,Deal,3,6
check,,1478,20180316135551,41579b8940a2482619500991a7dd4bc5,SB,Flop,3,7
fold,,814,20180316135551,0d2463992a3cce805eb5b0adf7804594,BB,Flop,3,8
