round_id,turn,N,Nnf,roundName,first,hole,board,Nsim,prWin,prWinStd,prWin_adj,chips,reld,stack,pot,bet,cost_to_call,pot_sum,bet_sum,maxBet_all,N_maxBet_all,thd_call,bet_limit,action,amount,cputime
1,0,9,4,deal,False,♦5 ♠K,,60000,0.11085555555557003,0.2964733737804496,0.022948664207564667,990,0,2990,0,10,10,0,70,20,3,0.0,10.240526149763781,check,0,0.36748218536376953
1,1,9,4,flop,True,♦5 ♠K,♥2 ♥3 ♠10,230,0.12608695652173912,0.3219740622882369,0.12608695652173912,980,0,2980,20,0,20,80,0,0,9,0.2,13.488372093023253,fold,0,1.2776679992675781
2,0,9,8,deal,False,♣3 ♠A,,60000,0.1242111111111278,0.31170440958852835,0.03350999469880184,980,0,2980,0,0,48,0,190,48,2,0.20168067226890757,6.824260884926612,fold,0,0.3947122097015381
3,0,9,6,deal,False,♥4 ♣6,,60000,0.09634074074074848,0.2842050013259605,0.016675090326027972,980,0,2980,0,0,790,0,840,790,1,0.48466257668711654,14.49033103147115,fold,0,0.3391151428222656
4,0,9,8,deal,False,♥3 ♥Q,,60000,0.13545925925927313,0.3283515279554646,0.04477269385573225,980,0,2980,0,0,80,0,170,80,1,0.32,8.359953206610083,fold,0,0.3840780258178711
5,0,9,8,deal,False,♠K ♦K,,60000,0.29528148148149314,0.4250387608148245,0.17667749257441745,980,0,2980,0,0,80,0,150,80,1,0.34782608695652173,40.98326481688312,fold,0,0.33080506324768066
6,0,9,8,deal,False,♠2 ♣A,,60000,0.12154074074075691,0.3089178885880975,0.03821830975732694,980,0,2980,0,0,40,0,70,40,1,0.36363636363636365,2.89669527781297,bet,2,0.35842299461364746
6,1,9,5,flop,True,♠2 ♣A,♠5 ♣4 ♦10,677,0.1671590349581487,0.3677457205287317,0.1671590349581487,940,0,2940,40,0,20,240,0,0,9,0.07692307692307693,25.02218934911243,check,0,1.2526640892028809
6,2,9,5,flop,False,♠2 ♣A,♠5 ♣4 ♦10,1438,0.16689847009735745,0.36803589172907025,0.16689847009735745,940,0,2940,40,0,20,240,80,20,4,0.058823529411764705,25.01043841336117,check,0,1.2698659896850586
6,3,9,5,turn,False,♠2 ♣A,♠5 ♣4 ♦10 ♠3,477,0.5031446540880503,0.4803881561951556,0.5031446540880503,920,0,2920,60,0,20,340,40,20,2,0.05,inf,raise,0,1.2389092445373535
6,4,9,4,turn,False,♠2 ♣A,♠5 ♣4 ♦10 ♠3,1511,0.5000551511140524,0.47783909955328235,0.5000551511140524,880,0,2880,60,40,40,340,300,80,3,0.058823529411764705,inf,raise,0,1.2908961772918701
6,5,9,4,turn,False,♠2 ♣A,♠5 ♣4 ♦10 ♠3,2321,0.5079347982191583,0.477339551475371,0.5079347982191583,760,0,2760,60,160,160,340,1038,320,2,0.10403120936280884,inf,raise,0,1.2668979167938232
6,6,9,4,river,True,♠2 ♣A,♠5 ♣4 ♦10 ♠3 ♠4,339,0.4228121927236972,0.48276499029304987,0.4228121927236972,600,0,2600,380,0,20,1538,0,0,9,0.012836970474967908,74.77707006369431,check,0,1.2183709144592285
6,7,9,4,river,False,♠2 ♣A,♠5 ♣4 ♦10 ♠3 ♠4,1138,0.4484475688342121,0.4868692065901919,0.4484475688342121,600,0,2600,380,0,133,1538,266,133,2,0.06866288074341766,711.4744318181823,check,0,1.2760579586029053
7,0,9,9,deal,False,♥9 ♥10,,60000,0.1756777777777959,0.3655032576580926,0.0805413309721515,2404,0,4404,0,0,40,0,70,40,1,0.36363636363636365,6.7204394429577246,fold,0,0.3472330570220947
8,0,9,9,deal,False,♣2 ♣J,,60000,0.1236277777777897,0.31629012761078,0.04298445431496732,2404,0,4404,0,0,20,0,30,20,1,0.4,1.4108203119393932,fold,0,0.36964893341064453
9,0,9,6,deal,False,♣K ♠10,,60000,0.1618203703703926,0.3482920352025795,0.07343174330352217,2384,0,4384,0,20,60,0,200,80,1,0.15384615384615385,17.214535341238978,fold,0,0.3290848731994629
10,0,9,5,deal,False,♠K ♠8,,60000,0.1636925925926113,0.3535042490532368,0.07674344122528458,2364,0,4364,0,20,94,0,328,114,2,0.17535545023696683,29.735922810934433,fold,0,0.33248209953308105
11,0,9,8,deal,False,♣4 ♦5,,60000,0.10300185185186041,0.2928905027759959,0.033090753430997794,2364,0,4364,0,0,1264,0,3227,1264,1,0.28145179247383656,114.35183829246441,fold,0,0.3602581024169922
12,0,8,6,deal,False,♦Q ♠10,,60000,0.17833750000000137,0.34620630593832863,0.13431589113185738,2364,0,4364,0,0,80,0,180,80,1,0.3076923076923077,33.05702902782132,fold,0,0.3907039165496826
